4	www.climaton.com									
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Feels Like (°F °C)	(Wind Speed) (mph)	Wind	Dew Point (°F °C)	Humidity (%)	Pressure (inches)	Visibility (miles)
Mon Feb  1 03:12:38 2010	Chicago, Illinois 60601  	clear sky	25 -4	16 -9	8	W	11-Dec	58	30.24	10
Mon Feb  1 03:12:38 2010	Portland, Oregon 97201  	clear sky	21 -6	13 -11	6	W	14-Jul	53	30.04	10
Mon Feb  1 03:12:39 2010	Indianapolis, Indiana 46201  	clear sky	25 -4	17 -8	7	W	11-Dec	58	30.25	10
Mon Feb  1 03:12:39 2010	San Antonio, Texas 78201  	mostly cloudy	36 2	30 -1	7	NE	30 -1	80	30.17	7
Mon Feb  1 03:12:40 2010	Columbus, Ohio 43085  	clear sky	25 -4	16 -9	8	W	11-Dec	58	30.21	10
Mon Feb  1 03:12:40 2010	Jacksonville, Florida 32099  	mostly cloudy	45 7	39 4	13-20	NE	36 2	70	30.24	10
Mon Feb  1 03:12:41 2010	Dallas, Texas 75201  	mostly cloudy	37 3	35 2	3	SW	28 -2	70	30.21	10
Mon Feb  1 03:12:41 2010	Houston, Texas 77001  	clear sky	39 4	37 3	3	SW	30 -1	70	30.21	8
Mon Feb  1 03:12:41 2010	Seattle, Washington 98101  	mostly cloudy	50 10	50 10	3	N	43 6	76	29.97	10
Mon Feb  1 03:12:42 2010	Detroit, Michigan 48201  	mostly cloudy	27 -3	18 -8	17-Oct	W	11-Dec	54	30.11	10
Mon Feb  1 03:12:42 2010	Milwaukee, Wisconsin 53201  	clear sky	21 -6	12-Nov	8	NW	14-Jul	53	30.24	10
Mon Feb  1 03:12:43 2010	Philadelphia, Pennsylvania 19019  	clear sky	27 -3	20 -7	6	SW	16-Mar	36	30.15	10
Mon Feb  1 03:57:08 2010	San Jose, California 95101  	mostly cloudy	54 12	51 11	9	NW	46 8	77	29.98	10
Mon Feb  1 03:57:09 2010	San Diego, California 92101  	clear sky	57 14	57 14	3	NW	48 9	72	29.97	10
Mon Feb  1 03:57:09 2010	Charlotte, North Carolina 28201  	clear sky	30 -1	30 -1	0		25 -4	80	30.26	10
Mon Feb  1 03:57:09 2010	Denver, Colorado 80214  	mostly cloudy	30 -1	30 -1	0		19 -7	64	29.85	10
Mon Feb  1 03:57:10 2010	Memphis, Tennessee 37501  	mostly cloudy	32 0	27 -3	5	NE	27 -3	80	30.31	10
Mon Feb  1 03:57:10 2010	El Paso, Texas 79901  	mostly cloudy	52 11	52 11	0		37 3	58	29.92	10
Mon Feb  1 03:57:10 2010	Los Angeles, California 90001  	clear sky	59 15	59 15	0		48 9	67	29.94	10
Mon Feb  1 03:57:11 2010	New York, New York 10001  	clear sky	28 -2	25 -4	3	N	16-Mar	33	30.12	10
Mon Feb  1 03:57:11 2010	Baltimore, Maryland 21201  	normal	27 -3	27 -3			13-Sep	46	30.19	
Mon Feb  1 03:57:12 2010	Washington, Washington D. C. 20001  	clear sky	28 -2	22 -6	5	SW	13-Sep	43	30.21	10
Mon Feb  1 03:57:12 2010	Austin, Texas 73301  	mostly cloudy	36 2	36 2	0		30 -1	80	30.2	8
Mon Feb  1 03:57:12 2010	Las Vegas, Nevada 89101  	mostly cloudy	55 13	55 13	0		28 -2	35	29.92	10
Mon Feb  1 03:57:13 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	28 -2	17 -8	13	S	27 -3	93	30.16	1
Mon Feb  1 03:57:13 2010	San Francisco, California 94101  	mostly cloudy	54 12	53 12	5	NW	48 9	82	29.98	10
Mon Feb  1 03:57:13 2010	Nashville, Tennessee 37201  	clear sky	28 -2	28 -2	0		23 -5	80	30.32	9
Mon Feb  1 03:57:14 2010	Fort Worth, Texas 76101  	clear sky	32 0	29 -2	3	S	27 -3	80	30.19	9
Mon Feb  1 03:57:14 2010	Phoenix, Arizona 85001  	clear sky	64 18	64 18	7	W	39 4	39	29.89	10
Mon Feb  1 03:57:14 2010	Portland, Oregon 97201  	clear sky	25 -4	15 -9	10	W	13-Sep	49	30.04	10
Mon Feb  1 03:57:15 2010	Chicago, Illinois 60601  	clear sky	23 -5	15 -9	7	NW	12-Oct	58	30.28	10
Mon Feb  1 03:57:15 2010	San Antonio, Texas 78201  	mostly cloudy	36 2	31 -1	6	NE	30 -1	80	30.19	7
Mon Feb  1 03:57:16 2010	Indianapolis, Indiana 46201  	clear sky	21 -6	14 -10	5	W	12-Oct	62	30.27	10
Mon Feb  1 03:57:16 2010	Jacksonville, Florida 32099  	mostly cloudy	46 8	40 4	13	NE	37 3	71	30.24	10
Mon Feb  1 03:57:17 2010	Columbus, Ohio 43085  	clear sky	21 -6	12-Nov	8	W	11-Dec	68	30.23	10
Mon Feb  1 03:57:17 2010	Houston, Texas 77001  	clear sky	37 3	35 2	3	S	30 -1	75	30.22	10
Mon Feb  1 03:57:17 2010	Dallas, Texas 75201  	mostly cloudy	36 2	36 2	0		28 -2	75	30.2	10
Mon Feb  1 03:57:17 2010	Seattle, Washington 98101  	mostly cloudy	48 9	48 9	0		43 6	81	29.97	10
Mon Feb  1 03:57:18 2010	Detroit, Michigan 48201  	mostly cloudy	25 -4	12-Nov	18-26	NW	12-Oct	54	30.18	9
Mon Feb  1 03:57:18 2010	Milwaukee, Wisconsin 53201  	clear sky	19 -7	12-Oct	7	NW	15-May	53	30.26	10
Mon Feb  1 03:57:19 2010	Philadelphia, Pennsylvania 19019  	clear sky	27 -3	19 -7	7	SW	14-Jul	42	30.15	10
Mon Feb  1 04:41:52 2010	San Jose, California 95101  	clear sky	54 12	53 12	5	NW	46 8	77	29.98	10
Mon Feb  1 04:41:53 2010	Denver, Colorado 80214  	clear sky	27 -3	21 -6	5	S	18 -8	68	29.84	10
Mon Feb  1 04:41:53 2010	Charlotte, North Carolina 28201  	clear sky	28 -2	25 -4	3	SW	27 -3	93	30.27	8
Mon Feb  1 04:41:53 2010	San Diego, California 92101  	clear sky	57 14	57 14	0		48 9	72	29.98	10
Mon Feb  1 04:41:54 2010	Memphis, Tennessee 37501  	mostly cloudy	30 -1	24 -4	6	NE	27 -3	86	30.3	10
Mon Feb  1 04:41:54 2010	El Paso, Texas 79901  	clear sky	48 9	48 9	0		37 3	66	29.94	10
Mon Feb  1 04:41:54 2010	Los Angeles, California 90001  	clear sky	57 14	57 14	0		48 9	72	29.94	10
Mon Feb  1 04:41:55 2010	New York, New York 10001  	clear sky	27 -3	24 -4	3	N	16-Mar	36	30.11	10
Mon Feb  1 04:41:55 2010	Baltimore, Maryland 21201  	normal	27 -3	27 -3			12-Oct	50	30.2	
Mon Feb  1 04:41:55 2010	Las Vegas, Nevada 89101  	mostly cloudy	54 12	54 12	0		30 -1	41	29.93	10
Mon Feb  1 04:41:56 2010	Washington, Washington D. C. 20001  	clear sky	27 -3	19 -7	7	SW	11-Dec	54	30.22	10
Mon Feb  1 04:41:56 2010	Austin, Texas 73301  	mostly cloudy	36 2	30 -1	7	E	30 -1	80	30.21	10
Mon Feb  1 04:41:56 2010	San Francisco, California 94101  	mostly cloudy	54 12	54 12	3	NW	48 9	82	29.97	10
Mon Feb  1 04:41:57 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	28 -2	18 -8	12	SE	27 -3	93	30.15	0.7
Mon Feb  1 04:41:57 2010	Fort Worth, Texas 76101  	clear sky	32 0	32 0	0		27 -3	80	30.18	7
Mon Feb  1 04:41:57 2010	Nashville, Tennessee 37201  	clear sky	27 -3	27 -3	0		21 -6	80	30.33	9
Mon Feb  1 04:41:58 2010	Chicago, Illinois 60601  	clear sky	21 -6	12-Nov	9	NW	12-Oct	62	30.28	10
Mon Feb  1 04:41:58 2010	Phoenix, Arizona 85001  	clear sky	61 16	61 16	5	SW	46 8	59	29.9	10
Mon Feb  1 04:41:58 2010	Portland, Oregon 97201  	clear sky	25 -4	15 -9	10	W	14-Jul	46	30.05	10
Mon Feb  1 04:41:59 2010	Indianapolis, Indiana 46201  	clear sky	19 -7	11-Dec	5	W	12-Oct	67	30.28	10
Mon Feb  1 04:41:59 2010	San Antonio, Texas 78201  	mostly cloudy	36 2	31 -1	6	NE	30 -1	80	30.2	7
Mon Feb  1 04:41:59 2010	Jacksonville, Florida 32099  	mostly cloudy	46 8	40 4	13	N	39 4	76	30.23	10
Mon Feb  1 04:42:00 2010	Columbus, Ohio 43085  	clear sky	19 -7	11-Dec	5	W	11-Dec	73	30.26	10
Mon Feb  1 04:42:00 2010	Houston, Texas 77001  	clear sky	37 3	35 2	3	SW	32 0	81	30.23	8
Mon Feb  1 04:42:00 2010	Dallas, Texas 75201  	clear sky	36 2	36 2	0		28 -2	75	30.2	10
Mon Feb  1 04:42:01 2010	Milwaukee, Wisconsin 53201  	clear sky	18 -8	13-Aug	8	NW	15-May	57	30.27	10
Mon Feb  1 04:42:01 2010	Detroit, Michigan 48201  	clear sky	21 -6	13-Aug	13-26	NW	13-Sep	58	30.21	10
Mon Feb  1 04:42:01 2010	Seattle, Washington 98101  	mostly cloudy	46 8	46 8	0		43 6	87	29.98	10
Mon Feb  1 04:42:02 2010	Philadelphia, Pennsylvania 19019  	clear sky	25 -4	16 -9	8	SW	13-Sep	49	30.17	10
Mon Feb  1 05:24:53 2010	San Jose, California 95101  	clear sky	54 12	53 12	5	NW	46 8	77	29.98	10
Mon Feb  1 05:24:54 2010	Denver, Colorado 80214  	clear sky	27 -3	21 -6	5	S	18 -8	68	29.84	10
Mon Feb  1 05:24:54 2010	Charlotte, North Carolina 28201  	clear sky	28 -2	25 -4	3	SW	27 -3	93	30.27	8
Mon Feb  1 05:24:54 2010	San Diego, California 92101  	clear sky	57 14	57 14	0		48 9	72	29.98	10
Mon Feb  1 05:24:55 2010	Memphis, Tennessee 37501  	mostly cloudy	30 -1	24 -4	6	NE	27 -3	86	30.3	10
Mon Feb  1 05:24:55 2010	Los Angeles, California 90001  	clear sky	57 14	57 14	0		48 9	72	29.94	10
Mon Feb  1 05:24:56 2010	New York, New York 10001  	clear sky	27 -3	24 -4	3	N	16-Mar	36	30.11	10
Mon Feb  1 05:24:56 2010	Baltimore, Maryland 21201  	normal	27 -3	27 -3			12-Oct	50	30.2	
Mon Feb  1 05:24:56 2010	El Paso, Texas 79901  	clear sky	48 9	48 9	0		37 3	66	29.94	10
Mon Feb  1 05:24:57 2010	Washington, Washington D. C. 20001  	clear sky	27 -3	19 -7	7	SW	11-Dec	54	30.22	10
Mon Feb  1 05:24:57 2010	Austin, Texas 73301  	mostly cloudy	36 2	30 -1	7	E	30 -1	80	30.21	10
Mon Feb  1 05:24:57 2010	Las Vegas, Nevada 89101  	mostly cloudy	54 12	54 12	0		30 -1	41	29.93	10
Mon Feb  1 05:24:58 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	28 -2	18 -8	12	SE	27 -3	93	30.15	0.7
Mon Feb  1 05:24:58 2010	San Francisco, California 94101  	mostly cloudy	54 12	54 12	3	NW	48 9	82	29.97	10
Mon Feb  1 05:24:58 2010	Nashville, Tennessee 37201  	clear sky	27 -3	27 -3	0		21 -6	80	30.33	9
Mon Feb  1 05:24:59 2010	Phoenix, Arizona 85001  	clear sky	61 16	61 16	5	SW	46 8	59	29.9	10
Mon Feb  1 05:24:59 2010	Portland, Oregon 97201  	clear sky	25 -4	15 -9	10	W	14-Jul	46	30.05	10
Mon Feb  1 05:24:59 2010	Fort Worth, Texas 76101  	clear sky	32 0	32 0	0		27 -3	80	30.18	7
Mon Feb  1 05:25:00 2010	Chicago, Illinois 60601  	clear sky	21 -6	12-Nov	9	NW	12-Oct	62	30.28	10
Mon Feb  1 05:25:00 2010	Indianapolis, Indiana 46201  	clear sky	19 -7	11-Dec	5	W	12-Oct	67	30.28	10
Mon Feb  1 05:25:00 2010	San Antonio, Texas 78201  	mostly cloudy	36 2	31 -1	6	NE	30 -1	80	30.2	7
Mon Feb  1 05:25:01 2010	Columbus, Ohio 43085  	clear sky	19 -7	11-Dec	5	W	11-Dec	73	30.26	10
Mon Feb  1 05:25:01 2010	Jacksonville, Florida 32099  	mostly cloudy	46 8	40 4	13	N	39 4	76	30.23	10
Mon Feb  1 05:25:02 2010	Houston, Texas 77001  	clear sky	37 3	35 2	3	SW	32 0	81	30.23	8
Mon Feb  1 05:25:02 2010	Dallas, Texas 75201  	clear sky	36 2	36 2	0		28 -2	75	30.2	10
Mon Feb  1 05:25:02 2010	Seattle, Washington 98101  	mostly cloudy	46 8	46 8	0		43 6	87	29.98	10
Mon Feb  1 05:25:03 2010	Milwaukee, Wisconsin 53201  	clear sky	18 -8	13-Aug	8	NW	15-May	57	30.27	10
Mon Feb  1 05:25:03 2010	Detroit, Michigan 48201  	clear sky	21 -6	13-Aug	13-26	NW	13-Sep	58	30.21	10
Mon Feb  1 05:25:03 2010	Philadelphia, Pennsylvania 19019  	clear sky	25 -4	16 -9	8	SW	13-Sep	49	30.17	10
Mon Feb  1 06:10:02 2010	Charlotte, North Carolina 28201  	clear sky	28 -2	25 -4	3	SW	25 -4	86	30.28	6
Mon Feb  1 06:10:02 2010	San Diego, California 92101  	clear sky	55 13	55 13	0		48 9	77	29.98	10
Mon Feb  1 06:10:02 2010	San Jose, California 95101  	clear sky	54 12	54 12	0		46 8	77	29.97	9
Mon Feb  1 06:10:03 2010	Denver, Colorado 80214  	clear sky	25 -4	17 -8	7	S	18 -8	74	29.84	10
Mon Feb  1 06:10:03 2010	Memphis, Tennessee 37501  	mostly cloudy	30 -1	24 -4	6	NE	25 -4	80	30.31	9
Mon Feb  1 06:10:03 2010	Los Angeles, California 90001  	clear sky	57 14	57 14	0		48 9	72	29.95	10
Mon Feb  1 06:10:04 2010	New York, New York 10001  	clear sky	27 -3	19 -7	17-Aug	SW	16-Mar	36	30.13	10
Mon Feb  1 06:10:04 2010	Baltimore, Maryland 21201  	normal	27 -3	27 -3			13-Sep	46	30.2	
Mon Feb  1 06:10:04 2010	El Paso, Texas 79901  	clear sky	50 10	50 10	0		36 2	58	29.95	10
Mon Feb  1 06:10:05 2010	Austin, Texas 73301  	mostly cloudy	36 2	34 1	3	SE	30 -1	80	30.21	10
Mon Feb  1 06:10:05 2010	Las Vegas, Nevada 89101  	clear sky	50 10	48 9	5	W	36 2	58	29.94	10
Mon Feb  1 06:10:05 2010	Washington, Washington D. C. 20001  	clear sky	25 -4	25 -4	0		12-Oct	54	30.24	10
Mon Feb  1 06:10:06 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	27 -3	16 -9	13	S	27 -3	100	30.15	1.2
Mon Feb  1 06:10:06 2010	Nashville, Tennessee 37201  	clear sky	27 -3	27 -3	0		23 -5	86	30.33	7
Mon Feb  1 06:10:06 2010	San Francisco, California 94101  	mostly cloudy	54 12	54 12	0		50 10	88	29.97	10
Mon Feb  1 06:10:07 2010	Fort Worth, Texas 76101  	clear sky	30 -1	27 -3	3	S	27 -3	86	30.18	6
Mon Feb  1 06:10:07 2010	Phoenix, Arizona 85001  	clear sky	57 14	57 14	3	SW	46 8	67	29.92	10
Mon Feb  1 06:10:07 2010	Portland, Oregon 97201  	clear sky	25 -4	16 -9	9	W	13-Sep	49	30.06	10
Mon Feb  1 06:10:08 2010	San Antonio, Texas 78201  	mostly cloudy	36 2	31 -1	6	NE	32 0	87	30.19	5
Mon Feb  1 06:10:08 2010	Chicago, Illinois 60601  	clear sky	21 -6	13 -11	6	NW	13-Sep	58	30.29	10
Mon Feb  1 06:10:09 2010	Indianapolis, Indiana 46201  	clear sky	21 -6	17 -8	3	W	12-Oct	62	30.28	10
Mon Feb  1 06:10:09 2010	Jacksonville, Florida 32099  	mostly cloudy	46 8	41 5	10	N	39 4	76	30.24	10
Mon Feb  1 06:10:10 2010	Columbus, Ohio 43085  	clear sky	18 -8	12-Oct	6	W	11-Dec	79	30.27	10
Mon Feb  1 06:10:10 2010	Dallas, Texas 75201  	mostly cloudy	32 0	32 0	0		28 -2	86	30.2	10
Mon Feb  1 06:10:10 2010	Houston, Texas 77001  	clear sky	37 3	37 3	0		32 0	81	30.22	7
Mon Feb  1 06:10:11 2010	Milwaukee, Wisconsin 53201  	clear sky	18 -8	13-Aug	8	NW	15-May	57	30.29	10
Mon Feb  1 06:10:11 2010	Detroit, Michigan 48201  	clear sky	21 -6	12-Nov	9	W	13-Sep	58	30.23	10
Mon Feb  1 06:10:11 2010	Seattle, Washington 98101  	mostly cloudy	48 9	48 9	0		43 6	81	29.97	10
Mon Feb  1 06:10:12 2010	Philadelphia, Pennsylvania 19019  	clear sky	25 -4	16 -9	8	SW	13-Sep	49	30.17	10
Mon Feb  1 06:53:04 2010	Charlotte, North Carolina 28201  	clear sky	28 -2	25 -4	3	SW	25 -4	86	30.28	5
Mon Feb  1 06:53:04 2010	San Diego, California 92101  	clear sky	55 13	55 13	0		48 9	77	29.99	10
Mon Feb  1 06:53:04 2010	San Jose, California 95101  	mostly cloudy	52 11	52 11	0		46 8	82	29.96	9
Mon Feb  1 06:53:05 2010	Denver, Colorado 80214  	clear sky	27 -3	19 -7	8	S	18 -8	68	29.82	10
Mon Feb  1 06:53:05 2010	Memphis, Tennessee 37501  	mostly cloudy	30 -1	24 -4	6	NE	23 -5	74	30.3	10
Mon Feb  1 06:53:06 2010	New York, New York 10001  	clear sky	27 -3	19 -7	17-Aug	W	16-Mar	36	30.12	10
Mon Feb  1 06:53:06 2010	El Paso, Texas 79901  	clear sky	48 9	46 8	5	SW	36 2	62	29.96	10
Mon Feb  1 06:53:06 2010	Los Angeles, California 90001  	clear sky	55 13	55 13	0		48 9	77	29.95	10
Mon Feb  1 06:53:07 2010	Las Vegas, Nevada 89101  	clear sky	48 9	46 8	5	W	36 2	62	29.95	10
Mon Feb  1 06:53:07 2010	Baltimore, Maryland 21201  	normal	27 -3	27 -3			12-Oct	50	30.21	
Mon Feb  1 06:53:07 2010	Washington, Washington D. C. 20001  	clear sky	25 -4	25 -4	0		12-Oct	54	30.24	10
Mon Feb  1 06:53:08 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	28 -2	19 -7	10	S	27 -3	93	30.14	1
Mon Feb  1 06:53:08 2010	Austin, Texas 73301  	mostly cloudy	36 2	31 -1	6	S	30 -1	80	30.22	10
Mon Feb  1 06:53:08 2010	San Francisco, California 94101  	mostly cloudy	52 11	51 11	5	SW	48 9	87	29.98	10
Mon Feb  1 06:53:09 2010	Fort Worth, Texas 76101  	clear sky	30 -1	30 -1	0		27 -3	86	30.18	6
Mon Feb  1 06:53:09 2010	Nashville, Tennessee 37201  	clear sky	25 -4	25 -4	0		21 -6	86	30.33	5
Mon Feb  1 06:53:09 2010	Phoenix, Arizona 85001  	clear sky	57 14	57 14	0		43 6	59	29.92	10
Mon Feb  1 06:53:10 2010	San Antonio, Texas 78201  	mostly cloudy	36 2	32 0	5	E	32 0	87	30.19	5
Mon Feb  1 06:53:10 2010	Chicago, Illinois 60601  	clear sky	19 -7	12-Nov	6	NW	13-Sep	62	30.3	10
Mon Feb  1 06:53:10 2010	Portland, Oregon 97201  	mostly cloudy	27 -3	15 -9	15	W	13-Sep	46	30.05	10
Mon Feb  1 06:53:11 2010	Indianapolis, Indiana 46201  	clear sky	19 -7	19 -7	0		12-Oct	67	30.29	10
Mon Feb  1 06:53:12 2010	Columbus, Ohio 43085  	clear sky	18 -8	13-Sep	7	W	11-Dec	79	30.28	10
Mon Feb  1 06:53:12 2010	Jacksonville, Florida 32099  	mostly cloudy	46 8	40 4	12	NE	39 4	76	30.23	10
Mon Feb  1 06:53:12 2010	Dallas, Texas 75201  	clear sky	34 1	34 1	0		28 -2	80	30.2	10
Mon Feb  1 06:53:13 2010	Milwaukee, Wisconsin 53201  	clear sky	16 -9	14-Jun	7	NW	16-Mar	57	30.29	10
Mon Feb  1 06:53:13 2010	Houston, Texas 77001  	clear sky	37 3	37 3	0		32 0	81	30.23	8
Mon Feb  1 06:53:13 2010	Seattle, Washington 98101  	mostly cloudy	48 9	48 9	0		43 6	81	29.97	10
Mon Feb  1 06:53:14 2010	Philadelphia, Pennsylvania 19019  	clear sky	25 -4	15 -9	10	W	14-Jul	46	30.17	10
Mon Feb  1 06:53:14 2010	Detroit, Michigan 48201  	clear sky	19 -7	12-Nov	6	NW	13-Sep	62	30.25	10
Mon Feb  1 07:36:50 2010	Charlotte, North Carolina 28201  	clear sky	28 -2	25 -4	3	SW	25 -4	86	30.28	5
Mon Feb  1 07:36:50 2010	San Diego, California 92101  	clear sky	55 13	55 13	0		48 9	77	29.99	10
Mon Feb  1 07:36:50 2010	San Jose, California 95101  	mostly cloudy	52 11	52 11	0		46 8	82	29.96	9
Mon Feb  1 07:36:51 2010	Denver, Colorado 80214  	clear sky	27 -3	19 -7	8	S	18 -8	68	29.82	10
Mon Feb  1 07:36:51 2010	Memphis, Tennessee 37501  	mostly cloudy	30 -1	24 -4	6	NE	23 -5	74	30.3	10
Mon Feb  1 07:36:51 2010	Los Angeles, California 90001  	clear sky	55 13	55 13	0		48 9	77	29.95	10
Mon Feb  1 07:36:52 2010	New York, New York 10001  	clear sky	27 -3	19 -7	17-Aug	W	16-Mar	36	30.12	10
Mon Feb  1 07:36:52 2010	El Paso, Texas 79901  	clear sky	48 9	46 8	5	SW	36 2	62	29.96	10
Mon Feb  1 07:36:52 2010	Baltimore, Maryland 21201  	normal	27 -3	27 -3			12-Oct	50	30.21	
Mon Feb  1 07:36:53 2010	Austin, Texas 73301  	mostly cloudy	36 2	31 -1	6	S	30 -1	80	30.22	10
Mon Feb  1 07:36:53 2010	Las Vegas, Nevada 89101  	clear sky	48 9	46 8	5	W	36 2	62	29.95	10
Mon Feb  1 07:36:53 2010	Washington, Washington D. C. 20001  	clear sky	25 -4	25 -4	0		12-Oct	54	30.24	10
Mon Feb  1 07:36:54 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	28 -2	19 -7	10	S	27 -3	93	30.14	1
Mon Feb  1 07:36:54 2010	San Francisco, California 94101  	mostly cloudy	52 11	51 11	5	SW	48 9	87	29.98	10
Mon Feb  1 07:36:54 2010	Nashville, Tennessee 37201  	clear sky	25 -4	25 -4	0		21 -6	86	30.33	5
Mon Feb  1 07:36:55 2010	Portland, Oregon 97201  	mostly cloudy	27 -3	15 -9	15	W	13-Sep	46	30.05	10
Mon Feb  1 07:36:55 2010	Fort Worth, Texas 76101  	clear sky	30 -1	30 -1	0		27 -3	86	30.18	6
Mon Feb  1 07:36:55 2010	Phoenix, Arizona 85001  	clear sky	57 14	57 14	0		43 6	59	29.92	10
Mon Feb  1 07:36:56 2010	San Antonio, Texas 78201  	mostly cloudy	36 2	32 0	5	E	32 0	87	30.19	5
Mon Feb  1 07:36:56 2010	Chicago, Illinois 60601  	clear sky	19 -7	12-Nov	6	NW	13-Sep	62	30.3	10
Mon Feb  1 07:36:56 2010	Indianapolis, Indiana 46201  	clear sky	19 -7	19 -7	0		12-Oct	67	30.29	10
Mon Feb  1 07:36:57 2010	Columbus, Ohio 43085  	clear sky	18 -8	13-Sep	7	W	11-Dec	79	30.28	10
Mon Feb  1 07:36:57 2010	Jacksonville, Florida 32099  	mostly cloudy	46 8	40 4	12	NE	39 4	76	30.23	10
Mon Feb  1 07:36:57 2010	Dallas, Texas 75201  	clear sky	34 1	34 1	0		28 -2	80	30.2	10
Mon Feb  1 07:36:58 2010	Milwaukee, Wisconsin 53201  	clear sky	16 -9	14-Jun	7	NW	16-Mar	57	30.29	10
Mon Feb  1 07:36:58 2010	Houston, Texas 77001  	clear sky	37 3	37 3	0		32 0	81	30.23	8
Mon Feb  1 07:36:58 2010	Seattle, Washington 98101  	mostly cloudy	48 9	48 9	0		43 6	81	29.97	10
Mon Feb  1 07:36:59 2010	Philadelphia, Pennsylvania 19019  	clear sky	25 -4	15 -9	10	W	14-Jul	46	30.17	10
Mon Feb  1 07:36:59 2010	Detroit, Michigan 48201  	clear sky	19 -7	12-Nov	6	NW	13-Sep	62	30.25	10
Mon Feb  1 08:20:25 2010	San Jose, California 95101  	mostly cloudy	52 11	52 11	0		45 7	76	29.98	10
Mon Feb  1 08:20:26 2010	Denver, Colorado 80214  	clear sky	25 -4	15 -9	10	SE	18 -8	74	29.82	10
Mon Feb  1 08:20:26 2010	Charlotte, North Carolina 28201  	clear sky	27 -3	21 -6	5	SW	25 -4	93	30.29	4
Mon Feb  1 08:20:26 2010	San Diego, California 92101  	clear sky	55 13	55 13	0		48 9	77	29.99	10
Mon Feb  1 08:20:27 2010	Memphis, Tennessee 37501  	mostly cloudy	28 -2	21 -6	6	E	21 -6	74	30.3	10
Mon Feb  1 08:20:27 2010	Los Angeles, California 90001  	clear sky	55 13	55 13	0		48 9	77	29.95	9
Mon Feb  1 08:20:28 2010	El Paso, Texas 79901  	clear sky	48 9	45 7	7	SW	36 2	62	29.96	10
Mon Feb  1 08:20:28 2010	New York, New York 10001  	clear sky	27 -3	20 -7	6	N	14-Jul	42	30.13	10
Mon Feb  1 08:20:28 2010	Baltimore, Maryland 21201  	normal	27 -3	27 -3			13-Sep	46	30.22	
Mon Feb  1 08:20:29 2010	Austin, Texas 73301  	mostly cloudy	36 2	34 1	3	SE	30 -1	80	30.2	10
Mon Feb  1 08:20:29 2010	Las Vegas, Nevada 89101  	clear sky	46 8	45 7	3	SW	36 2	66	29.96	10
Mon Feb  1 08:20:29 2010	Washington, Washington D. C. 20001  	clear sky	27 -3	27 -3	0		11-Dec	54	30.24	10
Mon Feb  1 08:20:30 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	28 -2	18 -8	12	S	27 -3	93	30.14	1
Mon Feb  1 08:20:30 2010	Nashville, Tennessee 37201  	clear sky	23 -5	23 -5	0		21 -6	93	30.32	3
Mon Feb  1 08:20:30 2010	San Francisco, California 94101  	mostly cloudy	52 11	52 11	0		46 8	82	29.97	10
Mon Feb  1 08:20:31 2010	Portland, Oregon 97201  	mostly cloudy	27 -3	18 -8	10	W	12-Oct	50	30.04	10
Mon Feb  1 08:20:31 2010	Fort Worth, Texas 76101  	clear sky	30 -1	30 -1	0		27 -3	86	30.17	6
Mon Feb  1 08:20:31 2010	Phoenix, Arizona 85001  	clear sky	57 14	57 14	0		43 6	59	29.92	10
Mon Feb  1 08:20:32 2010	San Antonio, Texas 78201  	mostly cloudy	36 2	34 1	3	E	34 1	93	30.18	4
Mon Feb  1 08:20:32 2010	Chicago, Illinois 60601  	clear sky	19 -7	11-Dec	5	NW	13-Sep	62	30.31	10
Mon Feb  1 08:20:32 2010	Indianapolis, Indiana 46201  	mostly cloudy	18 -8	18 -8	0		12-Oct	73	30.3	10
Mon Feb  1 08:20:33 2010	Jacksonville, Florida 32099  	mostly cloudy	48 9	43 6	12	NE	41 5	76	30.23	10
Mon Feb  1 08:20:34 2010	Columbus, Ohio 43085  	clear sky	19 -7	15 -9	3	W	11-Dec	73	30.28	10
Mon Feb  1 08:20:34 2010	Houston, Texas 77001  	clear sky	37 3	35 2	3	NE	32 0	81	30.23	7
Mon Feb  1 08:20:34 2010	Dallas, Texas 75201  	mostly cloudy	30 -1	30 -1	0		28 -2	93	30.19	6
Mon Feb  1 08:20:34 2010	Seattle, Washington 98101  	mostly cloudy	46 8	46 8	0		43 6	87	29.97	10
Mon Feb  1 08:20:35 2010	Milwaukee, Wisconsin 53201  	clear sky	16 -9	15-May	9	NW	16-Mar	57	30.29	10
Mon Feb  1 08:20:35 2010	Detroit, Michigan 48201  	clear sky	18 -8	13-Sep	7	NW	13-Sep	67	30.26	10
Mon Feb  1 08:20:36 2010	Philadelphia, Pennsylvania 19019  	clear sky	23 -5	14 -10	8	W	13-Sep	53	30.18	10
Mon Feb  1 09:04:04 2010	Charlotte, North Carolina 28201  	clear sky	27 -3	21 -6	5	SW	25 -4	93	30.29	4
