14	search.yahoo.com				
Sat Jan 30 04:02:05 2010	Charlotte, NC	32	Light Snow	43	28
Sat Jan 30 04:02:05 2010	San Jose, CA	52	Light Rain	63	46
Sat Jan 30 04:02:06 2010	Denver, CO	36	Partly Cloudy	43	24
Sat Jan 30 04:02:06 2010	San Diego, CA	56	Mostly Cloudy	64	48
Sat Jan 30 04:02:07 2010	Memphis, TN	30	Light Freezing Drizzle	30	24
Sat Jan 30 04:02:07 2010	Los Angeles, CA	58	Fair	64	48
Sat Jan 30 04:02:08 2010	El Paso, TX	41	Fair	48	28
Sat Jan 30 04:02:09 2010	New York, NY	19	Fair	25	14
Sat Jan 30 04:02:09 2010	Baltimore, MD	25	Mostly Cloudy	26	19
Sat Jan 30 04:02:10 2010	Washington, DC	24	Cloudy	27	19
Sat Jan 30 04:02:10 2010	Austin, TX	35	Partly Cloudy	45	30
Sat Jan 30 04:02:10 2010	Las Vegas, NV	51	Fair	58	43
Sat Jan 30 04:02:11 2010	Oklahoma City, OK	20	Cloudy	26	17
Sat Jan 30 04:02:11 2010	San Francisco, CA	52	Cloudy	55	51
Sat Jan 30 04:02:12 2010	Nashville, TN	26	Light Snow	28	24
Sat Jan 30 04:02:12 2010	Fort Worth, TX	29	Cloudy	35	25
Sat Jan 30 04:02:13 2010	Phoenix, AZ	60	Partly Cloudy	66	47
Sat Jan 30 04:02:14 2010	Chicago, IL	20	Light Snow	19	16
Sat Jan 30 04:02:14 2010	Portland, OR	46	Cloudy	51	43
Sat Jan 30 04:02:14 2010	San Antonio, TX	42	Fair	53	32
Sat Jan 30 04:02:15 2010	Indianapolis, IN	17	Cloudy	19	14
Sat Jan 30 04:02:15 2010	Boston, MA	14	Fair	20	4
Sat Jan 30 04:02:16 2010	Columbus, OH	16	Fair	17	13
Sat Jan 30 04:02:16 2010	Jacksonville, FL	56	Mostly Cloudy	66	55
Sat Jan 30 04:02:17 2010	Dallas, TX	31	Cloudy	38	28
Sat Jan 30 04:02:17 2010	Houston, TX	39	Cloudy	52	33
Sat Jan 30 04:02:18 2010	Milwaukee, WI	16	Mostly Cloudy	15	9
Sat Jan 30 04:02:18 2010	Seattle, WA	53	Cloudy	56	43
Sat Jan 30 04:02:19 2010	Detroit, MI	14	Fair	19	6
Sat Jan 30 04:02:19 2010	Philadelphia, PA	22	Mostly Cloudy	31	16
Sat Jan 30 04:45:49 2010	Charlotte, NC	32	Light Snow	43	28
Sat Jan 30 04:45:49 2010	San Jose, CA	52	Light Rain	63	46
Sat Jan 30 04:45:50 2010	San Diego, CA	54	Mostly Cloudy	64	48
Sat Jan 30 04:45:51 2010	Memphis, TN	30	Light Freezing Drizzle	30	24
Sat Jan 30 04:45:51 2010	Denver, CO	36	Partly Cloudy	43	24
Sat Jan 30 04:45:52 2010	El Paso, TX	41	Fair	48	28
Sat Jan 30 04:45:52 2010	Los Angeles, CA	58	Fair	64	48
Sat Jan 30 04:45:53 2010	New York, NY	18	Fair	25	14
Sat Jan 30 04:45:54 2010	Baltimore, MD	25	Fair	26	19
Sat Jan 30 04:45:54 2010	Las Vegas, NV	48	Fair	58	43
Sat Jan 30 04:45:55 2010	Washington, DC	24	Cloudy	27	19
Sat Jan 30 04:45:55 2010	Austin, TX	35	Partly Cloudy	45	30
Sat Jan 30 04:45:56 2010	San Francisco, CA	53	Light Rain	55	51
Sat Jan 30 04:45:57 2010	Oklahoma City, OK	19	Cloudy	26	17
Sat Jan 30 04:45:57 2010	Nashville, TN	26	Light Snow	28	24
Sat Jan 30 04:45:58 2010	Fort Worth, TX	29	Cloudy	35	25
Sat Jan 30 04:45:58 2010	Phoenix, AZ	60	Partly Cloudy	66	47
Sat Jan 30 04:45:59 2010	Chicago, IL	20	Light Snow	19	16
Sat Jan 30 04:45:59 2010	Portland, OR	46	Cloudy	51	43
Sat Jan 30 04:46:00 2010	San Antonio, TX	42	Fair	53	32
Sat Jan 30 04:46:01 2010	Indianapolis, IN	17	Light Snow	19	14
Sat Jan 30 04:46:01 2010	Boston, MA	13	Fair	20	4
Sat Jan 30 04:46:02 2010	Columbus, OH	16	Fair	17	13
Sat Jan 30 04:46:02 2010	Jacksonville, FL	56	Mostly Cloudy	66	55
Sat Jan 30 04:46:03 2010	Dallas, TX	31	Cloudy	38	28
Sat Jan 30 04:46:04 2010	Houston, TX	37	Cloudy	52	33
Sat Jan 30 04:46:04 2010	Seattle, WA	53	Cloudy	56	43
Sat Jan 30 04:46:05 2010	Milwaukee, WI	16	Cloudy	15	9
Sat Jan 30 04:46:05 2010	Detroit, MI	14	Fair	19	6
Sat Jan 30 04:46:06 2010	Philadelphia, PA	22	Mostly Cloudy	31	16
Sat Jan 30 05:29:35 2010	San Jose, CA	52	Cloudy	63	46
Sat Jan 30 05:29:36 2010	Charlotte, NC	32	Light Snow	43	28
Sat Jan 30 05:29:36 2010	San Diego, CA	53	Mostly Cloudy	64	48
Sat Jan 30 05:29:37 2010	Denver, CO	34	Clear	43	24
Sat Jan 30 05:29:38 2010	Memphis, TN	30	Light Freezing Drizzle	30	24
Sat Jan 30 05:29:38 2010	Los Angeles, CA	57	Fair	64	48
Sat Jan 30 05:29:39 2010	New York, NY	17	Fair	25	14
Sat Jan 30 05:29:39 2010	El Paso, TX	38	Fair	48	28
Sat Jan 30 05:29:40 2010	Baltimore, MD	23	Fair	26	19
Sat Jan 30 05:29:40 2010	Las Vegas, NV	48	Fair	58	43
Sat Jan 30 05:29:41 2010	Washington, DC	23	Cloudy	27	19
Sat Jan 30 05:29:41 2010	Austin, TX	33	Fair	45	30
Sat Jan 30 05:29:42 2010	Oklahoma City, OK	20	Cloudy	26	17
Sat Jan 30 05:29:42 2010	San Francisco, CA	52	Rain	55	51
Sat Jan 30 05:29:43 2010	Nashville, TN	26	Light Snow	28	24
Sat Jan 30 05:29:43 2010	Fort Worth, TX	28	Cloudy	35	25
Sat Jan 30 05:29:44 2010	Phoenix, AZ	59	Partly Cloudy	66	47
Sat Jan 30 05:29:45 2010	Chicago, IL	19	Light Snow	19	16
Sat Jan 30 05:29:45 2010	Portland, OR	46	Cloudy	51	43
Sat Jan 30 05:29:46 2010	Indianapolis, IN	16	Light Snow	19	14
Sat Jan 30 05:29:46 2010	San Antonio, TX	40	Fair	53	32
Sat Jan 30 05:29:47 2010	Boston, MA	12	Fair	20	4
Sat Jan 30 05:29:47 2010	Jacksonville, FL	57	Cloudy	66	55
Sat Jan 30 05:29:48 2010	Columbus, OH	15	Fair	17	13
Sat Jan 30 05:29:48 2010	Dallas, TX	31	Cloudy	38	28
Sat Jan 30 05:29:49 2010	Houston, TX	37	Cloudy	52	33
Sat Jan 30 05:29:49 2010	Seattle, WA	51	Cloudy	56	43
Sat Jan 30 05:29:50 2010	Milwaukee, WI	16	Cloudy	15	9
Sat Jan 30 05:29:50 2010	Detroit, MI	14	Fair	19	6
Sat Jan 30 05:29:51 2010	Philadelphia, PA	22	Mostly Cloudy	31	16
Sat Jan 30 06:13:19 2010	San Jose, CA	52	Cloudy	63	46
Sat Jan 30 06:13:20 2010	Charlotte, NC	32	Light Snow	43	28
Sat Jan 30 06:13:20 2010	San Diego, CA	53	Mostly Cloudy	64	48
Sat Jan 30 06:13:21 2010	Memphis, TN	30	Light Freezing Drizzle	30	24
Sat Jan 30 06:13:21 2010	Denver, CO	32	Clear	43	24
Sat Jan 30 06:13:22 2010	Los Angeles, CA	56	Fair	64	48
Sat Jan 30 06:13:23 2010	New York, NY	17	Fair	25	14
Sat Jan 30 06:13:23 2010	El Paso, TX	38	Fair	48	28
Sat Jan 30 06:13:24 2010	Baltimore, MD	23	Fair	26	19
Sat Jan 30 06:13:24 2010	Las Vegas, NV	48	Fair	58	43
Sat Jan 30 06:13:25 2010	Washington, DC	23	Cloudy	27	19
Sat Jan 30 06:13:26 2010	Austin, TX	34	Mostly Cloudy	45	30
Sat Jan 30 06:13:26 2010	San Francisco, CA	52	Light Rain	55	51
Sat Jan 30 06:13:27 2010	Oklahoma City, OK	20	Cloudy	26	17
Sat Jan 30 06:13:27 2010	Nashville, TN	26	Light Snow	28	24
Sat Jan 30 06:13:28 2010	Fort Worth, TX	28	Cloudy	35	25
Sat Jan 30 06:13:28 2010	Phoenix, AZ	59	Partly Cloudy	66	47
Sat Jan 30 06:13:29 2010	Portland, OR	46	Cloudy	51	43
Sat Jan 30 06:13:30 2010	Chicago, IL	19	Light Snow	19	16
Sat Jan 30 06:13:30 2010	San Antonio, TX	40	Fair	53	32
Sat Jan 30 06:13:31 2010	Indianapolis, IN	16	Light Snow	19	14
Sat Jan 30 06:13:31 2010	Boston, MA	12	Fair	20	4
Sat Jan 30 06:13:32 2010	Columbus, OH	15	Fair	17	13
Sat Jan 30 06:13:32 2010	Jacksonville, FL	57	Cloudy	66	55
Sat Jan 30 06:13:33 2010	Dallas, TX	31	Cloudy	38	28
Sat Jan 30 06:13:34 2010	Houston, TX	37	Cloudy	52	33
Sat Jan 30 06:13:34 2010	Seattle, WA	51	Cloudy	56	43
Sat Jan 30 06:13:35 2010	Milwaukee, WI	16	Cloudy	15	9
Sat Jan 30 06:13:36 2010	Detroit, MI	14	Fair	19	6
Sat Jan 30 06:13:36 2010	Philadelphia, PA	22	Mostly Cloudy	31	16
Sat Jan 30 06:58:55 2010	San Jose, CA	52	Mostly Cloudy	63	46
Sat Jan 30 06:58:56 2010	Charlotte, NC	31	Light Snow	43	28
Sat Jan 30 06:58:56 2010	San Diego, CA	50	Partly Cloudy	64	48
Sat Jan 30 06:58:57 2010	Memphis, TN	29	Light Freezing Drizzle	30	24
Sat Jan 30 06:58:57 2010	Denver, CO	32	Clear	43	24
Sat Jan 30 06:58:58 2010	El Paso, TX	38	Fair	48	28
Sat Jan 30 06:58:58 2010	Los Angeles, CA	56	Fair	64	48
Sat Jan 30 06:58:59 2010	New York, NY	16	Fair	25	14
Sat Jan 30 06:58:59 2010	Baltimore, MD	23	Fair	26	19
Sat Jan 30 06:59:00 2010	Washington, DC	23	Cloudy	27	19
Sat Jan 30 06:59:00 2010	Las Vegas, NV	47	Fair	58	43
Sat Jan 30 06:59:01 2010	Austin, TX	34	Partly Cloudy	45	30
Sat Jan 30 06:59:01 2010	San Francisco, CA	52	Cloudy	55	51
Sat Jan 30 06:59:02 2010	Oklahoma City, OK	19	Cloudy	26	17
Sat Jan 30 06:59:02 2010	Nashville, TN	27	Snow and Sleet	28	24
Sat Jan 30 06:59:03 2010	Fort Worth, TX	28	Cloudy	35	25
Sat Jan 30 06:59:03 2010	Phoenix, AZ	57	Partly Cloudy	66	47
Sat Jan 30 06:59:04 2010	Chicago, IL	19	Light Snow	19	16
Sat Jan 30 06:59:04 2010	Portland, OR	45	Light Rain	51	43
Sat Jan 30 06:59:05 2010	Indianapolis, IN	16	Light Snow	19	14
Sat Jan 30 06:59:05 2010	San Antonio, TX	38	Fair	53	32
Sat Jan 30 06:59:06 2010	Boston, MA	11	Fair	20	4
Sat Jan 30 06:59:06 2010	Jacksonville, FL	58	Cloudy	66	55
Sat Jan 30 06:59:07 2010	Columbus, OH	15	Fair	17	13
Sat Jan 30 06:59:07 2010	Dallas, TX	30	Cloudy	38	28
Sat Jan 30 06:59:08 2010	Houston, TX	37	Cloudy	52	33
Sat Jan 30 06:59:08 2010	Seattle, WA	50	Cloudy	56	43
Sat Jan 30 06:59:09 2010	Milwaukee, WI	16	Cloudy	15	9
Sat Jan 30 06:59:09 2010	Detroit, MI	13	Fair	19	5
Sat Jan 30 06:59:10 2010	Philadelphia, PA	21	Cloudy	31	16
Sat Jan 30 07:42:30 2010	Charlotte, NC	31	Light Snow	43	28
Sat Jan 30 07:42:30 2010	San Jose, CA	52	Mostly Cloudy	63	46
Sat Jan 30 07:42:31 2010	San Diego, CA	49	Partly Cloudy	64	48
Sat Jan 30 07:42:32 2010	Memphis, TN	29	Light Freezing Drizzle	30	24
Sat Jan 30 07:42:32 2010	Denver, CO	32	Clear	43	24
Sat Jan 30 07:42:33 2010	El Paso, TX	37	Fair	48	28
Sat Jan 30 07:42:33 2010	Los Angeles, CA	55	Fair	64	48
Sat Jan 30 07:42:34 2010	New York, NY	16	Fair	25	14
Sat Jan 30 07:42:35 2010	Baltimore, MD	23	Fair	26	19
Sat Jan 30 07:42:35 2010	Las Vegas, NV	46	Fair	58	43
Sat Jan 30 07:42:36 2010	Washington, DC	22	Cloudy	27	19
Sat Jan 30 07:42:36 2010	Austin, TX	32	Fair	45	30
Sat Jan 30 07:42:37 2010	San Francisco, CA	53	Cloudy	55	51
Sat Jan 30 07:42:41 2010	Oklahoma City, OK	19	Cloudy	26	17
Sat Jan 30 07:42:41 2010	Nashville, TN	26	Light Sleet	28	24
Sat Jan 30 07:42:42 2010	Fort Worth, TX	28	Cloudy	35	25
Sat Jan 30 07:42:43 2010	Portland, OR	45	Light Rain	51	43
Sat Jan 30 07:42:43 2010	Phoenix, AZ	56	Partly Cloudy	66	47
Sat Jan 30 07:42:44 2010	Chicago, IL	19	Light Snow	19	17
Sat Jan 30 07:42:44 2010	San Antonio, TX	38	Fair	53	32
Sat Jan 30 07:42:45 2010	Indianapolis, IN	16	Light Snow	19	14
Sat Jan 30 07:42:46 2010	Boston, MA	9	Partly Cloudy	20	4
Sat Jan 30 07:42:46 2010	Jacksonville, FL	58	Cloudy	66	55
Sat Jan 30 07:42:47 2010	Columbus, OH	15	Fair	17	13
Sat Jan 30 07:42:47 2010	Dallas, TX	30	Cloudy	38	28
Sat Jan 30 07:42:48 2010	Houston, TX	37	Cloudy	52	33
Sat Jan 30 07:42:49 2010	Milwaukee, WI	16	Cloudy	15	9
Sat Jan 30 07:42:49 2010	Seattle, WA	49	Cloudy	56	43
Sat Jan 30 07:42:50 2010	Detroit, MI	13	Fair	19	5
Sat Jan 30 07:42:50 2010	Philadelphia, PA	21	Cloudy	31	16
Sat Jan 30 08:25:36 2010	Charlotte, NC	30	Light Snow	43	28
Sat Jan 30 08:25:36 2010	San Jose, CA	52	Mostly Cloudy	63	46
Sat Jan 30 08:25:37 2010	Denver, CO	32	Clear	43	24
Sat Jan 30 08:25:37 2010	San Diego, CA	47	Partly Cloudy	64	48
Sat Jan 30 08:25:38 2010	Memphis, TN	28	Light Snow	30	24
Sat Jan 30 08:25:38 2010	Los Angeles, CA	54	Fair	64	48
Sat Jan 30 08:25:39 2010	New York, NY	16	Fair	25	14
Sat Jan 30 08:25:39 2010	El Paso, TX	36	Partly Cloudy	48	28
Sat Jan 30 08:25:40 2010	Baltimore, MD	23	Fair	26	19
Sat Jan 30 08:25:40 2010	Las Vegas, NV	45	Fair	58	43
Sat Jan 30 08:25:41 2010	Washington, DC	22	Cloudy	27	19
Sat Jan 30 08:25:41 2010	Austin, TX	31	Fair	45	30
Sat Jan 30 08:25:42 2010	Oklahoma City, OK	20	Cloudy	26	17
Sat Jan 30 08:25:42 2010	San Francisco, CA	53	Cloudy	55	51
Sat Jan 30 08:25:43 2010	Nashville, TN	26	Light Snow	28	24
Sat Jan 30 08:25:43 2010	Fort Worth, TX	28	Cloudy	35	25
Sat Jan 30 08:25:44 2010	Portland, OR	44	Light Rain	51	43
Sat Jan 30 08:25:44 2010	Phoenix, AZ	54	Mostly Cloudy	66	47
Sat Jan 30 08:25:45 2010	Chicago, IL	18	Light Snow	19	17
Sat Jan 30 08:25:45 2010	San Antonio, TX	37	Fair	53	32
Sat Jan 30 08:25:46 2010	Indianapolis, IN	16	Cloudy	19	14
Sat Jan 30 08:25:46 2010	Boston, MA	8	Partly Cloudy	20	4
Sat Jan 30 08:25:47 2010	Columbus, OH	15	Fair	17	13
Sat Jan 30 08:25:47 2010	Jacksonville, FL	58	Cloudy	66	55
Sat Jan 30 08:25:48 2010	Dallas, TX	29	Cloudy	38	28
Sat Jan 30 08:25:48 2010	Houston, TX	36	Cloudy	52	33
Sat Jan 30 08:25:49 2010	Milwaukee, WI	16	Light Snow	15	9
Sat Jan 30 08:25:49 2010	Seattle, WA	49	Light Rain	56	43
Sat Jan 30 08:25:50 2010	Detroit, MI	12	Fair	19	5
Sat Jan 30 08:25:50 2010	Philadelphia, PA	20	Cloudy	31	16
Sat Jan 30 11:54:58 2010	San Jose, CA	49	Fair	60	42
Sat Jan 30 11:54:59 2010	Charlotte, NC	28	Wintry Mix	28	13
Sat Jan 30 11:55:00 2010	Denver, CO	23	Partly Cloudy	46	30
Sat Jan 30 11:55:00 2010	San Diego, CA	46	Fog	65	44
Sat Jan 30 11:55:01 2010	Memphis, TN	25	Cloudy	31	15
Sat Jan 30 11:55:02 2010	El Paso, TX	31	Fair	56	36
Sat Jan 30 11:55:02 2010	Los Angeles, CA	54	Partly Cloudy	64	46
Sat Jan 30 11:55:03 2010	Baltimore, MD	23	Partly Cloudy	21	20
Sat Jan 30 11:55:03 2010	New York, NY	15	Fair	25	16
Sat Jan 30 11:55:04 2010	Las Vegas, NV	44	Partly Cloudy	62	39
Sat Jan 30 11:55:05 2010	Washington, DC	22	Cloudy	23	19
Sat Jan 30 11:55:05 2010	Austin, TX	31	Mostly Cloudy	50	31
Sat Jan 30 11:55:06 2010	San Francisco, CA	48	Partly Cloudy	54	46
Sat Jan 30 11:55:07 2010	Oklahoma City, OK	19	Cloudy	27	14
Sat Jan 30 11:55:07 2010	Nashville, TN	25	Light Snow	30	9
Sat Jan 30 11:55:08 2010	Fort Worth, TX	25	Cloudy	37	26
Sat Jan 30 11:55:08 2010	Phoenix, AZ	52	Partly Cloudy	71	47
Sat Jan 30 11:55:09 2010	Portland, OR	43	Light Rain	49	44
Sat Jan 30 11:55:10 2010	Chicago, IL	19	Cloudy	25	16
Sat Jan 30 11:55:10 2010	San Antonio, TX	35	Fair	55	32
Sat Jan 30 11:55:11 2010	Indianapolis, IN	16	Cloudy	24	14
Sat Jan 30 11:55:12 2010	Boston, MA	6	Fair	24	12
Sat Jan 30 11:55:12 2010	Jacksonville, FL	58	Cloudy	69	42
Sat Jan 30 11:55:13 2010	Columbus, OH	16	Cloudy	23	12
Sat Jan 30 11:55:14 2010	Dallas, TX	27	Cloudy	39	29
Sat Jan 30 11:55:14 2010	Houston, TX	34	Partly Cloudy	49	33
Sat Jan 30 11:55:15 2010	Milwaukee, WI	17	Light Snow	22	10
Sat Jan 30 11:55:15 2010	Seattle, WA	46	Light Rain	56	44
Sat Jan 30 11:55:16 2010	Detroit, MI	11	Fair	22	16
Sat Jan 30 11:55:17 2010	Philadelphia, PA	19	Cloudy	26	17
Sat Jan 30 12:39:02 2010	Charlotte, NC	29	Wintry Mix	28	13
Sat Jan 30 12:39:02 2010	San Jose, CA	46	Fair	60	42
Sat Jan 30 12:39:03 2010	Denver, CO	20	Partly Cloudy	46	30
Sat Jan 30 12:39:03 2010	San Diego, CA	46	Fog	65	44
Sat Jan 30 12:39:04 2010	Memphis, TN	25	Cloudy	31	15
Sat Jan 30 12:39:04 2010	Los Angeles, CA	53	Partly Cloudy	64	44
Sat Jan 30 12:39:05 2010	New York, NY	15	Fair	25	16
Sat Jan 30 12:39:05 2010	El Paso, TX	30	Fair	56	36
Sat Jan 30 12:39:06 2010	Baltimore, MD	21	Cloudy	21	20
Sat Jan 30 12:39:06 2010	Washington, DC	22	Cloudy	23	19
Sat Jan 30 12:39:06 2010	Las Vegas, NV	44	Fair	62	39
Sat Jan 30 12:39:07 2010	Austin, TX	31	Cloudy	50	31
Sat Jan 30 12:39:07 2010	San Francisco, CA	47	Partly Cloudy	54	46
Sat Jan 30 12:39:08 2010	Oklahoma City, OK	20	Cloudy	27	14
Sat Jan 30 12:39:08 2010	Nashville, TN	23	Light Snow	30	9
Sat Jan 30 12:39:09 2010	Fort Worth, TX	25	Cloudy	37	26
Sat Jan 30 12:39:09 2010	Phoenix, AZ	52	Partly Cloudy	71	47
Sat Jan 30 12:39:10 2010	Chicago, IL	19	Cloudy	25	16
Sat Jan 30 12:39:10 2010	Portland, OR	42	Light Rain	49	44
Sat Jan 30 12:39:11 2010	Indianapolis, IN	16	Cloudy	24	14
Sat Jan 30 12:39:11 2010	San Antonio, TX	34	Fair	55	32
Sat Jan 30 12:39:12 2010	Boston, MA	6	Partly Cloudy	24	12
Sat Jan 30 12:39:12 2010	Jacksonville, FL	60	Cloudy	69	42
Sat Jan 30 12:39:13 2010	Columbus, OH	16	Cloudy	23	12
Sat Jan 30 12:39:13 2010	Dallas, TX	27	Cloudy	39	29
Sat Jan 30 12:39:14 2010	Houston, TX	32	Mostly Cloudy	49	33
Sat Jan 30 12:39:14 2010	Seattle, WA	46	Light Rain	50	45
Sat Jan 30 12:39:15 2010	Detroit, MI	11	Fair	22	16
Sat Jan 30 12:39:15 2010	Milwaukee, WI	18	Light Snow	23	10
Sat Jan 30 12:39:16 2010	Philadelphia, PA	18	Cloudy	26	17
Sat Jan 30 13:22:02 2010	San Jose, CA	46	Fair	60	42
Sat Jan 30 13:22:03 2010	Charlotte, NC	29	Wintry Mix	29	13
Sat Jan 30 13:22:04 2010	Denver, CO	22	Partly Cloudy	46	30
Sat Jan 30 13:22:04 2010	San Diego, CA	47	Fog	65	44
Sat Jan 30 13:22:05 2010	Memphis, TN	25	Cloudy	31	15
Sat Jan 30 13:22:05 2010	Los Angeles, CA	52	Fair	64	44
Sat Jan 30 13:22:06 2010	El Paso, TX	31	Fair	56	36
Sat Jan 30 13:22:07 2010	Baltimore, MD	21	Cloudy	21	20
Sat Jan 30 13:22:07 2010	New York, NY	13	Fair	25	16
Sat Jan 30 13:22:08 2010	Washington, DC	22	Cloudy	23	19
Sat Jan 30 13:22:08 2010	Las Vegas, NV	44	Fair	62	39
Sat Jan 30 13:22:09 2010	Austin, TX	32	Cloudy	50	31
Sat Jan 30 13:22:10 2010	Oklahoma City, OK	19	Cloudy	27	14
Sat Jan 30 13:22:10 2010	San Francisco, CA	47	Partly Cloudy	54	46
Sat Jan 30 13:22:11 2010	Nashville, TN	23	Light Snow	30	9
Sat Jan 30 13:22:11 2010	Fort Worth, TX	25	Cloudy	37	26
Sat Jan 30 13:22:12 2010	Phoenix, AZ	52	Partly Cloudy	71	47
Sat Jan 30 13:22:13 2010	Chicago, IL	19	Cloudy	25	16
Sat Jan 30 13:22:13 2010	Portland, OR	42	Light Rain	49	44
Sat Jan 30 13:22:14 2010	Indianapolis, IN	16	Cloudy	24	14
Sat Jan 30 13:22:14 2010	San Antonio, TX	34	Fair	55	32
Sat Jan 30 13:22:15 2010	Boston, MA	6	Partly Cloudy	24	12
Sat Jan 30 13:22:16 2010	Columbus, OH	16	Mostly Cloudy	23	12
Sat Jan 30 13:22:16 2010	Jacksonville, FL	61	Cloudy	69	42
Sat Jan 30 13:22:17 2010	Dallas, TX	27	Cloudy	39	29
Sat Jan 30 13:22:17 2010	Houston, TX	32	Fair	49	33
Sat Jan 30 13:22:18 2010	Seattle, WA	45	Light Rain	50	45
Sat Jan 30 13:22:19 2010	Detroit, MI	11	Fair	22	16
Sat Jan 30 13:22:19 2010	Milwaukee, WI	19	Light Snow	23	10
Sat Jan 30 13:22:20 2010	Philadelphia, PA	18	Cloudy	26	17
Sat Jan 30 14:05:56 2010	Charlotte, NC	28	Wintry Mix	28	13
Sat Jan 30 14:05:56 2010	San Jose, CA	46	Fair	60	42
Sat Jan 30 14:05:57 2010	Denver, CO	22	Partly Cloudy	46	30
Sat Jan 30 14:05:57 2010	San Diego, CA	46	Fog	65	44
Sat Jan 30 14:05:58 2010	Memphis, TN	25	Light Snow	31	15
Sat Jan 30 14:05:59 2010	El Paso, TX	30	Fair	56	36
Sat Jan 30 14:05:59 2010	Los Angeles, CA	51	Fair	64	44
Sat Jan 30 14:06:00 2010	Baltimore, MD	21	Cloudy	21	20
Sat Jan 30 14:06:00 2010	New York, NY	13	Fair	25	16
Sat Jan 30 14:06:00 2010	Las Vegas, NV	44	Fair	62	39
Sat Jan 30 14:06:01 2010	Washington, DC	22	Cloudy	22	19
Sat Jan 30 14:06:01 2010	Austin, TX	32	Cloudy	50	31
Sat Jan 30 14:06:02 2010	Oklahoma City, OK	19	Cloudy	27	14
Sat Jan 30 14:06:02 2010	San Francisco, CA	47	Partly Cloudy	54	46
Sat Jan 30 14:06:03 2010	Nashville, TN	23	Light Snow	30	9
Sat Jan 30 14:06:03 2010	Fort Worth, TX	25	Cloudy	37	26
Sat Jan 30 14:06:04 2010	Phoenix, AZ	51	Partly Cloudy	71	47
Sat Jan 30 14:06:05 2010	Chicago, IL	19	Cloudy	25	16
Sat Jan 30 14:06:05 2010	Portland, OR	42	Light Rain	49	44
Sat Jan 30 14:06:06 2010	Boston, MA	6	Partly Cloudy	24	12
Sat Jan 30 14:06:06 2010	Indianapolis, IN	16	Cloudy	24	14
Sat Jan 30 14:06:06 2010	San Antonio, TX	34	Fair	55	32
Sat Jan 30 14:06:07 2010	Columbus, OH	16	Cloudy	23	12
Sat Jan 30 14:06:07 2010	Jacksonville, FL	61	Cloudy	69	42
Sat Jan 30 14:06:08 2010	Dallas, TX	27	Cloudy	39	29
Sat Jan 30 14:06:08 2010	Houston, TX	34	Mostly Cloudy	49	33
Sat Jan 30 14:06:09 2010	Seattle, WA	45	Light Rain	50	45
Sat Jan 30 14:06:10 2010	Detroit, MI	11	Fair	22	16
Sat Jan 30 14:06:10 2010	Milwaukee, WI	19	Light Snow	22	10
Sat Jan 30 14:06:10 2010	Philadelphia, PA	18	Cloudy	26	17
Sat Jan 30 14:50:04 2010	San Jose, CA	41	Partly Cloudy	60	42
Sat Jan 30 14:50:05 2010	Charlotte, NC	28	Wintry Mix	28	13
Sat Jan 30 14:50:05 2010	San Diego, CA	45	Fair	65	44
Sat Jan 30 14:50:06 2010	Denver, CO	22	Partly Cloudy	46	30
Sat Jan 30 14:50:07 2010	Memphis, TN	25	Cloudy	31	15
Sat Jan 30 14:50:07 2010	Los Angeles, CA	51	Fair	64	44
Sat Jan 30 14:50:08 2010	New York, NY	13	Fair	25	16
Sat Jan 30 14:50:08 2010	El Paso, TX	30	Fair	56	36
Sat Jan 30 14:50:09 2010	Baltimore, MD	21	Cloudy	21	20
Sat Jan 30 14:50:10 2010	Washington, DC	22	Cloudy	22	19
Sat Jan 30 14:50:10 2010	Las Vegas, NV	43	Fair	62	39
Sat Jan 30 14:50:11 2010	Austin, TX	30	Partly Cloudy	50	31
Sat Jan 30 14:50:11 2010	San Francisco, CA	46	Partly Cloudy	54	46
Sat Jan 30 14:50:12 2010	Oklahoma City, OK	20	Cloudy	27	14
Sat Jan 30 14:50:13 2010	Nashville, TN	21	Light Snow	31	9
Sat Jan 30 14:50:13 2010	Fort Worth, TX	24	Cloudy	37	26
Sat Jan 30 14:50:14 2010	Phoenix, AZ	51	Partly Cloudy	71	47
Sat Jan 30 14:50:15 2010	Chicago, IL	18	Light Snow	26	16
Sat Jan 30 14:50:15 2010	Portland, OR	42	Light Rain	49	44
Sat Jan 30 14:50:16 2010	Indianapolis, IN	16	Cloudy	24	14
Sat Jan 30 14:50:16 2010	San Antonio, TX	33	Fair	55	32
Sat Jan 30 14:50:17 2010	Boston, MA	7	Partly Cloudy	24	12
Sat Jan 30 14:50:18 2010	Columbus, OH	16	Cloudy	22	12
Sat Jan 30 14:50:18 2010	Jacksonville, FL	62	Cloudy	68	42
Sat Jan 30 14:50:19 2010	Dallas, TX	27	Cloudy	39	29
Sat Jan 30 14:50:19 2010	Houston, TX	34	Cloudy	50	33
Sat Jan 30 14:50:20 2010	Seattle, WA	46	Light Rain	50	45
Sat Jan 30 14:50:21 2010	Detroit, MI	12	Cloudy	22	16
Sat Jan 30 14:50:21 2010	Milwaukee, WI	19	Light Snow	22	10
Sat Jan 30 14:50:22 2010	Philadelphia, PA	18	Cloudy	26	17
Sat Jan 30 15:34:40 2010	Charlotte, NC	28	Light Sleet	28	13
