8	weather.msn.com											
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F)	Feels like (°F)	Barometer (in)	Dewpoint (°)	Humidity (%)	Visibility (miles)	Precip last hr (in)	Precip last 24 hrs (in)	(Wind Speed)	Wind (mph)
Mon Feb  1 19:15:42 2010	Los Angeles, CA (90012) 	Haze	61	61	30	45	55	6	NA	NA	0	
Mon Feb  1 19:15:43 2010	El Paso, TX (79901) 	Special weather statementPartly Cloudy	55	55	30	37	50	10	NA	NA	0	
Mon Feb  1 19:15:44 2010	Baltimore, MD (21201) 	Mostly Cloudy	32	23	30.3	16	51	10	NA	NA	10	W
Mon Feb  1 19:15:44 2010	New York, NY (10038) 	Clear	34	25	30.2	9	34	10	NA	NA	11	W
Mon Feb  1 19:15:45 2010	Las Vegas, NV (89106) 	Clear	48	48	30	34	57	10	NA	NA	0	
Mon Feb  1 19:15:46 2010	Washington, DC (20001) 	Cloudy	36	27	30.4	12	38	10	NA	NA	14	WNW
Mon Feb  1 19:15:46 2010	Austin, TX (78701) 	Fog	39	37	30.1	37	93	1	NA	NA	3	ESE
Mon Feb  1 19:15:47 2010	Oklahoma City, OK (73102) 	Fog	30	23	30	28	93	1	NA	NA	8	S
Mon Feb  1 19:15:47 2010	San Francisco, CA (94109) 	Mostly Cloudy	52	52	30	45	76	10	NA	NA	0	
Mon Feb  1 19:15:48 2010	Nashville, TN (37203) 	Mostly Cloudy	37	36	30.3	25	60	10	NA	NA	3	S
Mon Feb  1 19:15:48 2010	Fort Worth, TX (76102) 	Fog	37	30	30.1	34	87	6	NA	NA	9	SSW
Mon Feb  1 19:15:49 2010	Phoenix, AZ (85004) 	Mostly Cloudy	57	57	30	39	51	10	NA	NA	7	E
Mon Feb  1 19:15:50 2010	Chicago, IL (60610) 	Cloudy	27	27	30.3	12	54	8	NA	NA	0	
Mon Feb  1 19:15:50 2010	Portland, OR (97205) 	Cloudy	43	43	29.9	37	81	10	NA	NA	0	
Mon Feb  1 19:15:51 2010	San Antonio, TX (78207) 	Fog	41	41	30.1	41	100	2	NA	NA	6	NNE
Mon Feb  1 19:15:52 2010	Indianapolis, IN (46204) 	Mostly Cloudy	30	30	30.3	16	55	10	NA	NA	0	
Mon Feb  1 19:15:53 2010	Columbus, OH (43215) 	Mostly Cloudy	30	23	30.3	16	55	10	NA	NA	8	SSW
Mon Feb  1 19:15:53 2010	Jacksonville, FL (32202) 	Clear	55	55	NA	48	76	10	NA	NA	14	NE
Mon Feb  1 19:15:56 2010	Dallas, TX (75201) 	Mostly Cloudy	45	45	30.1	34	65	9	NA	NA	9	S
Mon Feb  1 19:15:56 2010	Houston, TX (77003) 	Cloudy	45	45	30.1	43	93	1	NA	NA	6	ENE
Mon Feb  1 19:15:57 2010	Seattle, WA (98104) 	Partly Cloudy	45	45	29.9	41	87	10	NA	0.02	0	
Mon Feb  1 19:15:58 2010	Milwaukee, WI (53202) 	Cloudy	25	25	30.3	9	50	9	NA	NA	0	
Mon Feb  1 19:15:59 2010	Detroit, MI (48226) 	Cloudy	27	19	30.3	10	50	10	NA	NA	7	WNW
Mon Feb  1 19:15:59 2010	Philadelphia, PA (19107) 	Cloudy	34	27	30.3	10	37	10	NA	NA	9	WNW
Mon Feb  1 20:00:29 2010	Charlotte, NC (28202) 	Partly Cloudy	43	43	30.3	27	52	10	NA	NA	5	SW
Mon Feb  1 20:00:29 2010	San Jose, CA (95112) 	Mostly Cloudy	52	52	29.9	45	76	10	NA	NA	5	SE
Mon Feb  1 20:00:30 2010	San Diego, CA (92102) 	Mostly Cloudy	57	57	30	48	72	7	NA	NA	5	N
Mon Feb  1 20:00:31 2010	Denver, CO (80203) 	Mostly Sunny	41	41	29.8	5	22	Unlimited	NA	NA	9	WSW
Mon Feb  1 20:00:31 2010	Memphis, TN (38103) 	Mostly Cloudy	45	45	30.2	30	57	10	NA	NA	6	ESE
Mon Feb  1 20:00:32 2010	Los Angeles, CA (90012) 	Haze	61	61	30	45	55	6	NA	NA	0	
Mon Feb  1 20:00:33 2010	El Paso, TX (79901) 	Special weather statementPartly Cloudy	55	55	30	37	50	10	NA	NA	0	
Mon Feb  1 20:00:34 2010	Baltimore, MD (21201) 	Mostly Cloudy	32	23	30.3	16	51	10	NA	NA	10	W
Mon Feb  1 20:00:34 2010	New York, NY (10038) 	Clear	34	25	30.2	9	34	10	NA	NA	11	W
Mon Feb  1 20:00:35 2010	Las Vegas, NV (89106) 	Clear	48	48	30	34	57	10	NA	NA	0	
Mon Feb  1 20:00:36 2010	Washington, DC (20001) 	Cloudy	36	27	30.4	12	38	10	NA	NA	14	WNW
Mon Feb  1 20:00:36 2010	Austin, TX (78701) 	Fog	41	41	30.1	37	87	3	NA	NA	0	
Mon Feb  1 20:00:37 2010	San Francisco, CA (94109) 	Mostly Cloudy	52	52	30	45	76	10	NA	NA	0	
Mon Feb  1 20:00:38 2010	Oklahoma City, OK (73102) 	Short term forecastFog	30	21	30	28	93	1	NA	NA	10	S
Mon Feb  1 20:00:38 2010	Nashville, TN (37203) 	Mostly Cloudy	37	36	30.3	25	60	10	NA	NA	3	S
Mon Feb  1 20:00:39 2010	Fort Worth, TX (76102) 	Fog	37	30	30.1	34	87	6	NA	NA	9	SSW
Mon Feb  1 20:00:39 2010	Phoenix, AZ (85004) 	Mostly Cloudy	57	57	30	39	51	10	NA	NA	7	E
Mon Feb  1 20:00:40 2010	Chicago, IL (60610) 	Cloudy	27	27	30.3	12	54	8	NA	NA	0	
Mon Feb  1 20:00:40 2010	Portland, OR (97205) 	Cloudy	43	43	29.9	37	81	10	NA	NA	0	
Mon Feb  1 20:00:41 2010	San Antonio, TX (78207) 	Fog	43	43	30.1	43	100	2	NA	NA	5	NNE
Mon Feb  1 20:00:42 2010	Indianapolis, IN (46204) 	Mostly Cloudy	30	30	30.3	16	55	10	NA	NA	0	
Mon Feb  1 20:00:43 2010	Jacksonville, FL (32202) 	Clear	55	55	NA	48	76	10	NA	NA	14	NE
Mon Feb  1 20:00:44 2010	Columbus, OH (43215) 	Mostly Cloudy	30	23	30.3	16	55	10	NA	NA	8	SSW
Mon Feb  1 20:00:44 2010	Dallas, TX (75201) 	Cloudy	46	46	30.1	36	66	8	NA	NA	9	SSW
Mon Feb  1 20:00:45 2010	Houston, TX (77003) 	Cloudy	45	45	30.1	45	100	1	NA	NA	7	E
Mon Feb  1 20:00:46 2010	Milwaukee, WI (53202) 	Cloudy	25	25	30.3	9	50	9	NA	NA	0	
Mon Feb  1 20:00:46 2010	Seattle, WA (98104) 	Partly Cloudy	45	45	29.9	41	87	10	NA	0.02	0	
Mon Feb  1 20:00:47 2010	Detroit, MI (48226) 	Cloudy	27	19	30.3	10	50	10	NA	NA	7	WNW
Mon Feb  1 20:00:48 2010	Philadelphia, PA (19107) 	Cloudy	34	27	30.3	10	37	10	NA	NA	9	WNW
Mon Feb  1 20:47:21 2010	San Jose, CA (95112) 	Mostly Cloudy	57	57	29.9	45	62	10	NA	NA	0	
Mon Feb  1 20:47:22 2010	Charlotte, NC (28202) 	Partly Cloudy	45	45	30.3	25	45	10	NA	NA	0	
Mon Feb  1 20:47:22 2010	San Diego, CA (92102) 	Mostly Cloudy	61	61	30	48	63	10	NA	NA	3	NE
Mon Feb  1 20:47:23 2010	Denver, CO (80203) 	Mostly Sunny	43	43	29.8	7	22	Unlimited	NA	NA	2	N
Mon Feb  1 20:47:24 2010	Memphis, TN (38103) 	Cloudy	46	46	30.2	30	53	10	NA	NA	0	
Mon Feb  1 20:47:25 2010	El Paso, TX (79901) 	Special weather statementPartly Cloudy	61	61	30	28	29	10	NA	NA	13	WNW
Mon Feb  1 20:47:25 2010	Los Angeles, CA (90012) 	Haze	63	63	30	46	55	5	NA	NA	0	
Mon Feb  1 20:47:26 2010	New York, NY (10038) 	Clear	34	28	30.2	9	34	10	NA	NA	7	WSW
Mon Feb  1 20:47:27 2010	Baltimore, MD (21201) 	Mostly Cloudy	34	25	30.3	14	44	10	NA	NA	14	WNW
Mon Feb  1 20:47:28 2010	Las Vegas, NV (89106) 	Clear	52	52	30	32	46	10	NA	NA	0	
Mon Feb  1 20:47:29 2010	Washington, DC (20001) 	Cloudy	37	32	30.3	12	35	10	NA	NA	8	WNW
Mon Feb  1 20:47:29 2010	Austin, TX (78701) 	Fog	43	43	30.1	39	87	3	NA	NA	0	
Mon Feb  1 20:47:30 2010	Oklahoma City, OK (73102) 	Short term forecastFog	30	21	30	28	93	1	NA	NA	10	SSW
Mon Feb  1 20:47:30 2010	San Francisco, CA (94109) 	Mostly Cloudy	52	52	30	46	82	10	NA	NA	0	
Mon Feb  1 20:47:31 2010	Nashville, TN (37203) 	Mostly Cloudy	41	41	30.2	25	52	10	NA	NA	0	
Mon Feb  1 20:47:32 2010	Fort Worth, TX (76102) 	Cloudy	39	34	30.1	34	81	9	NA	NA	8	SW
Mon Feb  1 20:47:32 2010	Phoenix, AZ (85004) 	Mostly Cloudy	61	61	30	43	51	10	NA	NA	5	E
Mon Feb  1 20:47:33 2010	Portland, OR (97205) 	Rain	43	43	29.9	39	87	10	0	NA	3	WNW
Mon Feb  1 20:47:34 2010	Chicago, IL (60610) 	Cloudy	28	28	30.2	14	54	7	NA	NA	0	
Mon Feb  1 20:47:34 2010	San Antonio, TX (78207) 	Fog	43	43	30	43	100	1	NA	NA	0	
Mon Feb  1 20:47:35 2010	Indianapolis, IN (46204) 	Mostly Cloudy	34	30	30.2	16	47	10	NA	NA	5	S
Mon Feb  1 20:47:36 2010	Columbus, OH (43215) 	Mostly Cloudy	34	34	30.3	14	44	10	NA	NA	0	
Mon Feb  1 20:47:36 2010	Jacksonville, FL (32202) 	Cloudy	57	57	30.2	52	82	10	NA	NA	14	NNE
Mon Feb  1 20:47:37 2010	Dallas, TX (75201) 	Cloudy	46	46	30.1	36	66	10	NA	NA	6	SW
Mon Feb  1 20:47:38 2010	Seattle, WA (98104) 	Cloudy	46	46	29.9	41	81	10	NA	0.02	0	
Mon Feb  1 20:47:38 2010	Houston, TX (77003) 	Cloudy	46	46	30	45	93	2	NA	NA	7	E
Mon Feb  1 20:47:39 2010	Milwaukee, WI (53202) 	Cloudy	25	25	30.2	9	50	10	NA	NA	0	
Mon Feb  1 20:47:40 2010	Detroit, MI (48226) 	Mostly Sunny	27	18	30.3	12	54	10	NA	NA	8	WSW
Mon Feb  1 20:47:41 2010	Philadelphia, PA (19107) 	Mostly Cloudy	36	27	30.3	12	38	10	NA	NA	15	WSW
Mon Feb  1 21:31:52 2010	Charlotte, NC (28202) 	Freezing Rain AdvisoryMostly Sunny	46	46	30.3	23	39	10	NA	NA	3	SSE
Mon Feb  1 21:31:52 2010	San Jose, CA (95112) 	Mostly Cloudy	61	61	29.9	45	55	10	NA	NA	3	ENE
Mon Feb  1 21:31:53 2010	San Diego, CA (92102) 	Mostly Cloudy	61	61	29.9	48	63	8	NA	NA	5	
Mon Feb  1 21:31:54 2010	Denver, CO (80203) 	Mostly Sunny	45	45	29.8	7	21	Unlimited	NA	NA	3	N
Mon Feb  1 21:31:54 2010	Memphis, TN (38103) 	Cloudy	46	46	30.2	28	49	10	NA	NA	5	SSE
Mon Feb  1 21:31:55 2010	Los Angeles, CA (90012) 	Haze	64	64	29.9	45	48	6	NA	NA	0	
Mon Feb  1 21:31:56 2010	El Paso, TX (79901) 	Special weather statementPartly Cloudy	61	61	29.9	32	33	10	NA	NA	13	W
Mon Feb  1 21:31:57 2010	Baltimore, MD (21201) 	Mostly Cloudy	34	28	30.3	14	44	10	NA	NA	7	WNW
Mon Feb  1 21:31:57 2010	New York, NY (10038) 	Clear	34	27	30.2	9	34	10	NA	NA	10	W
Mon Feb  1 21:31:58 2010	Las Vegas, NV (89106) 	Clear	54	54	30	28	37	10	NA	NA	5	E
Mon Feb  1 21:31:59 2010	Washington, DC (20001) 	Cloudy	37	32	30.3	12	35	10	NA	NA	8	W
Mon Feb  1 21:31:59 2010	Austin, TX (78701) 	Short term forecastFog	43	43	30.1	39	87	4	NA	NA	0	
Mon Feb  1 21:32:00 2010	San Francisco, CA (94109) 	Mostly Cloudy	54	54	29.9	46	76	10	NA	NA	0	
Mon Feb  1 21:32:01 2010	Oklahoma City, OK (73102) 	Short term forecastFog	30	21	30	28	93	1	NA	NA	9	SW
Mon Feb  1 21:32:01 2010	Nashville, TN (37203) 	Mostly Cloudy	43	43	30.2	27	52	10	NA	NA	6	E
Mon Feb  1 21:32:02 2010	Fort Worth, TX (76102) 	Cloudy	41	41	30	34	75	10	NA	NA	5	SSW
Mon Feb  1 21:32:02 2010	Phoenix, AZ (85004) 	Mostly Cloudy	63	63	29.9	39	42	10	NA	NA	0	
Mon Feb  1 21:32:03 2010	Portland, OR (97205) 	Rain	43	43	29.9	39	87	9	0.01	NA	5	NE
Mon Feb  1 21:32:04 2010	Chicago, IL (60610) 	Cloudy	30	30	30.2	16	55	8	NA	NA	0	
Mon Feb  1 21:32:05 2010	San Antonio, TX (78207) 	Short term forecastFog	45	45	30	45	100	1	0.01	NA	0	
Mon Feb  1 21:32:06 2010	Indianapolis, IN (46204) 	Mostly Cloudy	36	36	30.2	16	44	10	NA	NA	0	
Mon Feb  1 21:32:06 2010	Jacksonville, FL (32202) 	Cloudy	55	55	30.2	52	88	10	NA	NA	14	NNE
Mon Feb  1 21:32:07 2010	Columbus, OH (43215) 	Mostly Cloudy	34	34	30.3	14	44	10	NA	NA	0	
Mon Feb  1 21:32:07 2010	Dallas, TX (75201) 	Cloudy	46	46	30	36	66	10	NA	NA	7	SW
Mon Feb  1 21:32:08 2010	Houston, TX (77003) 	Cloudy	48	48	30	46	93	2	NA	NA	6	E
Mon Feb  1 21:32:09 2010	Milwaukee, WI (53202) 	Mostly Cloudy	28	23	30.2	10	46	8	NA	NA	5	ENE
Mon Feb  1 21:32:09 2010	Seattle, WA (98104) 	Cloudy	48	48	29.9	41	76	10	NA	0.02	0	
Mon Feb  1 21:32:10 2010	Detroit, MI (48226) 	Cloudy	27	18	30.3	12	54	10	NA	NA	8	W
Mon Feb  1 21:32:10 2010	Philadelphia, PA (19107) 	Mostly Cloudy	36	27	30.3	12	38	10	NA	NA	16	W
Mon Feb  1 22:15:14 2010	San Jose, CA (95112) 	Mostly Cloudy	63	63	29.9	43	48	10	NA	NA	5	E
Mon Feb  1 22:15:15 2010	Charlotte, NC (28202) 	Freezing Rain AdvisoryMostly Sunny	48	48	30.3	21	34	10	NA	NA	0	
Mon Feb  1 22:15:15 2010	San Diego, CA (92102) 	Mostly Cloudy	63	63	29.9	50	63	9	NA	NA	6	WNW
Mon Feb  1 22:15:16 2010	Denver, CO (80203) 	Mostly Sunny	45	45	29.8	7	21	Unlimited	NA	NA	0	
Mon Feb  1 22:15:17 2010	Memphis, TN (38103) 	Cloudy	46	46	30.1	30	53	10	NA	NA	3	SE
Mon Feb  1 22:15:17 2010	Los Angeles, CA (90012) 	Haze	66	66	29.9	45	45	6	NA	NA	0	
Mon Feb  1 22:15:18 2010	El Paso, TX (79901) 	Special weather statementPartly Cloudy	61	61	29.9	34	36	10	NA	NA	0	
Mon Feb  1 22:15:19 2010	Baltimore, MD (21201) 	Mostly Cloudy	34	25	30.3	14	44	10	NA	NA	13	W
Mon Feb  1 22:15:19 2010	New York, NY (10038) 	Clear	36	28	30.2	9	32	10	NA	NA	9	W
Mon Feb  1 22:15:20 2010	Las Vegas, NV (89106) 	Clear	55	55	30	28	35	10	NA	NA	5	
Mon Feb  1 22:15:21 2010	Washington, DC (20001) 	Mostly Cloudy	39	34	30.3	12	33	10	NA	NA	7	WNW
Mon Feb  1 22:15:21 2010	Austin, TX (78701) 	Short term forecastHaze	45	45	30	39	81	6	NA	NA	0	
Mon Feb  1 22:15:24 2010	Oklahoma City, OK (73102) 	Fog	30	23	30	28	93	1	NA	NA	8	SSW
Mon Feb  1 22:15:24 2010	San Francisco, CA (94109) 	Mostly Cloudy	57	57	29.9	46	67	10	NA	NA	3	S
Mon Feb  1 22:15:25 2010	Nashville, TN (37203) 	Cloudy	39	36	30.2	28	65	10	NA	NA	5	ESE
Mon Feb  1 22:15:25 2010	Fort Worth, TX (76102) 	Cloudy	43	43	30	36	75	10	NA	NA	6	SSW
Mon Feb  1 22:15:26 2010	Phoenix, AZ (85004) 	Mostly Cloudy	64	64	29.9	39	39	10	NA	NA	0	
Mon Feb  1 22:15:27 2010	Portland, OR (97205) 	Rain	43	43	29.9	41	93	10	0.02	NA	7	ESE
Mon Feb  1 22:15:28 2010	Chicago, IL (60610) 	Cloudy	30	30	30.2	16	55	7	NA	NA	0	
Mon Feb  1 22:15:28 2010	San Antonio, TX (78207) 	Short term forecastFog	45	45	30	45	100	3	0	NA	0	
Mon Feb  1 22:15:29 2010	Indianapolis, IN (46204) 	Mostly Cloudy	37	37	30.2	16	41	10	NA	NA	0	
Mon Feb  1 22:15:31 2010	Columbus, OH (43215) 	Cloudy	34	34	30.3	14	44	10	NA	NA	0	
Mon Feb  1 22:15:31 2010	Jacksonville, FL (32202) 	Cloudy	55	55	30.1	52	88	10	NA	NA	13	NNE
Mon Feb  1 22:15:32 2010	Dallas, TX (75201) 	Cloudy	46	46	30	36	66	10	NA	NA	8	WSW
Mon Feb  1 22:15:33 2010	Seattle, WA (98104) 	Partly Cloudy	48	48	29.9	39	71	10	NA	0.02	0	
Mon Feb  1 22:15:33 2010	Houston, TX (77003) 	Cloudy	48	48	30	46	93	3	NA	NA	7	E
Mon Feb  1 22:15:34 2010	Milwaukee, WI (53202) 	Cloudy	27	21	30.2	12	54	8	NA	NA	5	E
Mon Feb  1 22:15:35 2010	Detroit, MI (48226) 	Cloudy	27	18	30.3	12	54	10	NA	NA	8	SW
Mon Feb  1 22:15:36 2010	Philadelphia, PA (19107) 	Mostly Cloudy	36	28	30.3	10	35	10	NA	NA	10	WNW
Mon Feb  1 23:00:02 2010	San Jose, CA (95112) 	Mostly Cloudy	63	63	29.9	43	48	10	NA	NA	5	E
Mon Feb  1 23:00:03 2010	Charlotte, NC (28202) 	Freezing Rain AdvisoryMostly Sunny	48	48	30.3	21	34	10	NA	NA	0	
Mon Feb  1 23:00:04 2010	San Diego, CA (92102) 	Mostly Cloudy	63	63	29.9	50	63	9	NA	NA	6	WNW
Mon Feb  1 23:00:05 2010	Denver, CO (80203) 	Mostly Sunny	45	45	29.8	7	21	Unlimited	NA	NA	0	
Mon Feb  1 23:00:06 2010	Memphis, TN (38103) 	Cloudy	46	46	30.1	30	53	10	NA	NA	3	SE
Mon Feb  1 23:00:06 2010	Los Angeles, CA (90012) 	Haze	66	66	29.9	45	45	6	NA	NA	0	
Mon Feb  1 23:00:07 2010	El Paso, TX (79901) 	Special weather statementPartly Cloudy	61	61	29.9	34	36	10	NA	NA	0	
Mon Feb  1 23:00:08 2010	New York, NY (10038) 	Clear	36	28	30.2	9	32	10	NA	NA	9	W
Mon Feb  1 23:00:09 2010	Baltimore, MD (21201) 	Mostly Cloudy	34	25	30.3	14	44	10	NA	NA	13	W
Mon Feb  1 23:00:09 2010	Las Vegas, NV (89106) 	Clear	55	55	30	28	35	10	NA	NA	5	
Mon Feb  1 23:00:10 2010	Washington, DC (20001) 	Mostly Cloudy	39	34	30.3	12	33	10	NA	NA	7	WNW
Mon Feb  1 23:00:10 2010	Austin, TX (78701) 	Short term forecastCloudy	46	46	30	39	76	7	NA	NA	0	
Mon Feb  1 23:00:11 2010	San Francisco, CA (94109) 	Mostly Cloudy	57	57	29.9	46	67	10	NA	NA	3	S
Mon Feb  1 23:00:12 2010	Oklahoma City, OK (73102) 	Freezing Fog AdvisoryFog	30	23	30	28	93	1	NA	NA	8	SSW
Mon Feb  1 23:00:12 2010	Nashville, TN (37203) 	Cloudy	39	36	30.2	28	65	10	NA	NA	5	ESE
Mon Feb  1 23:00:13 2010	Fort Worth, TX (76102) 	Cloudy	43	43	30	36	75	10	NA	NA	6	SSW
Mon Feb  1 23:00:13 2010	Phoenix, AZ (85004) 	Mostly Cloudy	64	64	29.9	39	39	10	NA	NA	0	
Mon Feb  1 23:00:14 2010	Portland, OR (97205) 	Rain	43	43	29.9	41	93	10	0.02	NA	7	ESE
Mon Feb  1 23:00:15 2010	Chicago, IL (60610) 	Cloudy	30	30	30.2	16	55	7	NA	NA	0	
Mon Feb  1 23:00:16 2010	Indianapolis, IN (46204) 	Mostly Cloudy	37	37	30.2	16	41	10	NA	NA	0	
Mon Feb  1 23:00:16 2010	San Antonio, TX (78207) 	Short term forecastFog	45	45	30	45	100	3	0	NA	0	
Mon Feb  1 23:00:17 2010	Jacksonville, FL (32202) 	Cloudy	55	55	30.1	52	88	10	NA	NA	13	NNE
Mon Feb  1 23:00:18 2010	Columbus, OH (43215) 	Cloudy	34	34	30.3	14	44	10	NA	NA	0	
Mon Feb  1 23:00:18 2010	Dallas, TX (75201) 	Cloudy	46	46	30	36	66	10	NA	NA	8	WSW
Mon Feb  1 23:00:19 2010	Houston, TX (77003) 	Cloudy	48	48	30	46	93	1	NA	NA	6	NE
Mon Feb  1 23:00:20 2010	Seattle, WA (98104) 	Partly Cloudy	48	48	29.9	39	71	10	NA	0.02	0	
Mon Feb  1 23:00:21 2010	Milwaukee, WI (53202) 	Cloudy	27	21	30.2	12	54	8	NA	NA	5	E
Mon Feb  1 23:00:21 2010	Detroit, MI (48226) 	Cloudy	27	18	30.3	12	54	10	NA	NA	8	SW
Mon Feb  1 23:00:22 2010	Philadelphia, PA (19107) 	Mostly Cloudy	36	28	30.3	10	35	10	NA	NA	10	WNW
Mon Feb  1 23:44:42 2010	San Jose, CA (95112) 	Mostly Cloudy	63	63	29.9	43	48	10	NA	NA	6	SSE
Mon Feb  1 23:44:43 2010	Charlotte, NC (28202) 	Freezing Rain AdvisoryMostly Sunny	45	45	30.3	25	45	10	NA	NA	6	S
Mon Feb  1 23:44:43 2010	San Diego, CA (92102) 	Mostly Cloudy	61	61	29.9	50	67	9	NA	NA	0	
Mon Feb  1 23:44:44 2010	Denver, CO (80203) 	Mostly Sunny	46	46	29.8	9	21	Unlimited	NA	NA	9	N
Mon Feb  1 23:44:45 2010	Memphis, TN (38103) 	Cloudy	46	46	30.1	30	53	10	NA	NA	3	SE
Mon Feb  1 23:44:45 2010	Los Angeles, CA (90012) 	Haze	68	68	29.9	45	42	6	NA	NA	0	
Mon Feb  1 23:44:46 2010	El Paso, TX (79901) 	Special weather statementMostly Cloudy	63	63	29.9	30	29	10	NA	NA	9	W
Mon Feb  1 23:44:47 2010	New York, NY (10038) 	Clear	34	28	30.2	10	37	10	NA	NA	6	
Mon Feb  1 23:44:48 2010	Baltimore, MD (21201) 	Mostly Cloudy	34	28	30.3	12	40	10	NA	NA	7	WSW
Mon Feb  1 23:44:48 2010	Las Vegas, NV (89106) 	Clear	55	55	30	27	33	10	NA	NA	7	SE
Mon Feb  1 23:44:49 2010	Washington, DC (20001) 	Mostly Cloudy	39	36	30.3	12	33	10	NA	NA	6	W
Mon Feb  1 23:44:51 2010	Austin, TX (78701) 	Short term forecastHaze	45	45	30	39	81	6	NA	NA	0	
Mon Feb  1 23:44:51 2010	San Francisco, CA (94109) 	Cloudy	55	55	29.9	46	71	10	NA	NA	10	WNW
Mon Feb  1 23:44:52 2010	Oklahoma City, OK (73102) 	Weather WarningsFog	32	27	30	28	86	1	NA	NA	5	SW
Mon Feb  1 23:44:53 2010	Nashville, TN (37203) 	Cloudy	39	36	30.2	28	65	10	NA	NA	5	SE
Mon Feb  1 23:44:53 2010	Fort Worth, TX (76102) 	Cloudy	43	43	30	36	75	9	NA	NA	7	S
Mon Feb  1 23:44:54 2010	Portland, OR (97205) 	Cloudy	45	45	29.9	43	93	10	0.39	NA	8	ESE
Mon Feb  1 23:44:54 2010	Phoenix, AZ (85004) 	Mostly Cloudy	64	64	29.9	36	34	10	NA	NA	0	
Mon Feb  1 23:44:55 2010	Chicago, IL (60610) 	Haze	30	27	30.2	16	55	6	NA	NA	3	SSE
Mon Feb  1 23:44:56 2010	Indianapolis, IN (46204) 	Mostly Cloudy	36	34	30.2	14	41	10	NA	NA	3	SE
Mon Feb  1 23:44:56 2010	San Antonio, TX (78207) 	Short term forecastFog	45	45	30	45	100	2	NA	NA	5	ENE
Mon Feb  1 23:44:58 2010	Columbus, OH (43215) 	Mostly Cloudy	34	34	30.2	14	44	10	NA	NA	0	
Mon Feb  1 23:44:58 2010	Jacksonville, FL (32202) 	Cloudy	55	55	30.1	52	88	10	NA	NA	10	NNE
Mon Feb  1 23:44:59 2010	Dallas, TX (75201) 	Cloudy	46	46	30	37	71	10	NA	NA	5	WSW
Mon Feb  1 23:45:00 2010	Houston, TX (77003) 	Cloudy	48	48	30	46	93	1	NA	NA	6	NE
Mon Feb  1 23:45:01 2010	Milwaukee, WI (53202) 	Mostly Cloudy	27	19	30.2	12	54	9	NA	NA	7	E
Mon Feb  1 23:45:01 2010	Seattle, WA (98104) 	Cloudy	48	48	29.8	39	71	10	NA	0.02	0	
Mon Feb  1 23:45:04 2010	Detroit, MI (48226) 	Cloudy	27	19	30.3	12	54	10	NA	NA	6	WSW
Mon Feb  1 23:45:05 2010	Philadelphia, PA (19107) 	Mostly Cloudy	36	28	30.3	10	35	10	NA	NA	11	W
Sat Jan 30 00:31:20 2010	Charlotte, NC (28202) 	Weather WarningsSnow	32	27	30.3	30	93	1	0.02	NA	6	N
Sat Jan 30 00:31:20 2010	San Jose, CA (95112) 	Mostly Cloudy	61	61	30	45	55	10	NA	NA	17	S
Sat Jan 30 00:31:21 2010	Denver, CO (80203) 	Mostly Sunny	43	43	30	9	24	7	NA	NA	3	NNW
Sat Jan 30 00:31:21 2010	San Diego, CA (92102) 	High Surf AdvisoryMostly Cloudy	63	63	30	52	67	9	NA	NA	6	WNW
Sat Jan 30 00:31:22 2010	Memphis, TN (38103) 	Weather WarningsRain	30	19	30	28	93	2	0.13	NA	13	NE
Sat Jan 30 00:31:23 2010	El Paso, TX (79901) 	Mostly Sunny	46	46	30.1	30	53	10	NA	0.16	5	N
Sat Jan 30 00:31:23 2010	Los Angeles, CA (90012) 	High Surf AdvisoryClear	66	66	30	45	45	10	NA	NA	5	W
Sat Jan 30 00:31:24 2010	New York, NY (10038) 	Special weather statementClear	21	10	30.3	0	38	10	NA	0.09	9	WNW
Sat Jan 30 00:31:25 2010	Baltimore, MD (21201) 	Cloudy	25	18	30.3	1	36	10	NA	NA	6	NW
Sat Jan 30 00:31:25 2010	Las Vegas, NV (89106) 	Clear	55	55	30	32	41	10	NA	NA	7	ESE
Sat Jan 30 00:31:26 2010	Washington, DC (20001) 	Winter Weather AdvisoryCloudy	27	18	30.4	1	33	10	NA	NA	10	NNW
Sat Jan 30 00:31:26 2010	Austin, TX (78701) 	Partly Cloudy	39	32	30.1	27	60	10	NA	0.65	14	NW
Sat Jan 30 00:31:27 2010	Oklahoma City, OK (73102) 	Winter Weather AdvisorySnow	NA	NA	30.1	NA	NA	1	0	1.27	14	N
Sat Jan 30 00:31:27 2010	San Francisco, CA (94109) 	Cloudy	55	55	30	48	76	10	NA	NA	10	SW
Sat Jan 30 00:31:28 2010	Nashville, TN (37203) 	Weather WarningsSnow	27	16	30.1	23	86	1	0.02	NA	11	NE
Sat Jan 30 00:31:29 2010	Fort Worth, TX (76102) 	Short term forecastCloudy	32	19	30	27	80	10	NA	2.3	21	NW
Sat Jan 30 00:31:30 2010	Portland, OR (97205) 	Cloudy	48	48	30	39	71	10	NA	NA	13	ESE
Sat Jan 30 00:31:30 2010	Phoenix, AZ (85004) 	Partly Cloudy	66	66	30	43	42	10	NA	0.03	3	ESE
Sat Jan 30 00:31:32 2010	Chicago, IL (60610) 	Mostly Cloudy	18	7	30.4	9	67	10	NA	NA	8	ENE
