13	www.accuweather.com									
(Timestamp)	(Location)	(Temperature) (°F)	RealFeel® (°F)	Winds	at (mph)	(Condition)	Humidity (%)	Dew Point (° F)	Pressure (in)	Visibility (Miles)
Mon Feb  1 22:17:53 2010	Seattle  98101 	48	53	CLM	0	Cloudy 	67	38	29.88	10
Mon Feb  1 22:17:55 2010	Milwaukee  53201 	27	25	E	5	Cloudy 	53	12	30.25	8
Mon Feb  1 22:17:57 2010	Detroit  48201 	27	16	SSW	10	Cloudy 	58	14	30.29	10
Mon Feb  1 22:17:59 2010	Philadelphia  19019 	35	26	WNW	10	Clouds And Sun 	35	10	30.27	10
Mon Feb  1 23:01:30 2010	San Jose  95101 	63	66	E	5	Cloudy 	46	42	29.90	10
Mon Feb  1 23:01:32 2010	Charlotte  28201 	48	53	CLM	0	Mostly Sunny 	34	21	30.26	10
Mon Feb  1 23:01:34 2010	San Diego  92101 	62	65	WNW	6	Clouds And Sun 	64	50	29.92	9
Mon Feb  1 23:01:36 2010	Denver  80214 	46	39	WNW	14	Mostly Sunny 	16	3	29.84	10
Mon Feb  1 23:01:38 2010	Memphis  37501 	46	48	SE	3	Cloudy 	53	30	30.14	10
Mon Feb  1 23:01:40 2010	Los Angeles  90001 	66	71	CLM	0	Mostly Sunny 	44	44	29.90	6
Mon Feb  1 23:01:43 2010	El Paso  79901 	60	69	CLM	9	Partly Sunny 	37	34	29.83	10
Mon Feb  1 23:01:45 2010	New York  10001 	35	27	W	9	Sunny 	33	9	30.21	10
Mon Feb  1 23:01:47 2010	Baltimore  21201 	34	23	W	13	Clouds And Sun 	43	14	30.29	10
Mon Feb  1 23:01:49 2010	Las Vegas  89101 	56	64	CLM	0	Clouds And Sun 	32	27	29.94	10
Mon Feb  1 23:01:51 2010	Washington  20001 	39	35	WNW	7	Clouds And Sun 	32	12	30.31	10
Mon Feb  1 23:01:54 2010	Austin  73301 	45	51	CLM	0	Light Fog 	87	41	30.04	2
Mon Feb  1 23:01:56 2010	San Francisco  94101 	54	60	CLM	0	Cloudy 	80	48	29.92	10
Mon Feb  1 23:01:58 2010	Oklahoma City  73101 	30	22	SSW	8	Light Fog 	92	28	29.99	2
Mon Feb  1 23:02:00 2010	Nashville  37201 	40	39	ESE	5	Cloudy 	62	28	30.21	10
Mon Feb  1 23:02:02 2010	Fort Worth  76101 	42	41	SSW	6	Cloudy 	76	35	30.03	10
Mon Feb  1 23:02:05 2010	Phoenix  85001 	65	70	CLM	0	Clouds And Sun 	39	40	29.89	10
Mon Feb  1 23:02:07 2010	Portland  97201 	43	37	ESE	7	Light Rain 	92	41	29.88	10
Mon Feb  1 23:02:09 2010	Chicago  60601 	30	29	S	5	Mostly Cloudy 	53	15	30.23	8
Mon Feb  1 23:02:11 2010	San Antonio  78201 	45	49	CLM	0	Mist 	93	43	30.04	3
Mon Feb  1 23:02:13 2010	Indianapolis  46201 	37	42	CLM	0	Mostly Cloudy 	40	15	30.22	10
Mon Feb  1 23:02:15 2010	Boston  02101 	33	16	W	21	Mostly Sunny 	29	4	30.09	10
Mon Feb  1 23:02:18 2010	Jacksonville  32099 	59	56	NE	8	Cloudy 	82	54	30.13	10
Mon Feb  1 23:02:20 2010	Columbus  43085 	34	39	CLM	0	Cloudy 	43	14	30.28	10
Mon Feb  1 23:02:22 2010	Dallas  75201 	45	40	SSW	9	Cloudy 	70	36	30.02	8
Mon Feb  1 23:02:24 2010	Houston  77001 	48	50	ENE	5	Light Fog 	89	45	30.08	3
Mon Feb  1 23:02:27 2010	Seattle  98101 	48	53	CLM	0	Cloudy 	67	38	29.88	10
Mon Feb  1 23:02:29 2010	Milwaukee  53201 	27	25	E	5	Cloudy 	53	12	30.25	8
Mon Feb  1 23:02:31 2010	Detroit  48201 	27	16	SSW	10	Cloudy 	58	14	30.29	10
Mon Feb  1 23:02:33 2010	Philadelphia  19019 	35	26	WNW	10	Clouds And Sun 	35	10	30.27	10
Mon Feb  1 23:46:12 2010	San Jose  95101 	63	64	SSE	6	Mostly Cloudy 	47	43	29.87	10
Mon Feb  1 23:46:15 2010	Charlotte  28201 	45	42	S	6	Mostly Sunny 	43	24	30.27	10
Mon Feb  1 23:46:19 2010	San Diego  92101 	61	66	CLM	0	Clouds And Sun 	66	50	29.90	9
Mon Feb  1 23:46:22 2010	Denver  80214 	45	31	WNW	26	Partly Sunny 	17	3	29.85	10
Mon Feb  1 23:46:25 2010	Memphis  37501 	46	47	SE	3	Cloudy 	53	30	30.14	10
Mon Feb  1 23:46:28 2010	Los Angeles  90001 	68	71	CLM	0	Sunny 	41	44	29.88	6
Mon Feb  1 23:46:31 2010	El Paso  79901 	62	61	W	9	Clouds And Sun 	30	31	29.80	10
Mon Feb  1 23:46:34 2010	New York  10001 	34	30	N	6	Sunny 	36	10	30.21	10
Mon Feb  1 23:46:37 2010	Baltimore  21201 	33	27	WSW	7	Clouds And Sun 	43	13	30.30	10
Mon Feb  1 23:46:39 2010	Las Vegas  89101 	56	61	CLM	0	Clouds And Sun 	32	27	29.91	10
Mon Feb  1 23:46:42 2010	Washington  20001 	39	36	W	6	Clouds And Sun 	32	12	30.31	10
Mon Feb  1 23:46:45 2010	Austin  73301 	44	49	CLM	0	Light Fog 	88	41	30.06	2
Mon Feb  1 23:46:49 2010	San Francisco  94101 	56	62	CLM	0	Clouds And Sun 	64	44	29.90	10
Mon Feb  1 23:46:52 2010	Oklahoma City  73101 	32	29	SW	5	Light Fog 	88	29	30.03	2
Mon Feb  1 23:46:55 2010	Nashville  37201 	39	37	SE	5	Partly Sunny 	64	28	30.21	10
Mon Feb  1 23:46:58 2010	Fort Worth  76101 	43	39	S	7	Cloudy 	76	36	30.02	9
Mon Feb  1 23:47:00 2010	Phoenix  85001 	65	68	CLM	0	Partly Sunny 	32	35	29.88	10
Mon Feb  1 23:47:04 2010	Portland  97201 	45	40	ESE	8	Cloudy 	89	42	29.86	10
Mon Feb  1 23:47:06 2010	Chicago  60601 	30	28	S	5	Cloudy 	55	16	30.23	8
Mon Feb  1 23:47:09 2010	San Antonio  78201 	45	44	ENE	3	Mist 	100	45	30.04	2
Mon Feb  1 23:47:12 2010	Indianapolis  46201 	36	36	SE	3	Mostly Cloudy 	40	14	30.21	10
Mon Feb  1 23:47:16 2010	Boston  02101 	32	19	W	14	Mostly Clear 	29	3	30.11	10
Mon Feb  1 23:47:19 2010	Jacksonville  32099 	57	52	NE	10	Cloudy 	87	54	30.13	10
Mon Feb  1 23:47:22 2010	Columbus  43085 	34	39	CLM	0	Cloudy 	43	14	30.28	10
Mon Feb  1 23:47:25 2010	Dallas  75201 	46	39	S	10	Cloudy 	67	36	30.01	10
Mon Feb  1 23:47:28 2010	Houston  77001 	49	47	ENE	6	Light Fog 	86	45	30.08	3
Mon Feb  1 23:47:31 2010	Seattle  98101 	49	53	CLM	0	Cloudy 	65	38	29.86	10
Mon Feb  1 23:47:34 2010	Milwaukee  53201 	26	20	E	7	Cloudy 	55	12	30.25	9
Mon Feb  1 23:47:37 2010	Detroit  48201 	26	18	WSW	8	Cloudy 	63	15	30.31	10
Mon Feb  1 23:47:39 2010	Philadelphia  19019 	35	24	W	12	Clouds And Sun 	36	11	30.27	10
Sat Jan 30 00:32:58 2010	San Jose  95101 	61	55	S	17	Cloudy 	55	45	29.96	10
Sat Jan 30 00:33:01 2010	Charlotte  28201 	32	22	NNE	8	Snow 	93	30	30.27	3
Sat Jan 30 00:33:03 2010	San Diego  92101 	62	61	WNW	6	Mostly Cloudy 	69	52	30.03	9
Sat Jan 30 00:33:05 2010	Denver  80214 	45	50	CLM	0	Mostly Sunny 	22	9	29.99	15
Sat Jan 30 00:33:07 2010	Memphis  37501 	31	15	NE	13	Freezing Rain 	88	28	30.01	3
Sat Jan 30 00:33:10 2010	Los Angeles  90001 	66	65	W	5	Sunny 	44	44	30.00	10
Sat Jan 30 00:33:13 2010	El Paso  79901 	47	48	N	5	Partly Sunny 	51	30	30.05	10
Sat Jan 30 00:33:15 2010	New York  10001 	22	12	WNW	9	Clear 	38	0	30.25	10
Sat Jan 30 00:33:18 2010	Baltimore  21201 	24	20	NW	6	Cloudy 	38	2	30.35	10
Sat Jan 30 00:33:20 2010	Las Vegas  89101 	57	60	CLM	0	Clouds And Sun 	34	29	30.00	10
Sat Jan 30 00:33:23 2010	Washington  20001 	26	15	NNW	10	Cloudy 	33	1	30.37	10
Sat Jan 30 00:33:25 2010	Austin  73301 	39	24	NW	21	Cloudy 	64	28	30.08	10
Sat Jan 30 00:33:28 2010	San Francisco  94101 	59	53	SSE	15	Cloudy 	59	45	29.95	10
Sat Jan 30 00:33:30 2010	Oklahoma City  73101 	23	4	N	14	Snow 	100	23	30.13	1
Sat Jan 30 00:33:32 2010	Nashville  37201 	26	11	NE	12	Lgt.Snow/Fog 	88	23	30.15	1
Sat Jan 30 00:33:35 2010	Fort Worth  76101 	32	14	NW	21	Cloudy 	78	26	30.06	10
Sat Jan 30 00:33:37 2010	Phoenix  85001 	66	65	ESE	3	Partly Sunny 	42	43	29.97	10
Sat Jan 30 00:33:40 2010	Portland  97201 	49	41	ESE	13	Cloudy 	68	39	29.96	10
Sat Jan 30 00:33:42 2010	Chicago  60601 	18	7	ENE	9	Clouds And Sun 	59	6	30.42	10
Sat Jan 30 00:33:45 2010	San Antonio  78201 	46	36	NNW	15	Partly Sunny 	55	31	30.02	10
Sat Jan 30 00:33:47 2010	Indianapolis  46201 	18	5	ENE	10	Cloudy 	65	8	30.35	10
Sat Jan 30 00:33:50 2010	Boston  02101 	17	-9	WNW	25	Partly Cloudy 	29	-10	30.06	10
Sat Jan 30 00:33:52 2010	Jacksonville  32099 	61	59	E	6	Sunny 	63	48	30.04	10
Sat Jan 30 00:33:54 2010	Columbus  43085 	16	11	NNE	6	Cloudy 	51	1	30.42	10
Sat Jan 30 00:34:00 2010	Dallas  75201 	33	16	NW	20	Cloudy 	78	27	30.03	10
Sat Jan 30 00:34:03 2010	Houston  77001 	47	38	NW	14	Cloudy 	76	40	29.97	10
Sat Jan 30 00:34:05 2010	Seattle  98101 	50	48	S	6	Cloudy 	60	37	29.99	10
Sat Jan 30 00:34:08 2010	Milwaukee  53201 	15	15	NNE	3	Partly Cloudy 	61	4	30.47	10
Sat Jan 30 00:34:10 2010	Detroit  48201 	18	18	NE	3	Mostly Clear 	43	-1	30.45	10
Sat Jan 30 00:34:13 2010	Philadelphia  19019 	23	10	WNW	12	Some Clouds 	38	1	30.32	10
Sat Jan 30 01:17:03 2010	San Jose  95101 	59	54	S	13	Mostly Cloudy 	55	43	29.95	10
Sat Jan 30 01:17:06 2010	Charlotte  28201 	33	24	ENE	8	Lgt.Snow/Fog 	88	30	30.25	1
Sat Jan 30 01:17:08 2010	San Diego  92101 	61	59	WNW	6	Cloudy 	69	51	30.03	10
Sat Jan 30 01:17:11 2010	Denver  80214 	45	50	CLM	0	Mostly Sunny 	23	9	30.04	15
Sat Jan 30 01:17:14 2010	Memphis  37501 	31	12	NE	17	Freezing Rain 	85	27	29.98	3
Sat Jan 30 01:17:16 2010	Los Angeles  90001 	66	64	N	3	Sunny 	48	46	30.00	10
Sat Jan 30 01:17:19 2010	El Paso  79901 	47	47	N	3	Partly Sunny 	53	31	30.06	10
Sat Jan 30 01:17:22 2010	New York  10001 	21	9	W	10	Clear 	41	1	30.26	10
Sat Jan 30 01:17:24 2010	Baltimore  21201 	23	10	WNW	12	Cloudy 	36	0	30.36	10
Sat Jan 30 01:17:27 2010	Las Vegas  89101 	56	58	CLM	0	Clouds And Sun 	38	31	30.00	10
Sat Jan 30 01:17:30 2010	Washington  20001 	26	13	WNW	12	Cloudy 	33	1	30.38	10
Sat Jan 30 01:17:33 2010	Austin  73301 	39	24	NW	21	Partly Sunny 	56	25	30.09	10
Sat Jan 30 01:17:36 2010	San Francisco  94101 	58	50	S	10	Light Rain 	64	46	29.95	10
Sat Jan 30 01:17:38 2010	Oklahoma City  73101 	23	10	N	12	Light Fog 	100	23	30.07	2
Sat Jan 30 01:17:42 2010	Nashville  37201 	26	10	NE	13	Lgt.Snow/Fog 	88	23	30.11	1
Sat Jan 30 01:17:45 2010	Fort Worth  76101 	31	16	NW	16	Cloudy 	78	25	30.09	10
Sat Jan 30 01:17:48 2010	Phoenix  85001 	65	63	SW	3	Partly Sunny 	43	42	29.97	10
Sat Jan 30 01:17:50 2010	Portland  97201 	49	43	ESE	9	Cloudy 	65	38	29.96	10
Sat Jan 30 01:17:53 2010	Chicago  60601 	17	10	NE	7	Some Clouds 	64	7	30.44	10
Sat Jan 30 01:17:57 2010	San Antonio  78201 	44	32	NW	17	Partly Sunny 	53	28	30.04	10
Sat Jan 30 01:17:59 2010	Indianapolis  46201 	18	2	ENE	13	Cloudy 	62	7	30.35	10
Sat Jan 30 01:18:02 2010	Boston  02101 	16	-10	WNW	25	Partly Cloudy 	29	-11	30.06	10
Sat Jan 30 01:18:07 2010	Jacksonville  32099 	57	57	E	3	Clear 	67	46	30.04	10
Sat Jan 30 01:18:09 2010	Columbus  43085 	16	9	NE	7	Cloudy 	51	1	30.42	10
Sat Jan 30 01:18:12 2010	Dallas  75201 	33	18	NW	16	Cloudy 	75	26	30.06	10
Sat Jan 30 01:18:15 2010	Houston  77001 	45	33	NW	18	Cloudy 	76	38	29.99	10
Sat Jan 30 01:18:27 2010	Seattle  98101 	50	53	CLM	0	Cloudy 	71	41	29.98	10
Sat Jan 30 01:18:31 2010	Milwaukee  53201 	15	22	CLM	0	Partly Cloudy 	64	5	30.47	10
Sat Jan 30 01:18:33 2010	Detroit  48201 	18	18	NNE	3	Mostly Clear 	45	0	30.44	10
Sat Jan 30 01:18:36 2010	Philadelphia  19019 	23	11	WNW	10	Some Clouds 	38	1	30.33	10
Sat Jan 30 02:00:57 2010	San Jose  95101 	59	54	S	13	Mostly Cloudy 	55	43	29.95	10
Sat Jan 30 02:01:00 2010	Charlotte  28201 	34	25	ENE	8	Lgt.Snow/Fog 	86	30	30.24	1
Sat Jan 30 02:01:04 2010	San Diego  92101 	61	59	WNW	6	Cloudy 	69	51	30.03	10
Sat Jan 30 02:01:07 2010	Denver  80214 	41	44	N	2	Mostly Sunny 	29	12	30.04	3
Sat Jan 30 02:01:10 2010	Memphis  37501 	31	12	NE	17	Freezing Rain 	85	27	29.98	3
Sat Jan 30 02:01:14 2010	Los Angeles  90001 	66	64	N	3	Mostly Sunny 	48	46	30.00	10
Sat Jan 30 02:01:17 2010	El Paso  79901 	47	47	N	3	Partly Sunny 	53	31	30.06	10
Sat Jan 30 02:01:20 2010	New York  10001 	21	9	W	10	Mostly Clear 	41	1	30.26	10
Sat Jan 30 02:01:23 2010	Baltimore  21201 	23	10	WNW	12	Cloudy 	36	0	30.36	10
Sat Jan 30 02:01:26 2010	Las Vegas  89101 	56	58	CLM	0	Clouds And Sun 	38	31	30.00	10
Sat Jan 30 02:01:29 2010	Washington  20001 	26	13	WNW	12	Cloudy 	33	1	30.38	10
Sat Jan 30 02:01:32 2010	Austin  73301 	39	24	NW	21	Partly Sunny 	56	25	30.09	10
Sat Jan 30 02:01:35 2010	San Francisco  94101 	58	50	S	10	Light Rain 	64	46	29.95	10
Sat Jan 30 02:01:38 2010	Oklahoma City  73101 	23	7	N	14	Cloudy 	100	23	30.06	5
Sat Jan 30 02:01:42 2010	Nashville  37201 	27	9	NE	15	Lgt.Snow/Fog 	86	23	30.08	1
Sat Jan 30 02:01:46 2010	Fort Worth  76101 	31	16	NW	16	Cloudy 	78	25	30.09	10
Sat Jan 30 02:01:49 2010	Phoenix  85001 	65	63	SW	3	Partly Sunny 	43	42	29.97	10
Sat Jan 30 02:01:54 2010	Portland  97201 	49	43	ESE	9	Cloudy 	65	38	29.96	10
Sat Jan 30 02:01:57 2010	Chicago  60601 	17	10	NE	7	Some Clouds 	64	7	30.44	10
Sat Jan 30 02:02:00 2010	San Antonio  78201 	44	32	NW	17	Partly Sunny 	53	28	30.04	10
Sat Jan 30 02:02:04 2010	Indianapolis  46201 	18	2	ENE	13	Cloudy 	62	7	30.35	10
Sat Jan 30 02:02:08 2010	Boston  02101 	16	-10	WNW	25	Partly Cloudy 	29	-11	30.06	10
Sat Jan 30 02:02:12 2010	Jacksonville  32099 	57	57	E	3	Clear 	67	46	30.04	10
Sat Jan 30 02:02:17 2010	Columbus  43085 	16	9	NE	7	Cloudy 	51	1	30.42	10
Sat Jan 30 02:02:20 2010	Dallas  75201 	33	18	NW	16	Cloudy 	75	26	30.06	10
Sat Jan 30 02:02:24 2010	Houston  77001 	45	33	NW	18	Cloudy 	76	38	29.99	10
Sat Jan 30 02:02:27 2010	Seattle  98101 	50	53	CLM	0	Cloudy 	71	41	29.98	10
Sat Jan 30 02:02:31 2010	Milwaukee  53201 	15	22	CLM	0	Partly Cloudy 	64	5	30.47	10
Sat Jan 30 02:02:34 2010	Detroit  48201 	18	18	NNE	3	Mostly Clear 	45	0	30.44	10
Sat Jan 30 02:02:38 2010	Philadelphia  19019 	23	11	WNW	10	Some Clouds 	38	1	30.33	10
Sat Jan 30 02:45:12 2010	San Jose  95101 	57	54	S	7	Cloudy 	57	42	29.95	10
Sat Jan 30 02:45:15 2010	Charlotte  28201 	32	26	NE	6	Lgt.Snow/Fog 	93	30	30.21	3
Sat Jan 30 02:45:17 2010	San Diego  92101 	60	60	WNW	3	Cloudy 	72	51	30.04	10
Sat Jan 30 02:45:20 2010	Denver  80214 	36	34	W	5	Mostly Clear 	32	9	29.99	15
Sat Jan 30 02:45:23 2010	Memphis  37501 	30	11	NE	16	Freezing Rain 	88	27	29.95	4
Sat Jan 30 02:45:26 2010	Los Angeles  90001 	62	64	CLM	0	Sunny 	61	49	30.01	10
Sat Jan 30 02:45:29 2010	El Paso  79901 	44	40	WSW	7	Partly Cloudy 	62	32	30.07	10
Sat Jan 30 02:45:32 2010	New York  10001 	20	8	W	10	Clear 	41	0	30.27	10
Sat Jan 30 02:45:34 2010	Baltimore  21201 	22	17	NW	6	Cloudy 	40	1	30.36	10
Sat Jan 30 02:45:37 2010	Las Vegas  89101 	54	56	CLM	0	Clouds And Sun 	41	31	30.00	10
Sat Jan 30 02:45:40 2010	Washington  20001 	25	10	NNW	14	Cloudy 	35	1	30.38	10
Sat Jan 30 02:45:43 2010	Austin  73301 	37	28	NNW	10	Partly Cloudy 	64	26	30.11	10
Sat Jan 30 02:45:45 2010	San Francisco  94101 	53	45	S	9	Light Rain 	89	50	29.96	8
Sat Jan 30 02:45:48 2010	Oklahoma City  73101 	24	12	N	9	Light Snow 	94	22	30.09	5
Sat Jan 30 02:45:51 2010	Nashville  37201 	27	13	NNE	10	Snow 	92	25	30.07	1
Sat Jan 30 02:46:07 2010	Fort Worth  76101 	30	11	NW	21	Cloudy 	74	23	30.10	10
Sat Jan 30 02:46:10 2010	Phoenix  85001 	63	63	SSW	3	Partly Cloudy 	49	44	29.98	10
Sat Jan 30 02:46:13 2010	Portland  97201 	48	41	ESE	10	Cloudy 	67	38	29.97	10
Sat Jan 30 02:46:15 2010	Chicago  60601 	16	9	N	6	Light Snow 	73	9	30.37	10
Sat Jan 30 02:46:18 2010	San Antonio  78201 	41	29	NNW	15	Mostly Clear 	62	29	30.06	10
Sat Jan 30 02:46:21 2010	Indianapolis  46201 	17	4	ENE	10	Cloudy 	64	7	30.33	10
Sat Jan 30 02:46:24 2010	Boston  02101 	15	-10	WNW	22	Clear 	29	-12	30.06	10
Sat Jan 30 02:46:27 2010	Jacksonville  32099 	56	57	NE	3	Cloudy 	76	49	30.04	10
Sat Jan 30 02:46:30 2010	Columbus  43085 	15	13	NE	5	Cloudy 	55	2	30.42	10
Sat Jan 30 02:46:32 2010	Dallas  75201 	32	14	NW	21	Cloudy 	72	24	30.07	10
Sat Jan 30 02:46:42 2010	Houston  77001 	43	30	NW	18	Cloudy 	79	37	30.01	10
Sat Jan 30 02:46:46 2010	Seattle  98101 	50	53	CLM	0	Cloudy 	71	41	29.99	10
Sat Jan 30 02:46:50 2010	Milwaukee  53201 	16	14	NNW	5	Mostly Cloudy 	64	6	30.45	10
Sat Jan 30 02:46:53 2010	Detroit  48201 	15	15	SSW	3	Mostly Clear 	64	5	30.45	10
Sat Jan 30 02:46:56 2010	Philadelphia  19019 	23	11	WNW	10	Some Clouds 	38	1	30.34	10
Sat Jan 30 03:29:06 2010	San Jose  95101 	54	48	S	5	Heavy Rain 	81	48	29.99	3
Sat Jan 30 03:29:09 2010	Charlotte  28201 	32	21	ENE	9	Light Snow 	93	30	30.21	3
Sat Jan 30 03:29:12 2010	San Diego  92101 	59	59	W	3	Cloudy 	77	52	30.04	10
Sat Jan 30 03:29:14 2010	Denver  80214 	32	26	W	7	Mostly Clear 	40	10	30.00	20
Sat Jan 30 03:29:16 2010	Memphis  37501 	30	11	NE	16	Freezing Rain 	88	27	29.94	3
Sat Jan 30 03:29:18 2010	Los Angeles  90001 	60	62	CLM	0	Clear 	69	50	30.01	10
Sat Jan 30 03:29:21 2010	El Paso  79901 	44	43	W	5	Clear 	62	32	30.08	10
Sat Jan 30 03:29:23 2010	New York  10001 	19	17	N	5	Clear 	47	2	30.28	10
Sat Jan 30 03:29:26 2010	Baltimore  21201 	22	13	NW	8	Cloudy 	40	1	30.37	10
Sat Jan 30 03:29:28 2010	Las Vegas  89101 	54	56	CLM	0	Some Clouds 	43	32	30.01	10
Sat Jan 30 03:29:30 2010	Washington  20001 	25	9	N	15	Cloudy 	35	1	30.38	10
Sat Jan 30 03:29:33 2010	Austin  73301 	36	23	NNW	15	Partly Cloudy 	64	25	30.12	10
Sat Jan 30 03:29:35 2010	San Francisco  94101 	52	55	CLM	0	Cloudy 	92	50	29.96	6
Sat Jan 30 03:29:37 2010	Oklahoma City  73101 	22	13	NNW	7	Light Snow 	100	22	30.10	5
Sat Jan 30 03:29:39 2010	Nashville  37201 	26	13	NE	10	Lgt.Snow/Fog 	92	24	30.07	1
Sat Jan 30 03:29:42 2010	Fort Worth  76101 	29	12	NNW	17	Cloudy 	81	24	30.10	10
Sat Jan 30 03:29:44 2010	Phoenix  85001 	61	63	CLM	0	Mostly Clear 	59	47	29.99	10
Sat Jan 30 03:29:46 2010	Portland  97201 	46	37	ESE	9	Light Rain 	79	40	29.98	10
Sat Jan 30 03:29:50 2010	Chicago  60601 	17	10	NNE	6	Light Snow 	70	9	30.40	10
Sat Jan 30 03:29:52 2010	San Antonio  78201 	40	31	NNW	12	Mostly Clear 	62	28	30.09	10
Sat Jan 30 03:29:54 2010	Indianapolis  46201 	17	0	ENE	14	Cloudy 	67	8	30.32	10
Sat Jan 30 03:29:58 2010	Boston  02101 	14	-12	WNW	23	Clear 	30	-12	30.08	10
Sat Jan 30 03:30:01 2010	Jacksonville  32099 	54	54	NE	3	Cloudy 	87	50	30.03	10
Sat Jan 30 03:30:04 2010	Columbus  43085 	15	10	NE	6	Cloudy 	58	3	30.39	10
Sat Jan 30 03:30:07 2010	Dallas  75201 	31	11	NW	24	Cloudy 	75	24	30.07	10
Sat Jan 30 03:30:09 2010	Houston  77001 	42	32	NW	13	Cloudy 	72	34	30.03	10
Sat Jan 30 03:30:12 2010	Seattle  98101 	51	45	E	6	Light Rain 	65	40	29.99	10
Sat Jan 30 03:30:14 2010	Milwaukee  53201 	16	16	NNW	3	Mostly Cloudy 	64	6	30.42	10
Sat Jan 30 03:30:17 2010	Detroit  48201 	15	15	ESE	3	Mostly Clear 	64	5	30.44	10
Sat Jan 30 03:30:20 2010	Philadelphia  19019 	22	15	WNW	7	Some Clouds 	40	1	30.34	10
Sat Jan 30 04:12:55 2010	San Jose  95101 	52	41	ENE	13	Rain 	92	50	29.95	5
Sat Jan 30 04:12:57 2010	Charlotte  28201 	32	23	E	8	Lgt.Snow/Fog 	88	29	30.22	2
Sat Jan 30 04:13:00 2010	San Diego  92101 	59	59	WNW	3	Cloudy 	77	52	30.04	6
Sat Jan 30 04:13:03 2010	Denver  80214 	36	41	CLM	0	Mostly Clear 	32	9	30.00	20
Sat Jan 30 04:13:06 2010	Memphis  37501 	30	13	NE	16	Frz.Drizzle 	88	27	29.94	3
Sat Jan 30 04:13:08 2010	Los Angeles  90001 	58	60	CLM	0	Clear 	80	52	30.02	8
Sat Jan 30 04:13:11 2010	El Paso  79901 	41	35	NE	8	Clear 	67	31	30.10	10
Sat Jan 30 04:13:13 2010	New York  10001 	18	7	WNW	9	Clear 	45	0	30.30	10
Sat Jan 30 04:13:18 2010	Baltimore  21201 	22	20	NW	5	Cloudy 	40	1	30.37	10
Sat Jan 30 04:13:21 2010	Las Vegas  89101 	51	54	CLM	0	Some Clouds 	51	34	30.01	10
Sat Jan 30 04:13:24 2010	Washington  20001 	24	6	NNW	17	Cloudy 	34	0	30.38	10
Sat Jan 30 04:13:27 2010	Austin  73301 	36	25	NNW	13	Partly Cloudy 	64	25	30.14	10
Sat Jan 30 04:13:30 2010	San Francisco  94101 	53	47	SE	7	Light Rain 	89	50	29.96	10
Sat Jan 30 04:13:32 2010	Oklahoma City  73101 	22	15	NNW	7	Cloudy 	80	17	30.11	7
Sat Jan 30 04:13:35 2010	Nashville  37201 	26	13	NE	10	Lgt.Snow/Fog 	92	24	30.05	1
Sat Jan 30 04:13:38 2010	Fort Worth  76101 	29	14	NW	15	Cloudy 	78	23	30.12	10
Sat Jan 30 04:13:41 2010	Phoenix  85001 	60	62	CLM	0	Mostly Clear 	59	46	29.99	10
Sat Jan 30 04:13:44 2010	Portland  97201 	46	41	ESE	8	Cloudy 	79	40	29.98	10
Sat Jan 30 04:13:49 2010	Chicago  60601 	18	11	N	6	Light Snow 	67	9	30.39	10
Sat Jan 30 04:13:52 2010	San Antonio  78201 	38	30	NNW	9	Mostly Clear 	64	27	30.09	10
Sat Jan 30 04:13:55 2010	Indianapolis  46201 	17	-3	ENE	15	Light Snow 	67	8	30.30	9
Sat Jan 30 04:13:58 2010	Boston  02101 	13	-12	WNW	22	Clear 	32	-12	30.09	10
Sat Jan 30 04:14:02 2010	Jacksonville  32099 	54	56	CLM	0	Mostly Cloudy 	87	50	30.03	10
Sat Jan 30 04:14:09 2010	Columbus  43085 	15	7	NE	7	Cloudy 	58	3	30.37	10
Sat Jan 30 04:14:13 2010	Dallas  75201 	31	13	NW	17	Light Snow 	78	25	30.09	7
Sat Jan 30 04:14:16 2010	Houston  77001 	40	27	NNW	17	Cloudy 	76	33	30.06	10
Sat Jan 30 04:14:21 2010	Seattle  98101 	51	45	E	6	Light Rain 	58	37	29.98	10
Sat Jan 30 04:14:24 2010	Milwaukee  53201 	16	11	NW	6	Cloudy 	61	5	30.42	10
Sat Jan 30 04:14:27 2010	Detroit  48201 	15	22	CLM	0	Mostly Clear 	67	6	30.44	10
Sat Jan 30 04:14:30 2010	Philadelphia  19019 	22	10	WNW	10	Some Clouds 	38	0	30.34	10
Sat Jan 30 04:56:50 2010	San Jose  95101 	52	50	ESE	6	Cloudy 	100	52	29.97	10
Sat Jan 30 04:56:52 2010	Charlotte  28201 	32	21	ENE	9	Lgt.Snow/Fog 	86	28	30.16	2
Sat Jan 30 04:56:55 2010	San Diego  92101 	59	59	WNW	3	Cloudy 	77	52	30.04	6
Sat Jan 30 04:56:57 2010	Denver  80214 	36	41	CLM	0	Mostly Clear 	32	9	30.00	20
Sat Jan 30 04:57:00 2010	Memphis  37501 	30	13	NE	16	Frz.Drizzle 	88	27	29.94	3
Sat Jan 30 04:57:02 2010	Los Angeles  90001 	58	60	CLM	0	Clear 	80	52	30.02	8
Sat Jan 30 04:57:04 2010	El Paso  79901 	41	35	NE	8	Clear 	67	31	30.10	10
Sat Jan 30 04:57:07 2010	New York  10001 	18	7	WNW	9	Clear 	45	0	30.30	10
Sat Jan 30 04:57:10 2010	Baltimore  21201 	22	20	NW	5	Cloudy 	40	1	30.37	10
