5	www.nytimes.com							
(Timestamp)	(Location)	(Temperature) (°F °C)	(Conditions)	Humidity (%)	Barometer (in)	Visibility (mi)	(Wind Speed) (mph)	Wind
Mon Feb  1 06:55:51 2010	Jacksonville	48 9 	Cloudy	70	30.23	10	16	NE
Mon Feb  1 06:55:52 2010	Columbus	23 -5 	Mostly Clear	68	30.33	10	5	WNW
Mon Feb  1 06:55:53 2010	Dallas	33 1 	Mostly Clear	84	30.22	10	0	CLM
Mon Feb  1 06:55:54 2010	Houston	37 3 	Partly Cloudy	81	30.26	8	0	CLM
Mon Feb  1 06:55:55 2010	Milwaukee	11-Dec	Clear	61	30.3	10	5	NNW
Mon Feb  1 06:55:55 2010	Seattle	46 8 	Cloudy	88	29.98	10	3	ESE
Mon Feb  1 06:55:56 2010	Detroit	19 -7 	Partly Cloudy	64	30.3	10	7	WNW
Mon Feb  1 06:55:57 2010	Philadelphia	24 -4 	Clear	48	30.18	10	10	W
Mon Feb  1 07:38:38 2010	San Jose	52 11 		81	29.98	10	6	N
Mon Feb  1 07:38:39 2010	Charlotte	27 -3 	Mostly Clear	92	30.32	7	0	CLM
Mon Feb  1 07:38:40 2010	Denver	25 -4 	Partly Cloudy	78	29.87	10	8	S
Mon Feb  1 07:38:40 2010	San Diego	51 11 	Clear	85	29.97	6	0	CLM
Mon Feb  1 07:38:41 2010	Memphis	28 -2 	Mostly Cloudy	77	30.32	10	6	E
Mon Feb  1 07:38:42 2010	Los Angeles	51 11 	Clear	73	29.93	10	0	CLM
Mon Feb  1 07:38:43 2010	El Paso	48 9 	Partly Cloudy	62	29.88	10	7	SSW
Mon Feb  1 07:38:44 2010	Baltimore	22 -6 	Clear	55	30.23	10	7	WSW
Mon Feb  1 07:38:44 2010	New York	26 -3 	Clear	42	30.11	10	6	N
Mon Feb  1 07:38:45 2010	Las Vegas	47 8 	Clear	63	29.95	10	3	SW
Mon Feb  1 07:38:46 2010	Washington	27 -3 	Partly Cloudy	53	30.25	10	0	CLM
Mon Feb  1 07:38:47 2010	Austin	34 1 	Cloudy	93	30.19	9	0	CLM
Mon Feb  1 07:38:48 2010	Oklahoma City	23 -5 	Dense Fog	100	30.18	0	5	SSE
Mon Feb  1 07:38:48 2010	San Francisco	51 11 		86	29.99	10	3	N
Mon Feb  1 07:38:49 2010	Nashville	23 -5 	Light Fog	92	30.35	3	0	CLM
Mon Feb  1 07:38:50 2010	Fort Worth	29 -2 	Partly Cloudy	88	30.19	5	3	SW
Mon Feb  1 07:38:51 2010	Phoenix	52 11 	Clear	66	29.91	10	9	NNE
Mon Feb  1 07:38:52 2010	Chicago	19 -7 	Mostly Clear	64	30.37	10	5	WNW
Mon Feb  1 07:38:52 2010	Portland	40 4 	Partly Cloudy	96	29.95	10	6	E
Mon Feb  1 07:38:53 2010	San Antonio	36 2 	Cloudy	89	30.18	4	3	E
Mon Feb  1 07:38:54 2010	Indianapolis	14 -10 	Mostly Clear	92	30.32	10	3	SW
Mon Feb  1 07:38:55 2010	Boston	25 -4 	Cloudy	44	30.01	10	13	W
Mon Feb  1 07:38:55 2010	Jacksonville	49 9 	Cloudy	70	30.23	10	15	NE
Mon Feb  1 07:38:56 2010	Columbus	22 -6 	Mostly Clear	68	30.33	10	0	CLM
Mon Feb  1 07:38:57 2010	Dallas	31 -1 	Cloudy	88	30.2	6	3	CLM
Mon Feb  1 07:38:58 2010	Houston	37 3 	Partly Cloudy	81	30.26	7	3	ENE
Mon Feb  1 07:38:59 2010	Milwaukee	11-Dec	Mostly Clear	61	30.3	10	3	NW
Mon Feb  1 07:38:59 2010	Seattle	46 8 	Cloudy	88	29.97	10	5	ESE
Mon Feb  1 07:39:00 2010	Detroit	17 -8 	Partly Cloudy	70	30.32	10	8	W
Mon Feb  1 07:39:01 2010	Philadelphia	23 -5 	Clear	52	30.19	10	8	W
Mon Feb  1 08:22:38 2010	San Jose	52 11 		81	29.98	10	6	N
Mon Feb  1 08:22:39 2010	Charlotte	27 -3 	Mostly Clear	92	30.32	7	0	CLM
Mon Feb  1 08:22:39 2010	San Diego	51 11 		85	29.97	6	0	CLM
Mon Feb  1 08:22:40 2010	Denver	25 -4 	Partly Cloudy	78	29.87	10	8	S
Mon Feb  1 08:22:41 2010	Memphis	28 -2 	Mostly Cloudy	77	30.32	10	6	E
Mon Feb  1 08:22:42 2010	Los Angeles	51 11 	Mostly Clear	73	29.93	10	0	CLM
Mon Feb  1 08:22:43 2010	El Paso	48 9 	Partly Cloudy	62	29.88	10	7	SSW
Mon Feb  1 08:22:43 2010	New York	26 -3 	Clear	42	30.11	10	6	N
Mon Feb  1 08:22:44 2010	Baltimore	22 -6 	Partly Cloudy	55	30.23	10	7	WSW
Mon Feb  1 08:22:45 2010	Las Vegas	47 8 	Clear	63	29.95	10	3	SW
Mon Feb  1 08:22:46 2010	Washington	27 -3 	Partly Cloudy	53	30.25	10	0	CLM
Mon Feb  1 08:22:47 2010	Austin	34 1 	Cloudy	93	30.2	8	0	CLM
Mon Feb  1 08:22:47 2010	San Francisco	50 10 		87	29.99	10	3	N
Mon Feb  1 08:22:48 2010	Oklahoma City	23 -5 	Dense Fog	100	30.15	0	5	SSE
Mon Feb  1 08:22:49 2010	Nashville	23 -5 	Mostly Clear	92	30.32	3	0	CLM
Mon Feb  1 08:22:50 2010	Fort Worth	29 -2 	Partly Cloudy	88	30.19	5	3	SW
Mon Feb  1 08:22:51 2010	Phoenix	52 11 		66	29.91	10	9	NNE
Mon Feb  1 08:22:51 2010	Portland	40 4 	Partly Cloudy	96	29.95	10	6	E
Mon Feb  1 08:22:52 2010	Chicago	19 -7 	Mostly Clear	64	30.37	10	5	WNW
Mon Feb  1 08:22:53 2010	San Antonio	36 2 	Cloudy	89	30.18	4	3	E
Mon Feb  1 08:22:54 2010	Indianapolis	11-Dec	Mostly Clear	92	30.32	10	0	CLM
Mon Feb  1 08:22:55 2010	Boston	25 -4 	Cloudy	44	30.01	10	13	W
Mon Feb  1 08:22:55 2010	Jacksonville	49 9 	Cloudy	70	30.23	10	15	NE
Mon Feb  1 08:22:56 2010	Columbus	22 -6 	Mostly Clear	68	30.33	10	0	CLM
Mon Feb  1 08:22:57 2010	Dallas	31 -1 	Cloudy	88	30.2	6	3	CLM
Mon Feb  1 08:22:58 2010	Houston	37 3 	Partly Cloudy	81	30.26	7	3	ENE
Mon Feb  1 08:22:59 2010	Milwaukee	12-Oct	Mostly Clear	66	30.31	10	3	W
Mon Feb  1 08:22:59 2010	Seattle	46 8 	Cloudy	88	29.97	10	5	ESE
Mon Feb  1 08:23:00 2010	Detroit	17 -8 	Partly Cloudy	70	30.32	10	8	W
Mon Feb  1 08:23:01 2010	Philadelphia	23 -5 	Clear	52	30.19	10	8	W
Mon Feb  1 09:05:41 2010	San Jose	46 8 		87	29.98	9	2	NNE
Mon Feb  1 09:05:42 2010	Charlotte	27 -3 	Mostly Clear	92	30.33	7	0	CLM
Mon Feb  1 09:05:43 2010	San Diego	51 11 	Cloudy	85	29.97	5	0	CLM
Mon Feb  1 09:05:44 2010	Denver	26 -3 	Partly Cloudy	77	29.85	10	6	W
Mon Feb  1 09:05:45 2010	Los Angeles	49 9 	Mostly Clear	79	29.93	10	0	CLM
Mon Feb  1 09:05:45 2010	Memphis	28 -2 	Cloudy	77	30.29	10	7	E
Mon Feb  1 09:05:46 2010	El Paso	47 8 	Partly Cloudy	65	29.87	10	7	WSW
Mon Feb  1 09:05:47 2010	New York	26 -3 	Clear	40	30.13	10	7	N
Mon Feb  1 09:05:48 2010	Baltimore	21 -6 	Mostly Clear	57	30.25	10	3	WSW
Mon Feb  1 09:05:49 2010	Las Vegas	46 8 	Clear	62	29.96	10	3	SSW
Mon Feb  1 09:05:49 2010	Washington	21 -6 	Clear	70	30.27	10	7	SW
Mon Feb  1 09:05:50 2010	Austin	34 1 	Cloudy	93	30.18	7	7	SE
Mon Feb  1 09:05:51 2010	San Francisco	50 10 		89	29.99	10	2	NNE
Mon Feb  1 09:05:52 2010	Oklahoma City	23 -5 	Dense Fog	100	30.17	0	5	SSE
Mon Feb  1 09:05:53 2010	Fort Worth	31 -1 	Cloudy	88	30.19	5	0	CLM
Mon Feb  1 09:05:53 2010	Nashville	23 -5 	Foggy	92	30.32	1	0	CLM
Mon Feb  1 09:05:54 2010	Phoenix	51 11 	Mostly Clear	68	29.9	10	5	NNE
Mon Feb  1 09:05:55 2010	Portland	42 6 	Partly Cloudy	88	29.95	10	5	E
Mon Feb  1 09:05:56 2010	Chicago	18 -8 	Mostly Clear	67	30.38	9	0	CLM
Mon Feb  1 09:05:57 2010	Indianapolis	11-Dec	Mostly Clear	92	30.32	10	0	CLM
Mon Feb  1 09:05:57 2010	San Antonio	36 2 	Cloudy	89	30.16	4	6	E
Mon Feb  1 09:05:58 2010	Boston	25 -4 	Cloudy	44	30.01	10	14	W
Mon Feb  1 09:05:59 2010	Jacksonville	50 10 	Mostly Cloudy	71	30.24	10	16	NE
Mon Feb  1 09:06:00 2010	Columbus	20 -7 		74	30.35	10	3	SSW
Mon Feb  1 09:06:01 2010	Dallas	34 1 	Cloudy	85	30.21	6	3	W
Mon Feb  1 09:06:01 2010	Houston	38 3 	Mostly Cloudy	82	30.23	7	6	NE
Mon Feb  1 09:06:02 2010	Seattle	46 8 	Cloudy	85	29.97	10	6	S
Mon Feb  1 09:06:03 2010	Milwaukee	12-Oct	Partly Cloudy	66	30.31	10	0	CLM
Mon Feb  1 09:06:04 2010	Detroit	17 -8 	Mostly Clear	67	30.33	10	6	WNW
Mon Feb  1 09:06:05 2010	Philadelphia	23 -5 	Clear	52	30.22	10	7	W
Mon Feb  1 09:49:03 2010	Charlotte	26 -3 	Clear	95	30.34	5	0	CLM
Mon Feb  1 09:49:03 2010	San Jose	46 8 	Mostly Cloudy	87	29.98	9	2	NE
Mon Feb  1 09:49:04 2010	San Diego	51 11 	Clear	85	29.97	7	0	CLM
Mon Feb  1 09:49:05 2010	Denver	21 -6 	Partly Cloudy	92	29.87	6	3	SW
Mon Feb  1 09:49:06 2010	Los Angeles	50 10 	Clear	76	29.94	10	0	CLM
Mon Feb  1 09:49:06 2010	Memphis	28 -2 		77	30.29	10	5	E
Mon Feb  1 09:49:07 2010	El Paso	47 8 	Partly Cloudy	68	29.86	10	6	SSW
Mon Feb  1 09:49:08 2010	New York	25 -4 	Clear	44	30.15	10	7	N
Mon Feb  1 09:49:09 2010	Baltimore	14 -10 	Clear	70	30.27	10	7	WSW
Mon Feb  1 09:49:10 2010	Las Vegas	44 7 	Clear	70	29.95	10	3	WSW
Mon Feb  1 09:49:10 2010	Washington	23 -5 	Clear	65	30.29	10	0	CLM
Mon Feb  1 09:49:11 2010	Austin	34 1 	Cloudy	93	30.17	8	0	CLM
Mon Feb  1 09:49:12 2010	San Francisco	50 10 		87	29.99	10	2	E
Mon Feb  1 09:49:13 2010	Oklahoma City	23 -5 	Dense Fog	100	30.17	0	3	SSE
Mon Feb  1 09:49:14 2010	Fort Worth	32 0 	Mostly Cloudy	85	30.18	5	0	CLM
Mon Feb  1 09:49:14 2010	Nashville	22 -6 	Foggy	100	30.34	1	0	CLM
Mon Feb  1 09:49:15 2010	Phoenix	51 11 	Clear	65	29.9	10	3	NE
Mon Feb  1 09:49:16 2010	Portland	41 5 	Partly Cloudy	88	29.94	10	10	E
Mon Feb  1 09:49:17 2010	Chicago	18 -8 		67	30.37	9	3	NW
Mon Feb  1 09:49:18 2010	Indianapolis	14 -10 	Mostly Clear	92	30.32	10	0	CLM
Mon Feb  1 09:49:18 2010	San Antonio	36 2 	Cloudy	89	30.14	4	6	NE
Mon Feb  1 09:49:19 2010	Boston	25 -4 		44	30.03	10	15	W
Mon Feb  1 09:49:20 2010	Jacksonville	50 10 	Mostly Cloudy	71	30.24	10	18	NE
Mon Feb  1 09:49:21 2010	Columbus	20 -7 	Mostly Clear	71	30.36	10	0	CLM
Mon Feb  1 09:49:22 2010	Dallas	32 0 	Partly Cloudy	88	30.19	6	0	CLM
Mon Feb  1 09:49:22 2010	Houston	38 3 	Cloudy	82	30.2	7	7	NNE
Mon Feb  1 09:49:23 2010	Seattle	46 8 	Cloudy	85	29.97	10	0	CLM
Mon Feb  1 09:49:24 2010	Milwaukee	13-Sep	Partly Cloudy	72	30.31	10	0	CLM
Mon Feb  1 09:49:25 2010	Detroit	15 -9 	Mostly Clear	73	30.34	10	5	WNW
Mon Feb  1 09:49:25 2010	Philadelphia	24 -4 	Clear	50	30.24	10	8	W
Mon Feb  1 10:32:05 2010	San Jose	45 7 	Mostly Cloudy	87	29.98	9	3	NE
Mon Feb  1 10:32:06 2010	Charlotte	26 -3 	Clear	92	30.34	5	0	CLM
Mon Feb  1 10:32:07 2010	Denver	20 -7 	Partly Cloudy	91	29.87	5	7	SW
Mon Feb  1 10:32:07 2010	San Diego	50 10 	Clear	86	29.96	6	0	CLM
Mon Feb  1 10:32:08 2010	Memphis	27 -3 		81	30.29	10	0	CLM
Mon Feb  1 10:32:09 2010	Los Angeles	47 8 	Clear	79	29.94	10	5	N
Mon Feb  1 10:32:10 2010	El Paso	45 7 	Mostly Cloudy	73	29.88	10	6	S
Mon Feb  1 10:32:11 2010	Baltimore	13 -11 	Clear	74	30.28	10	7	W
Mon Feb  1 10:32:11 2010	New York	25 -4 	Clear	44	30.16	10	8	W
Mon Feb  1 10:32:12 2010	Las Vegas	43 6 	Clear	70	29.96	10	0	CLM
Mon Feb  1 10:32:13 2010	Washington	21 -6 	Clear	68	30.3	10	0	CLM
Mon Feb  1 10:32:14 2010	Austin	34 1 	Cloudy	93	30.16	7	0	CLM
Mon Feb  1 10:32:15 2010	Oklahoma City	23 -5 	Dense Fog	100	30.17	0	3	SSE
Mon Feb  1 10:32:15 2010	San Francisco	50 10 		88	29.99	10	2	ESE
Mon Feb  1 10:32:16 2010	Nashville	20 -7 	Dense Fog	96	30.34	0	0	CLM
Mon Feb  1 10:32:17 2010	Fort Worth	30 -1 	Cloudy	88	30.18	4	0	CLM
Mon Feb  1 10:32:18 2010	Phoenix	50 10 	Clear	68	29.91	10	0	CLM
Mon Feb  1 10:32:18 2010	Portland	41 5 	Clear	88	29.94	10	8	ENE
Mon Feb  1 10:32:19 2010	Chicago	20 -7 	Cloudy	59	30.36	10	0	CLM
Mon Feb  1 10:32:20 2010	San Antonio	36 2 	Cloudy	89	30.13	4	5	N
Mon Feb  1 10:32:21 2010	Indianapolis	14 -10 	Cloudy	92	30.32	10	0	CLM
Mon Feb  1 10:32:22 2010	Boston	24 -4 	Clear	48	30.03	10	16	W
Mon Feb  1 10:32:22 2010	Jacksonville	50 10 	Clear	74	30.22	10	20	NE
Mon Feb  1 10:32:23 2010	Columbus	18 -8 	Mostly Clear	80	30.37	10	0	CLM
Mon Feb  1 10:32:24 2010	Dallas	33 1 	Cloudy	84	30.19	6	0	CLM
Mon Feb  1 10:32:25 2010	Houston	38 3 	Mostly Cloudy	82	30.18	7	8	NE
Mon Feb  1 10:32:26 2010	Milwaukee	13-Sep	Partly Cloudy	72	30.31	10	0	CLM
Mon Feb  1 10:32:26 2010	Seattle	45 7 	Cloudy	89	29.96	10	5	ESE
Mon Feb  1 10:32:27 2010	Detroit	16 -9 	Mostly Clear	70	30.35	9	3	WNW
Mon Feb  1 10:32:28 2010	Philadelphia	21 -6 	Clear	57	30.25	10	6	W
Mon Feb  1 11:15:24 2010	Charlotte	26 -3 	Partly Cloudy	92	30.34	5	0	CLM
Mon Feb  1 11:15:24 2010	San Jose	45 7 	Mostly Cloudy	89	29.98	9	2	SE
Mon Feb  1 11:15:25 2010	San Diego	50 10 		86	29.96	6	0	CLM
Mon Feb  1 11:15:26 2010	Denver	20 -7 	Partly Cloudy	91	29.87	5	7	SW
Mon Feb  1 11:15:27 2010	Memphis	27 -3 		81	30.29	10	0	CLM
Mon Feb  1 11:15:28 2010	El Paso	45 7 	Mostly Cloudy	73	29.88	10	6	S
Mon Feb  1 11:15:28 2010	Los Angeles	47 8 	Clear	79	29.94	10	5	N
Mon Feb  1 11:15:29 2010	New York	25 -4 	Clear	44	30.16	10	8	W
Mon Feb  1 11:15:30 2010	Baltimore	13 -11 	Clear	74	30.28	10	7	W
Mon Feb  1 11:15:31 2010	Las Vegas	43 6 	Clear	70	29.96	10	0	CLM
Mon Feb  1 11:15:31 2010	Washington	21 -6 	Clear	68	30.3	10	0	CLM
Mon Feb  1 11:15:32 2010	Austin	34 1 	Cloudy	93	30.17	7	0	CLM
Mon Feb  1 11:15:33 2010	San Francisco	49 9 	Cloudy	89	29.99	10	3	SSE
Mon Feb  1 11:15:34 2010	Oklahoma City	23 -5 	Dense Fog	100	30.17	0	3	SSE
Mon Feb  1 11:15:35 2010	Fort Worth	30 -1 	Cloudy	88	30.18	4	0	CLM
Mon Feb  1 11:15:35 2010	Nashville	19 -7 	Light Fog	100	30.32	2	0	CLM
Mon Feb  1 11:15:36 2010	Phoenix	50 10 	Mostly Clear	68	29.91	10	0	CLM
Mon Feb  1 11:15:37 2010	Portland	41 5 	Mostly Clear	88	29.94	10	8	ENE
Mon Feb  1 11:15:38 2010	Chicago	20 -7 	Cloudy	59	30.36	10	0	CLM
Mon Feb  1 11:15:39 2010	Indianapolis	11-Dec	Mostly Clear	92	30.3	10	0	CLM
Mon Feb  1 11:15:39 2010	San Antonio	36 2 	Cloudy	89	30.13	4	5	N
Mon Feb  1 11:15:40 2010	Boston	24 -4 	Clear	48	30.03	10	16	W
Mon Feb  1 11:15:41 2010	Jacksonville	50 10 	Mostly Clear	74	30.22	10	20	NE
Mon Feb  1 11:15:42 2010	Columbus	18 -8 	Mostly Clear	80	30.37	10	0	CLM
Mon Feb  1 11:15:43 2010	Dallas	33 1 	Cloudy	84	30.19	6	0	CLM
Mon Feb  1 11:15:43 2010	Houston	38 3 	Mostly Cloudy	82	30.18	7	8	NE
Mon Feb  1 11:15:44 2010	Seattle	45 7 	Cloudy	89	29.96	10	5	ESE
Mon Feb  1 11:15:45 2010	Milwaukee	13-Sep	Clear	72	30.31	10	0	CLM
Mon Feb  1 11:15:46 2010	Detroit	16 -9 	Mostly Clear	70	30.35	9	3	WNW
Mon Feb  1 11:15:46 2010	Philadelphia	21 -6 	Clear	57	30.25	10	6	W
Mon Feb  1 11:58:50 2010	San Jose	45 7 	Mostly Cloudy	89	29.99	9	2	NE
Mon Feb  1 11:58:51 2010	Charlotte	26 -3 	Partly Cloudy	88	30.33	6	0	CLM
Mon Feb  1 11:58:52 2010	Denver	22 -6 	Partly Cloudy	81	29.86	9	8	WNW
Mon Feb  1 11:58:52 2010	San Diego	50 10 	Cloudy	86	29.96	5	0	CLM
Mon Feb  1 11:58:53 2010	Memphis	27 -3 		81	30.29	10	0	CLM
Mon Feb  1 11:58:54 2010	Los Angeles	46 8 	Mostly Clear	82	29.94	10	5	NNW
Mon Feb  1 11:58:55 2010	El Paso	46 8 	Mostly Cloudy	70	29.87	10	0	CLM
Mon Feb  1 11:58:56 2010	Baltimore	17 -8 	Partly Cloudy	67	30.3	10	6	W
Mon Feb  1 11:58:56 2010	New York	26 -3 	Clear	42	30.18	10	16	W
Mon Feb  1 11:58:57 2010	Las Vegas	43 6 	Clear	70	29.96	10	0	CLM
Mon Feb  1 11:58:58 2010	Washington	21 -6 	Partly Cloudy	70	30.33	10	0	CLM
Mon Feb  1 11:58:59 2010	Austin	34 1 	Cloudy	93	30.15	6	0	CLM
Mon Feb  1 11:59:00 2010	Oklahoma City	25 -4 	Foggy	100	30.13	1	6	SSE
Mon Feb  1 11:59:00 2010	San Francisco	50 10 	Cloudy	90	29.99	10	2	W
Mon Feb  1 11:59:01 2010	Nashville	19 -7 	Dense Fog	100	30.31	0	0	CLM
Mon Feb  1 11:59:02 2010	Fort Worth	32 0 	Cloudy	88	30.17	5	0	CLM
Mon Feb  1 11:59:03 2010	Phoenix	48 9 	Mostly Clear	73	29.91	10	0	CLM
Mon Feb  1 11:59:03 2010	Portland	40 4 	Partly Cloudy	89	29.94	10	8	ENE
Mon Feb  1 11:59:04 2010	Chicago	20 -7 	Cloudy	65	30.36	10	3	N
Mon Feb  1 11:59:05 2010	San Antonio	36 2 	Cloudy	89	30.12	6	5	NE
Mon Feb  1 11:59:06 2010	Indianapolis	18 -8 		85	30.29	7	0	CLM
Mon Feb  1 11:59:07 2010	Boston	24 -4 	Clear	48	30.05	10	14	W
Mon Feb  1 11:59:07 2010	Jacksonville	50 10 	Mostly Clear	76	30.21	10	18	NE
Mon Feb  1 11:59:08 2010	Columbus	17 -8 		83	30.37	10	0	CLM
Mon Feb  1 11:59:09 2010	Dallas	33 1 	Mostly Cloudy	88	30.18	6	0	CLM
Mon Feb  1 11:59:10 2010	Houston	39 4 	Cloudy	82	30.18	8	6	NE
Mon Feb  1 11:59:11 2010	Milwaukee	13-Sep	Partly Cloudy	72	30.31	10	0	CLM
Mon Feb  1 11:59:11 2010	Seattle	45 7 	Cloudy	85	29.95	10	9	ESE
Mon Feb  1 11:59:12 2010	Detroit	11-Dec	Mostly Clear	76	30.36	8	3	SSW
Mon Feb  1 11:59:13 2010	Philadelphia	23 -5 	Clear	54	30.27	10	5	WSW
Mon Feb  1 12:42:17 2010	Charlotte	24 -4 	Partly Cloudy	91	30.33	6	0	CLM
Mon Feb  1 12:42:17 2010	San Jose	45 7 	Mostly Cloudy	89	29.98	9	2	NE
Mon Feb  1 12:42:18 2010	San Diego	50 10 	Clear	86	29.94	5	3	NE
Mon Feb  1 12:42:19 2010	Denver	25 -4 	Partly Cloudy	68	29.85	10	3	WSW
Mon Feb  1 12:42:20 2010	Memphis	26 -3 	Cloudy	84	30.28	9	5	E
Mon Feb  1 12:42:21 2010	El Paso	44 7 	Mostly Cloudy	78	29.87	10	0	CLM
Mon Feb  1 12:42:21 2010	Los Angeles	45 7 	Clear	82	29.93	10	0	CLM
Mon Feb  1 12:42:22 2010	New York	26 -3 	Clear	46	30.2	10	9	W
Mon Feb  1 12:42:23 2010	Baltimore	19 -7 	Mostly Clear	62	30.33	10	7	W
Mon Feb  1 12:42:24 2010	Las Vegas	42 6 	Clear	70	29.95	10	0	CLM
Mon Feb  1 12:42:25 2010	Austin	36 2 	Cloudy	86	30.14	7	3	NE
Mon Feb  1 12:42:25 2010	Washington	24 -4 	Clear	57	30.34	10	8	NNW
Mon Feb  1 12:42:26 2010	San Francisco	50 10 	Cloudy	90	30	10	2	W
Mon Feb  1 12:42:27 2010	Oklahoma City	26 -3 	Foggy	100	30.09	1	7	SSE
Mon Feb  1 12:42:28 2010	Nashville	20 -7 	Dense Fog	91	30.32	0	3	NE
Mon Feb  1 12:42:29 2010	Fort Worth	30 -1 		88	30.15	4	3	SE
Mon Feb  1 12:42:29 2010	Phoenix	48 9 	Clear	73	29.91	10	0	CLM
Mon Feb  1 12:42:30 2010	Portland	40 4 	Partly Cloudy	89	29.92	10	10	E
Mon Feb  1 12:42:31 2010	Chicago	21 -6 	Cloudy	62	30.35	10	3	NNW
Mon Feb  1 12:42:32 2010	San Antonio	37 3 	Light Fog	88	30.12	3	3	NE
Mon Feb  1 12:42:33 2010	Boston	23 -5 	Clear	52	30.07	10	16	WSW
Mon Feb  1 12:42:33 2010	Indianapolis	18 -8 		92	30.3	7	3	SSW
Mon Feb  1 12:42:34 2010	Jacksonville	52 11 	Mostly Clear	76	30.23	10	17	NE
Mon Feb  1 12:42:35 2010	Columbus	17 -8 	Cloudy	83	30.37	9	0	CLM
Mon Feb  1 12:42:36 2010	Dallas	33 1 	Mostly Cloudy	88	30.17	6	0	CLM
Mon Feb  1 12:42:37 2010	Houston	39 4 	Clear	82	30.16	7	6	NE
Mon Feb  1 12:42:37 2010	Seattle	44 7 	Partly Cloudy	82	29.94	10	7	ESE
Mon Feb  1 12:42:38 2010	Milwaukee	13-Sep	Partly Cloudy	72	30.31	10	0	CLM
Mon Feb  1 12:42:39 2010	Detroit	12-Nov	Clear	80	30.36	8	3	SSW
Mon Feb  1 12:42:40 2010	Philadelphia	23 -5 	Clear	54	30.29	10	6	WSW
Mon Feb  1 13:26:02 2010	San Jose	45 7 	Mostly Cloudy	89	29.97	9	2	SSE
Mon Feb  1 13:26:03 2010	Charlotte	24 -4 	Partly Cloudy	95	30.36	5	0	CLM
Mon Feb  1 13:26:04 2010	San Diego	50 10 	Clear	89	29.93	5	0	CLM
Mon Feb  1 13:26:05 2010	Denver	28 -2 	Partly Cloudy	58	29.84	10	15	SW
Mon Feb  1 13:26:06 2010	Los Angeles	45 7 	Clear	79	29.93	10	0	CLM
Mon Feb  1 13:26:06 2010	Memphis	25 -4 		88	30.28	9	0	CLM
Mon Feb  1 13:26:07 2010	El Paso	43 6 	Mostly Cloudy	79	29.88	10	0	CLM
Mon Feb  1 13:26:08 2010	New York	25 -4 	Clear	50	30.23	10	6	WSW
Mon Feb  1 13:26:09 2010	Baltimore	19 -7 		62	30.35	10	3	WNW
Mon Feb  1 13:26:10 2010	Las Vegas	41 5 	Clear	73	29.96	10	3	SW
Mon Feb  1 13:26:10 2010	Washington	27 -3 	Mostly Clear	48	30.36	10	13	NW
Mon Feb  1 13:26:11 2010	Austin	36 2 	Cloudy	86	30.13	7	5	NNW
Mon Feb  1 13:26:12 2010	San Francisco	49 9 	Mostly Cloudy	90	29.97	9	3	W
Mon Feb  1 13:26:13 2010	Nashville	19 -7 	Dense Fog	92	30.31	0	0	CLM
Mon Feb  1 13:26:13 2010	Oklahoma City	27 -3 	Light Fog	100	30.06	1	6	SE
Mon Feb  1 13:26:14 2010	Fort Worth	31 -1 	Mostly Cloudy	88	30.13	4	5	E
Mon Feb  1 13:26:15 2010	Phoenix	47 8 	Clear	76	29.91	10	0	CLM
Mon Feb  1 13:26:16 2010	Portland	40 4 	Partly Cloudy	85	29.9	10	14	E
Mon Feb  1 13:26:17 2010	Chicago	21 -6 	Cloudy	62	30.36	10	0	CLM
Mon Feb  1 13:26:17 2010	San Antonio	36 2 	Mist	100	30.12	2	3	NE
Mon Feb  1 13:26:18 2010	Indianapolis	19 -7 	Cloudy	92	30.3	7	0	CLM
Mon Feb  1 13:26:19 2010	Boston	23 -5 	Sunny	52	30.09	10	17	WSW
Mon Feb  1 13:26:20 2010	Jacksonville	52 11 	Mostly Clear	80	30.23	10	16	NE
Mon Feb  1 13:26:21 2010	Columbus	16 -9 	Mostly Cloudy	84	30.35	9	3	ENE
Mon Feb  1 13:26:21 2010	Dallas	32 0 	Mostly Cloudy	92	30.15	6	3	E
Mon Feb  1 13:26:22 2010	Houston	40 4 	Cloudy	79	30.17	8	6	NE
Mon Feb  1 13:26:23 2010	Seattle	43 6 	Partly Cloudy	82	29.92	10	8	ESE
Mon Feb  1 13:26:24 2010	Milwaukee	12-Oct	Cloudy	67	30.3	10	0	CLM
Mon Feb  1 13:26:25 2010	Detroit	11-Dec	Clear	80	30.35	7	0	CLM
Mon Feb  1 13:26:25 2010	Philadelphia	22 -6 	Clear	60	30.33	10	5	W
Mon Feb  1 14:10:48 2010	Charlotte	24 -4 	Partly Cloudy	95	30.36	5	0	CLM
Mon Feb  1 14:10:48 2010	San Jose	44 7 		89	29.97	9	2	N
Mon Feb  1 14:10:49 2010	San Diego	50 10 	Cloudy	89	29.93	5	0	CLM
Mon Feb  1 14:10:50 2010	Denver	28 -2 	Partly Cloudy	58	29.84	10	15	SW
Mon Feb  1 14:10:51 2010	Memphis	25 -4 		88	30.28	9	0	CLM
Mon Feb  1 14:10:52 2010	El Paso	43 6 	Mostly Cloudy	79	29.88	10	0	CLM
Mon Feb  1 14:10:52 2010	Los Angeles	45 7 	Mostly Clear	79	29.93	10	0	CLM
Mon Feb  1 14:10:53 2010	New York	25 -4 	Clear	50	30.23	10	6	WSW
Mon Feb  1 14:10:54 2010	Baltimore	19 -7 		62	30.35	10	3	WNW
