17	www.findlocalweather.com									
(Timestamp)	(Location)	(Conditions)	Temp (°F)	Humidity (%)	(Wind Direction)	Wind Speed (mph)	Barometer (in.)	Dewpoint (°F)	Heat Index (°F) 	Wind Chill (°F)
Sat Jan 30 00:22:45 2010	 San Antonio TX 	Clear	50	50	NNW	12	30.03	32	50	46
Sat Jan 30 00:22:46 2010	 Indianapolis IN 	Overcast	18	68	ENE	10	30.3	9	18	7
Sat Jan 30 00:22:47 2010	 Boston MA 	Partly Cloudy	18	29	WNW	25	30.06	-9	18	1
Sat Jan 30 00:22:48 2010	 Jacksonville FL 	Overcast	61	55	E	9	30.06	45	61	60
Sat Jan 30 00:22:49 2010	 Columbus OH 	Overcast	16	53	NE	6	30.36	1	16	8
Sat Jan 30 00:22:50 2010	 Dallas TX 	Overcast	34	81	NW	16	30.03	28	34	24
Sat Jan 30 00:22:50 2010	 Houston TX 	Overcast	48	71	NW	14	29.94	39	48	43
Sat Jan 30 00:22:51 2010	 Seattle WA 	Mostly Cloudy	55	51	N/A		29.94	37	55	55
Sat Jan 30 00:22:52 2010	 Milwaukee WI 	Partly Cloudy	16	57	NE	3	30.42	3	16	11
Sat Jan 30 00:22:53 2010	 Detroit MI 	Clear	18	45	NNE	5	30.42	N/A	18	11
Sat Jan 30 00:22:54 2010	 Philadelphia PA 	Mostly Cloudy	23	39	WNW	12	30.33	1	23	13
Sat Jan 30 01:06:31 2010	 San Jose CA 	Mostly Cloudy	61	55	S	17	29.97	45	61	58
Sat Jan 30 01:06:32 2010	 Charlotte NC 	Light Snow	34	87	NE	7	30.24	30	34	28
Sat Jan 30 01:06:33 2010	 San Diego CA 	Mostly Cloudy	63	68	WNW	6	30.03	52	63	63
Sat Jan 30 01:06:34 2010	 Denver CO 	Partly Cloudy	43	24	NNW	3	30	9	43	41
Sat Jan 30 01:06:35 2010	 Memphis TN 	Freezing Rain	30	93	NE	13	30	28	30	21
Sat Jan 30 01:06:35 2010	 Los Angeles CA 	Clear	66	46	W	5	30	45	66	66
Sat Jan 30 01:06:37 2010	 El Paso TX 	Partly Cloudy	46	53	N	5	30.09	30	46	45
Sat Jan 30 01:06:38 2010	 New York City NY 	Clear	21	38	NW	9	30.27	N/A	21	12
Sat Jan 30 01:06:39 2010	 Baltimore MD 	Fair	25	30	N/A		30.36	-2	25	25
Sat Jan 30 01:06:40 2010	 Las Vegas NV 	Clear	55	41	SE	7	30.03	32	55	54
Sat Jan 30 01:06:41 2010	 Washington DC 	Overcast	27	33	NNW	10	30.36	1	27	18
Sat Jan 30 01:06:41 2010	 Austin TX 	Partly Cloudy	39	61	NW	14	30.06	27	39	32
Sat Jan 30 01:06:43 2010	 San Francisco CA 	Overcast	55	77	SW	10	29.97	48	55	53
Sat Jan 30 01:06:43 2010	 Oklahoma City OK 	Light Snow	23	100	NNW	17	30.06	23	23	10
Sat Jan 30 01:06:44 2010	 Nashville TN 	Light Snow	27	86	NE	12	30.09	23	27	17
Sat Jan 30 01:06:45 2010	 Fort Worth TX 	Overcast	34	75	N	17	30.12	27	34	24
Sat Jan 30 01:06:46 2010	 Phoenix AZ 	Partly Cloudy	66	43	ESE	3	30	43	66	66
Sat Jan 30 01:06:47 2010	 Portland OR 	Overcast	48	71	SE	13	29.97	39	48	43
Sat Jan 30 01:06:48 2010	 Chicago IL 	Mostly Cloudy	18	68	ENE	8	30.39	9	18	8
Sat Jan 30 01:06:49 2010	 San Antonio TX 	Clear	50	50	NNW	12	30.03	32	50	46
Sat Jan 30 01:06:50 2010	 Indianapolis IN 	Overcast	18	68	ENE	10	30.3	9	18	7
Sat Jan 30 01:06:51 2010	 Boston MA 	Partly Cloudy	18	29	WNW	25	30.06	-9	18	1
Sat Jan 30 01:06:52 2010	 Jacksonville FL 	Overcast	61	55	E	9	30.06	45	61	60
Sat Jan 30 01:06:53 2010	 Columbus OH 	Overcast	16	53	NE	6	30.36	1	16	8
Sat Jan 30 01:06:54 2010	 Dallas TX 	Overcast	34	81	NW	16	30.03	28	34	24
Sat Jan 30 01:06:55 2010	 Houston TX 	Overcast	48	71	NW	14	29.94	39	48	43
Sat Jan 30 01:06:57 2010	 Seattle WA 	Mostly Cloudy	55	51	N/A		29.94	37	55	55
Sat Jan 30 01:06:58 2010	 Milwaukee WI 	Partly Cloudy	16	57	NE	3	30.42	3	16	11
Sat Jan 30 01:06:59 2010	 Detroit MI 	Clear	18	45	NNE	5	30.42	N/A	18	11
Sat Jan 30 01:07:00 2010	 Philadelphia PA 	Mostly Cloudy	23	39	WNW	12	30.33	1	23	13
Sat Jan 30 01:50:07 2010	 San Jose CA 	Mostly Cloudy	59	55	S	13	29.94	43	59	57
Sat Jan 30 01:50:08 2010	 Charlotte NC 	Light Snow	34	87	ENE	8	30.24	30	34	28
Sat Jan 30 01:50:09 2010	 San Diego CA 	Overcast	61	72	WNW	6	30.03	52	61	61
Sat Jan 30 01:50:10 2010	 Denver CO 	Partly Cloudy	39	30	NNW	2	30	10	39	39
Sat Jan 30 01:50:11 2010	 Memphis TN 	Freezing Rain	30	86	NE	17	29.97	27	30	19
Sat Jan 30 01:50:12 2010	 Los Angeles CA 	Clear	66	49	Variable	3	30	46	66	66
Sat Jan 30 01:50:16 2010	 El Paso TX 	Partly Cloudy	46	53	N	3	30.09	30	46	46
Sat Jan 30 01:50:17 2010	 New York City NY 	Clear	21	42	W	10	30.27	1	21	11
Sat Jan 30 01:50:20 2010	 Baltimore MD 	Fair	25	33	N/A		30.36	N/A	25	25
Sat Jan 30 01:50:21 2010	 Las Vegas NV 	Clear	55	41	ESE	5	30.03	32	55	55
Sat Jan 30 01:50:22 2010	 Washington DC 	Overcast	27	33	NW	12	30.39	1	27	17
Sat Jan 30 01:50:23 2010	 Austin TX 	Mostly Cloudy	37	60	NNW	8	30.09	25	37	32
Sat Jan 30 01:50:24 2010	 San Francisco CA 	Mostly Cloudy	57	67	SSE	9	29.94	46	57	55
Sat Jan 30 01:50:25 2010	 Oklahoma City OK 	Fog And Mist	23	100	N	14	30.06	23	23	11
Sat Jan 30 01:50:25 2010	 Nashville TN 	Light Snow	27	86	NE	15	30.09	23	27	16
Sat Jan 30 01:50:26 2010	 Fort Worth TX 	Overcast	32	75	NW	18	30.12	25	32	21
Sat Jan 30 01:50:27 2010	 Phoenix AZ 	Partly Cloudy	64	46	SW	3	30	43	64	64
Sat Jan 30 01:50:28 2010	 Portland OR 	Overcast	48	66	SE	9	29.97	37	48	44
Sat Jan 30 01:50:29 2010	 Chicago IL 	Light Snow	18	68	N	5	30.39	9	18	11
Sat Jan 30 01:50:30 2010	 San Antonio TX 	Clear	46	50	NNW	12	30.06	28	46	42
Sat Jan 30 01:50:31 2010	 Indianapolis IN 	Overcast	18	62	ENE	13	30.3	7	18	5
Sat Jan 30 01:50:32 2010	 Boston MA 	Partly Cloudy	16	29	WNW	25	30.06	-11	16	-2
Sat Jan 30 01:50:34 2010	 Jacksonville FL 	Overcast	59	68	ENE	5	30.06	48	59	59
Sat Jan 30 01:50:35 2010	 Columbus OH 	Overcast	16	53	NE	7	30.36	1	16	7
Sat Jan 30 01:50:35 2010	 Dallas TX 	Overcast	34	75	NW	20	30.06	27	34	23
Sat Jan 30 01:50:36 2010	 Houston TX 	Overcast	46	76	NW	21	29.97	39	46	39
Sat Jan 30 01:50:37 2010	 Seattle WA 	Overcast	54	54	N/A		29.97	37	54	54
Sat Jan 30 01:50:39 2010	 Milwaukee WI 	Partly Cloudy	16	62	N/A		30.42	5	16	16
Sat Jan 30 01:50:40 2010	 Detroit MI 	Clear	18	45	NE	5	30.42	N/A	18	11
Sat Jan 30 01:50:41 2010	 Philadelphia PA 	Mostly Cloudy	23	39	NW	10	30.33	1	23	13
Sat Jan 30 02:34:45 2010	 San Jose CA 	Mostly Cloudy	57	59	S	7	29.94	43	57	56
Sat Jan 30 02:34:46 2010	 Charlotte NC 	Light Snow	32	93	NE	7	30.24	30	32	26
Sat Jan 30 02:34:47 2010	 San Diego CA 	Overcast	61	72	WNW	3	30.03	52	61	61
Sat Jan 30 02:34:48 2010	 Denver CO 	Partly Cloudy	37	30	N/A		30	9	37	37
Sat Jan 30 02:34:49 2010	 Memphis TN 	Freezing Rain	30	86	NE	16	29.94	27	30	20
Sat Jan 30 02:34:49 2010	 Los Angeles CA 	Clear	63	59	N/A		30	48	63	63
Sat Jan 30 02:34:52 2010	 El Paso TX 	Partly Cloudy	45	61	SSW	7	30.09	32	45	41
Sat Jan 30 02:34:53 2010	 New York City NY 	Clear	19	42	W	10	30.27	N/A	19	9
Sat Jan 30 02:34:54 2010	 Baltimore MD 	Fair	25	33	N/A		30.36	N/A	25	25
Sat Jan 30 02:34:55 2010	 Las Vegas NV 	Clear	54	47	ESE	5	30.03	34	54	53
Sat Jan 30 02:34:56 2010	 Washington DC 	Mostly Cloudy	25	36	NNW	14	30.39	1	25	14
Sat Jan 30 02:34:56 2010	 Austin TX 	Partly Cloudy	36	65	NNW	8	30.09	25	36	30
Sat Jan 30 02:34:58 2010	 San Francisco CA 	Rain	54	82	S	6	29.97	48	54	52
Sat Jan 30 02:34:59 2010	 Oklahoma City OK 	Light Snow	23	100	N	9	30.06	23	23	14
Sat Jan 30 02:35:00 2010	 Nashville TN 	Freezing Rain	27	93	NE	13	30.06	25	27	17
Sat Jan 30 02:35:01 2010	 Fort Worth TX 	Overcast	30	75	NNW	14	30.15	23	30	21
Sat Jan 30 02:35:02 2010	 Phoenix AZ 	Partly Cloudy	63	52	SW	3	30	45	63	63
Sat Jan 30 02:35:02 2010	 Portland OR 	Overcast	48	66	SE	10	29.97	37	48	44
Sat Jan 30 02:35:03 2010	 Chicago IL 	Light Snow	19	68	NNE	7	30.36	10	19	11
Sat Jan 30 02:35:04 2010	 San Antonio TX 	Clear	45	53	NNW	9	30.06	28	45	40
Sat Jan 30 02:35:05 2010	 Indianapolis IN 	Overcast	18	62	ENE	10	30.27	7	18	7
Sat Jan 30 02:35:06 2010	 Boston MA 	Clear	16	29	WNW	22	30.06	-11	16	-1
Sat Jan 30 02:35:07 2010	 Jacksonville FL 	Overcast	57	82	NE	8	30.06	52	57	56
Sat Jan 30 02:35:08 2010	 Columbus OH 	Overcast	16	53	NE	5	30.36	1	16	10
Sat Jan 30 02:35:09 2010	 Dallas TX 	Overcast	32	75	NW	23	30.09	25	32	20
Sat Jan 30 02:35:10 2010	 Houston TX 	Overcast	45	71	NW	17	29.97	36	45	38
Sat Jan 30 02:35:11 2010	 Seattle WA 	Overcast	54	54	N/A		29.97	37	54	54
Sat Jan 30 02:35:12 2010	 Milwaukee WI 	Mostly Cloudy	16	67	NNW	5	30.39	7	16	10
Sat Jan 30 02:35:13 2010	 Detroit MI 	Clear	16	53	NNE	5	30.42	1	16	10
Sat Jan 30 02:35:14 2010	 Philadelphia PA 	Mostly Cloudy	23	39	WNW	10	30.33	1	23	13
Sat Jan 30 03:18:30 2010	 San Jose CA 	Rain	54	82	SW	3	29.97	48	54	54
Sat Jan 30 03:18:31 2010	 Charlotte NC 	Light Snow	32	93	NE	7	30.21	30	32	26
Sat Jan 30 03:18:32 2010	 San Diego CA 	Overcast	59	77	W	3	30.03	52	59	59
Sat Jan 30 03:18:33 2010	 Denver CO 	Partly Cloudy	36	30	N/A		30	7	36	36
Sat Jan 30 03:18:34 2010	 Memphis TN 	Freezing Rain	30	86	NE	16	29.94	27	30	20
Sat Jan 30 03:18:34 2010	 Los Angeles CA 	Clear	61	68	N/A		30	50	61	61
Sat Jan 30 03:18:35 2010	 El Paso TX 	Clear	45	61	W	5	30.09	32	45	43
Sat Jan 30 03:18:38 2010	 New York City NY 	Clear	19	45	Variable	5	30.3	1	19	14
Sat Jan 30 03:18:39 2010	 Baltimore MD 	Fair	25	33	N/A		30.36	N/A	25	25
Sat Jan 30 03:18:40 2010	 Las Vegas NV 	Clear	52	54	E	5	30.03	36	52	51
Sat Jan 30 03:18:41 2010	 Washington DC 	Overcast	25	36	N	15	30.39	1	25	13
Sat Jan 30 03:18:42 2010	 Austin TX 	Overcast	36	65	NNW	7	30.12	25	36	31
Sat Jan 30 03:18:43 2010	 San Francisco CA 	Rain	52	88	SE	16	29.97	48	52	47
Sat Jan 30 03:18:44 2010	 Oklahoma City OK 	Light Snow	23	100	NNW	7	30.09	23	23	16
Sat Jan 30 03:18:45 2010	 Nashville TN 	Light Snow	27	93	NE	10	30.06	25	27	18
Sat Jan 30 03:18:46 2010	 Fort Worth TX 	Overcast	30	75	NW	14	30.15	23	30	21
Sat Jan 30 03:18:47 2010	 Phoenix AZ 	Partly Cloudy	61	59	N/A		30	46	61	61
Sat Jan 30 03:18:48 2010	 Portland OR 	Light Rain	46	76	ESE	9	29.97	39	46	42
Sat Jan 30 03:18:49 2010	 Chicago IL 	Light Snow	19	68	N	6	30.36	10	19	12
Sat Jan 30 03:18:50 2010	 San Antonio TX 	Clear	43	57	NW	10	30.09	28	43	37
Sat Jan 30 03:18:50 2010	 Indianapolis IN 	Overcast	18	68	ENE	14	30.27	9	18	5
Sat Jan 30 03:18:52 2010	 Boston MA 	Clear	14	31	WNW	23	30.09	-11	14	-3
Sat Jan 30 03:18:53 2010	 Jacksonville FL 	Overcast	55	88	NE	7	30.03	52	55	54
Sat Jan 30 03:18:54 2010	 Columbus OH 	Overcast	16	57	NE	6	30.33	3	16	8
Sat Jan 30 03:18:54 2010	 Dallas TX 	Overcast	32	75	NW	17	30.09	25	32	22
Sat Jan 30 03:18:55 2010	 Houston TX 	Overcast	43	71	NW	14	30	34	43	36
Sat Jan 30 03:18:56 2010	 Seattle WA 	Overcast	52	62	N/A		29.97	39	52	52
Sat Jan 30 03:18:57 2010	 Milwaukee WI 	Mostly Cloudy	16	67	NNW	3	30.36	7	16	11
Sat Jan 30 03:18:58 2010	 Detroit MI 	Clear	14	57	NE	5	30.39	1	14	7
Sat Jan 30 03:19:00 2010	 Philadelphia PA 	Mostly Cloudy	21	42	NW	7	30.33	1	21	13
Sat Jan 30 04:02:21 2010	 San Jose CA 	Rain	52	88	N/A		30	48	52	52
Sat Jan 30 04:02:22 2010	 Charlotte NC 	Light Snow	32	93	ENE	8	30.18	30	32	26
Sat Jan 30 04:02:23 2010	 San Diego CA 	Overcast	59	77	W	3	30.03	52	59	59
Sat Jan 30 04:02:24 2010	 Denver CO 	Partly Cloudy	36	30	N/A		30	7	36	36
Sat Jan 30 04:02:25 2010	 Memphis TN 	Freezing Drizzle	30	86	NE	14	29.94	27	30	21
Sat Jan 30 04:02:26 2010	 Los Angeles CA 	Clear	61	68	N/A		30	50	61	61
Sat Jan 30 04:02:27 2010	 El Paso TX 	Clear	45	61	W	5	30.09	32	45	43
Sat Jan 30 04:02:28 2010	 New York City NY 	Clear	19	45	Variable	5	30.3	1	19	14
Sat Jan 30 04:02:29 2010	 Baltimore MD 	Fair	25	33	N/A		30.36	N/A	25	25
Sat Jan 30 04:02:30 2010	 Las Vegas NV 	Clear	52	54	E	5	30.03	36	52	51
Sat Jan 30 04:02:31 2010	 Washington DC 	Overcast	25	36	N	15	30.39	1	25	13
Sat Jan 30 04:02:32 2010	 Austin TX 	Overcast	36	65	NNW	7	30.12	25	36	31
Sat Jan 30 04:02:33 2010	 San Francisco CA 	Rain	52	88	SE	16	29.97	48	52	47
Sat Jan 30 04:02:34 2010	 Oklahoma City OK 	Overcast	23	100	N	9	30.09	23	23	14
Sat Jan 30 04:02:35 2010	 Nashville TN 	Light Snow	27	86	NE	14	30.03	23	27	16
Sat Jan 30 04:02:36 2010	 Fort Worth TX 	Overcast	30	75	NW	14	30.15	23	30	21
Sat Jan 30 04:02:37 2010	 Phoenix AZ 	Partly Cloudy	61	59	N/A		30	46	61	61
Sat Jan 30 04:02:39 2010	 Portland OR 	Light Rain	46	76	ESE	9	29.97	39	46	42
Sat Jan 30 04:02:39 2010	 Chicago IL 	Light Snow	19	73	NNW	5	30.36	12	19	14
Sat Jan 30 04:02:40 2010	 San Antonio TX 	Clear	43	57	NW	10	30.09	28	43	37
Sat Jan 30 04:02:42 2010	 Indianapolis IN 	Overcast	18	68	ENE	14	30.27	9	18	5
Sat Jan 30 04:02:42 2010	 Boston MA 	Clear	14	31	WNW	23	30.09	-11	14	-3
Sat Jan 30 04:02:44 2010	 Jacksonville FL 	Overcast	55	88	NE	7	30.03	52	55	54
Sat Jan 30 04:02:45 2010	 Columbus OH 	Overcast	16	57	NE	6	30.33	3	16	8
Sat Jan 30 04:02:45 2010	 Dallas TX 	Overcast	32	75	NW	17	30.09	25	32	22
Sat Jan 30 04:02:46 2010	 Houston TX 	Overcast	43	71	NW	14	30	34	43	36
Sat Jan 30 04:02:47 2010	 Seattle WA 	Overcast	52	62	N/A		29.97	39	52	52
Sat Jan 30 04:02:49 2010	 Milwaukee WI 	Mostly Cloudy	16	67	NNW	3	30.36	7	16	11
Sat Jan 30 04:02:51 2010	 Detroit MI 	Clear	14	57	NE	5	30.39	1	14	7
Sat Jan 30 04:02:52 2010	 Philadelphia PA 	Mostly Cloudy	21	42	NW	7	30.33	1	21	13
Sat Jan 30 04:46:07 2010	 San Jose CA 	Overcast	52	100	SE	6	29.97	52	52	50
Sat Jan 30 04:46:08 2010	 Charlotte NC 	Light Snow	32	87	ENE	9	30.15	28	32	25
Sat Jan 30 04:46:09 2010	 San Diego CA 	Hazy	59	77	WNW	3	30.03	52	59	59
Sat Jan 30 04:46:10 2010	 Denver CO 	Partly Cloudy	34	38	E	3	30	10	34	31
Sat Jan 30 04:46:10 2010	 Memphis TN 	Freezing Drizzle	30	86	NE	16	29.94	27	30	20
Sat Jan 30 04:46:11 2010	 Los Angeles CA 	Clear	57	82	N/A		30.03	52	57	57
Sat Jan 30 04:46:12 2010	 El Paso TX 	Clear	41	66	NE	8	30.12	30	41	36
Sat Jan 30 04:46:14 2010	 New York City NY 	Clear	18	45	NW	9	30.3	N/A	18	7
Sat Jan 30 04:46:14 2010	 Baltimore MD 	Fair	23	36	N/A		30.36	N/A	23	23
Sat Jan 30 04:46:16 2010	 Las Vegas NV 	Clear	48	66	N/A		30.03	37	48	48
Sat Jan 30 04:46:16 2010	 Washington DC 	Overcast	25	33	NNW	17	30.39	N/A	25	12
Sat Jan 30 04:46:17 2010	 Austin TX 	Partly Cloudy	36	65	NNW	10	30.12	25	36	29
Sat Jan 30 04:46:18 2010	 San Francisco CA 	Light Rain	52	88	SE	8	29.97	48	52	49
Sat Jan 30 04:46:19 2010	 Oklahoma City OK 	Overcast	21	86	NNW	7	30.12	18	21	13
Sat Jan 30 04:46:20 2010	 Nashville TN 	Light Snow	27	93	NE	10	30.03	25	27	18
Sat Jan 30 04:46:21 2010	 Fort Worth TX 	Overcast	30	75	NW	16	30.15	23	30	20
Sat Jan 30 04:46:22 2010	 Phoenix AZ 	Partly Cloudy	61	59	N/A		30	46	61	61
Sat Jan 30 04:46:23 2010	 Portland OR 	Overcast	46	76	ESE	8	29.97	39	46	43
Sat Jan 30 04:46:24 2010	 Chicago IL 	Light Snow	19	73	NNW	5	30.33	12	19	14
Sat Jan 30 04:46:25 2010	 San Antonio TX 	Clear	43	53	NNW	8	30.09	27	43	38
Sat Jan 30 04:46:26 2010	 Indianapolis IN 	Light Snow	18	68	ENE	15	30.24	9	18	4
Sat Jan 30 04:46:27 2010	 Boston MA 	Clear	12	34	NW	22	30.09	-11	12	-5
Sat Jan 30 04:46:28 2010	 Jacksonville FL 	Mostly Cloudy	55	88	NNE	5	30.03	52	55	55
Sat Jan 30 04:46:29 2010	 Columbus OH 	Overcast	16	57	NE	7	30.33	3	16	7
Sat Jan 30 04:46:30 2010	 Dallas TX 	Overcast	30	80	NW	15	30.09	25	30	20
Sat Jan 30 04:46:31 2010	 Houston TX 	Overcast	39	75	NW	18	30.03	32	39	31
Sat Jan 30 04:46:32 2010	 Seattle WA 	Overcast	54	58	N/A		29.97	39	54	54
Sat Jan 30 04:46:33 2010	 Milwaukee WI 	Overcast	16	62	NW	6	30.36	5	16	8
Sat Jan 30 04:46:34 2010	 Detroit MI 	Clear	14	62	NE	5	30.39	3	14	7
Sat Jan 30 04:46:35 2010	 Philadelphia PA 	Mostly Cloudy	21	38	NW	10	30.33	N/A	21	11
Sat Jan 30 05:29:52 2010	 San Jose CA 	Overcast	52	100	SE	7	29.97	52	52	50
Sat Jan 30 05:29:53 2010	 Charlotte NC 	Light Snow	32	87	NE	6	30.18	28	32	27
Sat Jan 30 05:29:53 2010	 San Diego CA 	Overcast	57	82	N/A		30.03	52	57	57
Sat Jan 30 05:29:55 2010	 Denver CO 	Partly Cloudy	25	63	S	7	30.03	14	25	18
Sat Jan 30 05:29:55 2010	 Memphis TN 	Freezing Drizzle	30	86	NE	12	29.94	27	30	22
Sat Jan 30 05:29:57 2010	 Los Angeles CA 	Hazy	57	82	N/A		30.03	52	57	57
Sat Jan 30 05:29:58 2010	 El Paso TX 	Clear	37	75	NE	3	30.12	30	37	35
Sat Jan 30 05:29:59 2010	 New York City NY 	Clear	18	45	WNW	10	30.3	N/A	18	7
Sat Jan 30 05:30:00 2010	 Baltimore MD 	Fair	23	39	N/A		30.36	1	23	23
Sat Jan 30 05:30:01 2010	 Las Vegas NV 	Clear	50	58	N/A		30.03	36	50	50
Sat Jan 30 05:30:02 2010	 Washington DC 	Overcast	23	39	NNW	12	30.39	1	23	13
Sat Jan 30 05:30:03 2010	 Austin TX 	Clear	34	70	Variable	5	30.12	25	34	30
Sat Jan 30 05:30:04 2010	 San Francisco CA 	Overcast	52	88	SSE	9	29.97	48	52	49
Sat Jan 30 05:30:05 2010	 Oklahoma City OK 	Overcast	23	86	N	8	30.12	19	23	15
Sat Jan 30 05:30:06 2010	 Nashville TN 	Light Snow	27	93	NE	10	29.97	25	27	18
Sat Jan 30 05:30:07 2010	 Fort Worth TX 	Overcast	30	69	NW	15	30.18	21	30	20
Sat Jan 30 05:30:08 2010	 Phoenix AZ 	Partly Cloudy	59	63	N/A		30	46	59	59
Sat Jan 30 05:30:09 2010	 Portland OR 	Overcast	46	76	E	6	29.97	39	46	44
Sat Jan 30 05:30:10 2010	 Chicago IL 	Light Snow	19	73	SE	10	30.33	12	19	9
Sat Jan 30 05:30:11 2010	 San Antonio TX 	Clear	39	61	NNW	10	30.12	27	39	33
Sat Jan 30 05:30:12 2010	 Indianapolis IN 	Light Snow	16	67	ENE	12	30.21	7	16	4
Sat Jan 30 05:30:12 2010	 Boston MA 	Clear	12	34	W	18	30.12	-11	12	-4
Sat Jan 30 05:30:13 2010	 Jacksonville FL 	Overcast	57	82	N	5	30.03	52	57	57
Sat Jan 30 05:30:15 2010	 Columbus OH 	Overcast	16	57	E	8	30.33	3	16	6
Sat Jan 30 05:30:15 2010	 Dallas TX 	Overcast	30	80	NW	16	30.12	25	30	20
Sat Jan 30 05:30:17 2010	 Houston TX 	Overcast	39	70	NW	17	30.06	30	39	31
Sat Jan 30 05:30:18 2010	 Seattle WA 	Overcast	52	72	N	3	29.97	43	52	52
Sat Jan 30 05:30:19 2010	 Milwaukee WI 	Overcast	16	57	WNW	7	30.36	3	16	7
Sat Jan 30 05:30:20 2010	 Detroit MI 	Clear	14	62	ENE	3	30.39	3	14	9
Sat Jan 30 05:30:21 2010	 Philadelphia PA 	Mostly Cloudy	21	42	NW	12	30.33	1	21	10
Sat Jan 30 06:13:37 2010	 San Jose CA 	Overcast	52	100	SSE	7	29.97	52	52	50
Sat Jan 30 06:13:38 2010	 Charlotte NC 	Light Snow	30	93	ENE	8	30.12	28	30	23
Sat Jan 30 06:13:39 2010	 San Diego CA 	Partly Cloudy	57	77	N/A		30.03	50	57	57
Sat Jan 30 06:13:40 2010	 Denver CO 	Partly Cloudy	27	54	S	6	30.03	12	27	21
Sat Jan 30 06:13:41 2010	 Memphis TN 	Freezing Drizzle	28	93	N	12	29.94	27	28	19
Sat Jan 30 06:13:42 2010	 Los Angeles CA 	Fog And Mist	55	88	N/A		30.03	52	55	55
Sat Jan 30 06:13:43 2010	 El Paso TX 	Clear	37	75	N	6	30.12	30	37	33
Sat Jan 30 06:13:44 2010	 New York City NY 	Clear	16	45	Variable	5	30.3	-2	16	10
Sat Jan 30 06:13:45 2010	 Baltimore MD 	Fair	23	39	N/A		30.36	1	23	23
Sat Jan 30 06:13:46 2010	 Las Vegas NV 	Clear	48	62	N/A		30.03	36	48	48
Sat Jan 30 06:13:47 2010	 Washington DC 	Overcast	23	39	NNW	12	30.39	1	23	13
Sat Jan 30 06:13:48 2010	 Austin TX 	Mostly Cloudy	34	70	NNW	8	30.12	25	34	28
Sat Jan 30 06:13:49 2010	 San Francisco CA 	Light Rain	52	94	S	8	30	50	52	49
Sat Jan 30 06:13:51 2010	 Oklahoma City OK 	Overcast	21	93	N	9	30.12	19	21	12
Sat Jan 30 06:13:52 2010	 Nashville TN 	Fog And Mist	27	93	NE	12	29.97	25	27	17
Sat Jan 30 06:13:53 2010	 Fort Worth TX 	Overcast	30	69	NW	13	30.18	21	30	21
Sat Jan 30 06:13:54 2010	 Phoenix AZ 	Partly Cloudy	57	72	N/A		30	48	57	57
Sat Jan 30 06:13:55 2010	 Portland OR 	Light Rain	45	81	N/A		29.97	39	45	45
Sat Jan 30 06:13:56 2010	 Chicago IL 	Light Snow	19	68	SE	8	30.33	10	19	10
Sat Jan 30 06:13:57 2010	 San Antonio TX 	Clear	37	65	NNW	10	30.15	27	37	31
Sat Jan 30 06:13:58 2010	 Indianapolis IN 	Light Snow	16	67	ENE	13	30.21	7	16	3
Sat Jan 30 06:13:59 2010	 Boston MA 	Clear	10	36	WNW	17	30.12	-11	10	-6
Sat Jan 30 06:14:00 2010	 Jacksonville FL 	Overcast	57	88	NNE	6	30	54	57	57
Sat Jan 30 06:14:01 2010	 Columbus OH 	Overcast	16	57	ENE	8	30.3	3	16	6
Sat Jan 30 06:14:02 2010	 Dallas TX 	Overcast	30	80	NNW	14	30.12	25	30	21
Sat Jan 30 06:14:03 2010	 Houston TX 	Overcast	39	70	NW	18	30.06	30	39	31
Sat Jan 30 06:14:04 2010	 Seattle WA 	Overcast	50	76	N/A		29.97	43	50	50
Sat Jan 30 06:14:05 2010	 Milwaukee WI 	Overcast	16	57	WNW	8	30.33	3	16	6
Sat Jan 30 06:14:06 2010	 Detroit MI 	Clear	12	67	ENE	5	30.39	3	12	5
Sat Jan 30 06:14:07 2010	 Philadelphia PA 	Overcast	21	42	NW	10	30.33	1	21	11
Sat Jan 30 06:59:11 2010	 San Jose CA 	Overcast	52	100	SSE	7	29.97	52	52	50
Sat Jan 30 06:59:12 2010	 Charlotte NC 	Light Snow	30	93	ENE	8	30.12	28	30	23
Sat Jan 30 06:59:13 2010	 San Diego CA 	Partly Cloudy	57	77	N/A		30.03	50	57	57
Sat Jan 30 06:59:14 2010	 Denver CO 	Partly Cloudy	27	54	S	6	30.03	12	27	21
Sat Jan 30 06:59:16 2010	 Memphis TN 	Freezing Drizzle	28	93	N	12	29.94	27	28	19
Sat Jan 30 06:59:17 2010	 Los Angeles CA 	Fog And Mist	55	88	N/A		30.03	52	55	55
Sat Jan 30 06:59:18 2010	 El Paso TX 	Clear	37	75	N	6	30.12	30	37	33
Sat Jan 30 06:59:20 2010	 New York City NY 	Clear	16	45	Variable	5	30.3	-2	16	10
Sat Jan 30 06:59:20 2010	 Baltimore MD 	Fair	23	39	N/A		30.36	1	23	23
Sat Jan 30 06:59:22 2010	 Las Vegas NV 	Clear	48	62	N/A		30.03	36	48	48
Sat Jan 30 06:59:23 2010	 Washington DC 	Overcast	23	39	NNW	12	30.39	1	23	13
Sat Jan 30 06:59:25 2010	 Austin TX 	Partly Cloudy	34	70	NNW	9	30.12	25	34	27
Sat Jan 30 06:59:27 2010	 San Francisco CA 	Mostly Cloudy	52	88	S	6	30	48	52	50
