10	 weather.weatherbug.com									
(Timestamp)	(Location)	Temp (°F)	(Wind Speed) (mph)	Lo (°F)	Rain (")	Hi (°F)	Gust	Wind Chill (°F)	Humidity (%)	Dew Point (°F)
Sat Jan 30 04:14:38 2010	Austin, TX 73301  	36.0	15	36	1.06	64	NNW 31	27	65	25
Sat Jan 30 04:14:38 2010	San Francisco, CA 94101  	50.7	5	49	0.16	57	SSW 16	49	N/A	--
Sat Jan 30 04:14:39 2010	Oklahoma City, OK 73101  	19.4	16	19	0.00	27	NNE 31	5	86	16
Sat Jan 30 04:14:40 2010	Nashville, TN 37201  	27.0	7	25	0.00	30	NE 19	19	100	27
Sat Jan 30 04:14:40 2010	Fort Worth, TX 76101  	30.1	10	29	0.61	46	NNW 28	21	96	29
Sat Jan 30 04:14:41 2010	Portland, OR 97201  	46.0	2	46	0.04	50	E 20	46	76	39
Sat Jan 30 04:14:41 2010	Phoenix, AZ 85001  	60.3	3	51	0.00	67	ENE 12	60	55	44
Sat Jan 30 04:14:43 2010	Chicago, IL 60601  	20.1	3	6	0.00	21	NNE 12	20	79	15
Sat Jan 30 04:14:43 2010	San Antonio, TX 78201  	36.2	9	36	0.73	63	W 39	29	64	25
Sat Jan 30 04:14:44 2010	Indianapolis, IN 46201  	16.5	5	11	0.00	20	NE 17	9	78	11
Sat Jan 30 04:14:45 2010	Jacksonville, FL 32099  	55.9	7	47	0.00	68	E 11	54	85	52
Sat Jan 30 04:14:45 2010	Boston, MA 02101  	10.5	10	9	0.00	18	WNW 38	-3	30	-16
Sat Jan 30 04:14:46 2010	Columbus, OH 43085  	14.1	0	9	N/A	21	ENE 12	14	N/A	--
Sat Jan 30 04:14:46 2010	Dallas, TX 75201  	32.3	3	32	0.63	44	NNW 25	30	84	28
Sat Jan 30 04:14:47 2010	Houston, TX 77001  	38.2	15	38	1.20	64	WNW 30	30	82	33
Sat Jan 30 04:14:48 2010	Milwaukee, WI 53201  	13.4	0	-1	0.00	14	NNE 11	13	74	7
Sat Jan 30 04:14:48 2010	Seattle, WA 98101  	52.6	4	44	0.00	55	WNW 18	52	61	39
Sat Jan 30 04:14:49 2010	Detroit, MI 48201  	15.4	0	6	0.00	21	NW 16	15	58	3
Sat Jan 30 04:14:49 2010	Philadelphia, PA 19019  	20.7	9	16	0.00	23	NW 25	10	51	5
Sat Jan 30 04:58:00 2010	San Jose, CA 95101  	51.8	6	44	0.22	62	SSW 24	50	100	52
Sat Jan 30 04:58:01 2010	Charlotte, NC 28201  	29.6	1	30	0.00	45	ENE 16	30	100	30
Sat Jan 30 04:58:03 2010	San Diego, CA 92101  	57.9	0	50	0.00	64	SW 11	58	85	54
Sat Jan 30 04:58:05 2010	Denver, CO 80214  	32.1	0	22	0.00	48	ENE 9	32	44	13
Sat Jan 30 04:58:06 2010	Memphis, TN 37501  	30.0	16	30	0.51	33	E 31	19	88	27
Sat Jan 30 04:58:07 2010	Los Angeles, CA 90001  	56.4	3	49	0.00	69	WSW 15	56	88	53
Sat Jan 30 04:58:09 2010	El Paso, TX 79901  	42.1	0	31	0.00	49	ENE 16	42	65	31
Sat Jan 30 04:58:11 2010	New York, NY 10001  	17.2	2	15	0.00	25	NNW 24	17	53	3
Sat Jan 30 04:58:12 2010	Baltimore, MD 21201  	19.7	1	16	0.00	22	NW 20	20	44	1
Sat Jan 30 04:58:14 2010	Las Vegas, NV 89101  	47.3	0	40	0.00	56	NE 12	47	54	32
Sat Jan 30 04:58:17 2010	Washington, DC 20001  	20.4	11	17	0.00	25	NNW 24	9	51	5
Sat Jan 30 04:58:18 2010	Austin, TX 73301  	36.0	12	36	1.06	64	NNW 31	28	65	25
Sat Jan 30 04:58:19 2010	San Francisco, CA 94101  	50.6	4	49	0.17	57	SSW 16	49	N/A	--
Sat Jan 30 04:58:21 2010	Oklahoma City, OK 73101  	19.4	16	19	0.00	27	NNE 31	5	86	16
Sat Jan 30 04:58:22 2010	Nashville, TN 37201  	26.6	8	25	0.00	30	NE 19	18	100	27
Sat Jan 30 04:58:23 2010	Fort Worth, TX 76101  	29.3	4	29	0.61	46	NNW 28	25	92	27
Sat Jan 30 04:58:25 2010	Phoenix, AZ 85001  	58.8	1	51	0.00	67	ENE 12	59	61	45
Sat Jan 30 04:58:26 2010	Portland, OR 97201  	46.0	3	45	0.04	50	E 20	45	78	40
Sat Jan 30 04:58:27 2010	Chicago, IL 60601  	20.1	3	6	0.00	21	NNE 12	20	79	15
Sat Jan 30 04:58:28 2010	San Antonio, TX 78201  	34.3	4	34	0.73	63	W 39	30	71	26
Sat Jan 30 04:58:29 2010	Indianapolis, IN 46201  	16.1	8	11	0.00	20	ENE 18	5	80	11
Sat Jan 30 04:58:30 2010	Boston, MA 02101  	8.9	10	9	0.00	18	WNW 38	-5	34	-15
Sat Jan 30 04:58:32 2010	Jacksonville, FL 32099  	55.9	5	47	0.00	68	E 11	55	85	52
Sat Jan 30 04:58:33 2010	Columbus, OH 43085  	14.2	7	9	N/A	21	SSE 14	4	N/A	--
Sat Jan 30 04:58:35 2010	Dallas, TX 75201  	31.0	7	31	0.63	44	NNW 25	24	89	28
Sat Jan 30 04:58:36 2010	Houston, TX 77001  	36.9	6	37	1.20	64	WNW 30	32	78	31
Sat Jan 30 04:58:37 2010	Seattle, WA 98101  	47.4	2	44	0.00	55	WNW 18	47	87	44
Sat Jan 30 04:58:38 2010	Milwaukee, WI 53201  	13.4	4	-1	0.00	14	NNE 11	7	71	6
Sat Jan 30 04:58:41 2010	Detroit, MI 48201  	14.9	0	6	0.00	21	NW 16	15	66	5
Sat Jan 30 04:58:42 2010	Philadelphia, PA 19019  	20.1	2	16	0.00	23	NW 25	20	53	6
Sat Jan 30 05:41:54 2010	Charlotte, NC 28201  	29.6	1	30	0.00	45	ENE 16	30	100	30
Sat Jan 30 05:41:54 2010	San Jose, CA 95101  	51.8	6	44	0.22	62	SSW 24	50	100	52
Sat Jan 30 05:41:55 2010	San Diego, CA 92101  	57.9	0	50	0.00	64	SW 11	58	85	54
Sat Jan 30 05:41:56 2010	Memphis, TN 37501  	30.0	16	30	0.51	33	E 31	19	88	27
Sat Jan 30 05:41:56 2010	Denver, CO 80214  	32.1	0	22	0.00	48	ENE 9	32	44	13
Sat Jan 30 05:41:57 2010	Los Angeles, CA 90001  	56.4	3	49	0.00	69	WSW 15	56	88	53
Sat Jan 30 05:41:58 2010	El Paso, TX 79901  	42.1	0	31	0.00	49	ENE 16	42	65	31
Sat Jan 30 05:41:58 2010	New York, NY 10001  	17.2	2	15	0.00	25	NNW 24	17	53	3
Sat Jan 30 05:41:59 2010	Las Vegas, NV 89101  	47.3	0	40	0.00	56	NE 12	47	54	32
Sat Jan 30 05:41:59 2010	Baltimore, MD 21201  	19.7	1	16	0.00	22	NW 20	20	44	1
Sat Jan 30 05:42:00 2010	Washington, DC 20001  	20.4	11	17	0.00	25	NNW 24	9	51	5
Sat Jan 30 05:42:01 2010	Austin, TX 73301  	36.0	12	36	1.06	64	NNW 31	28	65	25
Sat Jan 30 05:42:01 2010	San Francisco, CA 94101  	50.6	4	49	0.17	57	SSW 16	49	N/A	--
Sat Jan 30 05:42:02 2010	Oklahoma City, OK 73101  	19.4	16	19	0.00	27	NNE 31	5	86	16
Sat Jan 30 05:42:03 2010	Nashville, TN 37201  	26.6	8	25	0.00	30	NE 19	18	100	27
Sat Jan 30 05:42:04 2010	Phoenix, AZ 85001  	58.8	1	51	0.00	67	ENE 12	59	61	45
Sat Jan 30 05:42:04 2010	Fort Worth, TX 76101  	29.3	4	29	0.61	46	NNW 28	25	92	27
Sat Jan 30 05:42:05 2010	Portland, OR 97201  	46.0	3	45	0.04	50	E 20	45	78	40
Sat Jan 30 05:42:13 2010	Chicago, IL 60601  	20.8	4	6	0.00	21	NNE 12	15	72	13
Sat Jan 30 05:42:14 2010	Indianapolis, IN 46201  	16.1	8	11	0.00	20	ENE 18	5	80	11
Sat Jan 30 05:42:14 2010	San Antonio, TX 78201  	34.3	4	34	0.73	63	W 39	30	71	26
Sat Jan 30 05:42:15 2010	Boston, MA 02101  	8.9	10	9	0.00	18	WNW 38	-5	34	-15
Sat Jan 30 05:42:16 2010	Jacksonville, FL 32099  	55.9	5	47	0.00	68	E 11	55	85	52
Sat Jan 30 05:42:16 2010	Columbus, OH 43085  	14.2	7	9	N/A	21	SSE 14	4	N/A	--
Sat Jan 30 05:42:18 2010	Dallas, TX 75201  	31.0	7	31	0.63	44	NNW 25	24	89	28
Sat Jan 30 05:42:18 2010	Houston, TX 77001  	36.9	6	37	1.20	64	WNW 30	32	78	31
Sat Jan 30 05:42:19 2010	Seattle, WA 98101  	47.4	2	44	0.00	55	WNW 18	47	87	44
Sat Jan 30 05:42:20 2010	Milwaukee, WI 53201  	13.4	4	-1	0.00	14	NNE 11	7	71	6
Sat Jan 30 05:42:20 2010	Detroit, MI 48201  	14.9	0	6	0.00	21	NW 16	15	66	5
Sat Jan 30 05:42:21 2010	Philadelphia, PA 19019  	20.1	2	16	0.00	23	NW 25	20	53	6
Sat Jan 30 06:26:47 2010	San Jose, CA 95101  	52.0	7	44	0.25	62	SSW 24	50	97	51
Sat Jan 30 06:26:48 2010	Charlotte, NC 28201  	29.6	5	29	0.00	30	ENE 9	25	100	30
Sat Jan 30 06:26:50 2010	San Diego, CA 92101  	55.7	0	50	0.00	64	SW 11	56	87	52
Sat Jan 30 06:26:52 2010	Denver, CO 80214  	28.9	0	22	0.00	48	ENE 9	29	53	14
Sat Jan 30 06:26:53 2010	Memphis, TN 37501  	28.9	11	29	0.75	33	E 31	19	91	27
Sat Jan 30 06:26:55 2010	Los Angeles, CA 90001  	54.3	0	49	0.00	69	WSW 15	54	90	52
Sat Jan 30 06:26:56 2010	El Paso, TX 79901  	39.7	0	31	0.00	49	ENE 16	40	75	32
Sat Jan 30 06:26:57 2010	New York, NY 10001  	16.1	4	16	0.00	17	NW 14	9	49	0
Sat Jan 30 06:26:59 2010	Baltimore, MD 21201  	18.9	5	19	0.00	20	NW 12	11	46	1
Sat Jan 30 06:27:03 2010	Las Vegas, NV 89101  	46.2	2	40	0.00	56	NE 12	46	60	33
Sat Jan 30 06:27:06 2010	Washington, DC 20001  	19.7	3	20	0.00	21	NNW 17	20	52	5
Sat Jan 30 06:27:09 2010	Austin, TX 73301  	33.1	14	33	1.00	64	NNW 31	23	73	25
Sat Jan 30 06:27:12 2010	San Francisco, CA 94101  	51.7	1	49	0.21	57	SSW 16	52	N/A	--
Sat Jan 30 06:27:15 2010	Oklahoma City, OK 73101  	19.0	18	19	0.00	27	NNE 31	4	83	15
Sat Jan 30 06:27:17 2010	Nashville, TN 37201  	26.4	7	25	0.00	30	NE 19	19	100	26
Sat Jan 30 06:27:19 2010	Fort Worth, TX 76101  	28.8	7	29	0.61	46	NNW 28	22	93	27
Sat Jan 30 06:27:22 2010	Phoenix, AZ 85001  	56.6	1	51	0.00	67	ENE 12	57	66	46
Sat Jan 30 06:27:27 2010	Portland, OR 97201  	45.5	3	45	0.04	50	E 20	45	79	39
Sat Jan 30 06:27:28 2010	Chicago, IL 60601  	20.8	4	6	0.00	21	NNE 12	15	72	13
Sat Jan 30 06:27:32 2010	San Antonio, TX 78201  	32.6	8	33	0.73	63	W 39	25	72	25
Sat Jan 30 06:27:34 2010	Indianapolis, IN 46201  	15.7	9	15	0.00	16	ENE 17	4	77	10
Sat Jan 30 06:27:36 2010	Boston, MA 02101  	6.7	9	7	0.00	8	WNW 25	-7	37	-15
Sat Jan 30 06:27:40 2010	Jacksonville, FL 32099  	57.9	6	47	0.00	68	E 11	57	86	54
Sat Jan 30 06:27:42 2010	Columbus, OH 43085  	14.2	10	14	N/A	14	SSE 14	2	N/A	--
Sat Jan 30 06:27:44 2010	Dallas, TX 75201  	30.6	3	30	0.63	44	NNW 25	31	86	27
Sat Jan 30 06:27:47 2010	Houston, TX 77001  	35.8	12	36	1.20	64	WNW 30	28	80	30
Sat Jan 30 06:27:49 2010	Seattle, WA 98101  	48.4	0	44	0.00	55	WNW 18	48	82	43
Sat Jan 30 06:27:53 2010	Milwaukee, WI 53201  	11.9	5	-1	0.00	14	NNE 11	3	70	4
Sat Jan 30 06:27:56 2010	Detroit, MI 48201  	14.3	0	14	0.00	14	NE 7	14	65	5
Sat Jan 30 06:27:59 2010	Philadelphia, PA 19019  	19.5	3	19	0.00	20	N 12	15	48	2
Sat Jan 30 07:11:17 2010	Charlotte, NC 28201  	29.6	5	29	0.00	30	ENE 9	25	100	30
Sat Jan 30 07:11:17 2010	San Jose, CA 95101  	52.0	7	44	0.25	62	SSW 24	50	97	51
Sat Jan 30 07:11:18 2010	San Diego, CA 92101  	55.7	0	50	0.00	64	SW 11	56	87	52
Sat Jan 30 07:11:19 2010	Memphis, TN 37501  	28.9	11	29	0.75	33	E 31	19	91	27
Sat Jan 30 07:11:19 2010	Denver, CO 80214  	28.9	0	22	0.00	48	ENE 9	29	53	14
Sat Jan 30 07:11:20 2010	El Paso, TX 79901  	39.7	0	31	0.00	49	ENE 16	40	75	32
Sat Jan 30 07:11:20 2010	Los Angeles, CA 90001  	54.3	0	49	0.00	69	WSW 15	54	90	52
Sat Jan 30 07:11:21 2010	New York, NY 10001  	16.1	4	16	0.00	17	NW 14	9	49	0
Sat Jan 30 07:11:22 2010	Las Vegas, NV 89101  	46.2	2	40	0.00	56	NE 12	46	60	33
Sat Jan 30 07:11:22 2010	Baltimore, MD 21201  	18.9	5	19	0.00	20	NW 12	11	46	1
Sat Jan 30 07:11:23 2010	Washington, DC 20001  	19.7	3	20	0.00	21	NNW 17	20	52	5
Sat Jan 30 07:11:23 2010	Austin, TX 73301  	33.1	14	33	1.00	64	NNW 31	23	73	25
Sat Jan 30 07:11:24 2010	San Francisco, CA 94101  	51.7	1	49	0.21	57	SSW 16	52	N/A	--
Sat Jan 30 07:11:25 2010	Nashville, TN 37201  	26.4	7	25	0.00	30	NE 19	19	100	26
Sat Jan 30 07:11:25 2010	Oklahoma City, OK 73101  	19.0	18	19	0.00	27	NNE 31	4	83	15
Sat Jan 30 07:11:26 2010	Fort Worth, TX 76101  	28.8	7	29	0.61	46	NNW 28	22	93	27
Sat Jan 30 07:11:27 2010	Portland, OR 97201  	45.5	3	45	0.04	50	E 20	45	79	39
Sat Jan 30 07:11:27 2010	Phoenix, AZ 85001  	56.6	1	51	0.00	67	ENE 12	57	66	46
Sat Jan 30 07:11:28 2010	Chicago, IL 60601  	20.6	1	20	0.00	21	W 4	21	71	12
Sat Jan 30 07:11:29 2010	San Antonio, TX 78201  	32.6	8	33	0.73	63	W 39	25	72	25
Sat Jan 30 07:11:30 2010	Indianapolis, IN 46201  	15.7	9	15	0.00	16	ENE 17	4	77	10
Sat Jan 30 07:11:30 2010	Boston, MA 02101  	6.7	9	7	0.00	8	WNW 25	-7	37	-15
Sat Jan 30 07:11:31 2010	Jacksonville, FL 32099  	57.9	6	47	0.00	68	E 11	57	86	54
Sat Jan 30 07:11:31 2010	Columbus, OH 43085  	14.2	10	14	N/A	14	SSE 14	2	N/A	--
Sat Jan 30 07:11:32 2010	Dallas, TX 75201  	30.6	3	30	0.63	44	NNW 25	31	86	27
Sat Jan 30 07:11:33 2010	Seattle, WA 98101  	48.4	0	44	0.00	55	WNW 18	48	82	43
Sat Jan 30 07:11:33 2010	Houston, TX 77001  	35.8	12	36	1.20	64	WNW 30	28	80	30
Sat Jan 30 07:11:34 2010	Milwaukee, WI 53201  	11.9	5	-1	0.00	14	NNE 11	3	70	4
Sat Jan 30 07:11:35 2010	Philadelphia, PA 19019  	19.5	3	19	0.00	20	N 12	15	48	2
Sat Jan 30 07:11:35 2010	Detroit, MI 48201  	14.3	0	14	0.00	14	NE 7	14	65	5
Sat Jan 30 07:54:04 2010	San Jose, CA 95101  	52.1	1	45	0.23	64	SSE 16	52	97	51
Sat Jan 30 07:54:06 2010	Charlotte, NC 28201  	28.4	7	28	0.00	30	ENE 14	21	100	28
Sat Jan 30 07:54:07 2010	San Diego, CA 92101  	53.7	0	50	0.00	64	SW 11	54	92	51
Sat Jan 30 07:54:08 2010	Denver, CO 80214  	27.5	0	22	0.00	48	ENE 9	27	54	13
Sat Jan 30 07:54:09 2010	Memphis, TN 37501  	28.4	12	28	0.00	28	NNE 12	18	86	25
Sat Jan 30 07:54:11 2010	Los Angeles, CA 90001  	53.2	0	49	0.00	69	WSW 15	53	92	51
Sat Jan 30 07:54:12 2010	El Paso, TX 79901  	37.3	0	31	0.00	49	ENE 16	37	82	32
Sat Jan 30 07:54:13 2010	New York, NY 10001  	15.3	10	15	0.00	17	NNW 18	3	52	0
Sat Jan 30 07:54:15 2010	Baltimore, MD 21201  	18.7	4	18	0.00	20	NNW 13	12	46	1
Sat Jan 30 07:54:16 2010	Las Vegas, NV 89101  	43.7	0	40	0.00	56	NE 12	44	70	35
Sat Jan 30 07:54:17 2010	Washington, DC 20001  	19.8	9	19	0.00	21	NNW 17	9	55	6
Sat Jan 30 07:54:19 2010	Austin, TX 73301  	28.4	13	28	0.00	29	NW 22	18	79	23
Sat Jan 30 07:54:20 2010	San Francisco, CA 94101  	51.4	2	49	0.21	57	SSW 16	51	N/A	--
Sat Jan 30 07:54:21 2010	Oklahoma City, OK 73101  	25.6	0	25	0.00	26	NNE 0	26	5	-38
Sat Jan 30 07:54:22 2010	Nashville, TN 37201  	26.1	7	26	0.00	26	NNE 16	18	100	26
Sat Jan 30 07:54:23 2010	Fort Worth, TX 76101  	28.5	3	28	0.00	29	NNW 25	25	90	26
Sat Jan 30 07:54:26 2010	Phoenix, AZ 85001  	54.0	1	51	0.00	67	ENE 12	54	67	44
Sat Jan 30 07:54:27 2010	Portland, OR 97201  	45.1	0	45	0.04	50	E 20	45	78	39
Sat Jan 30 07:54:28 2010	Chicago, IL 60601  	20.6	1	20	0.00	21	W 4	21	71	12
Sat Jan 30 07:54:29 2010	San Antonio, TX 78201  	30.9	6	31	0.00	32	NW 18	25	73	23
Sat Jan 30 07:54:32 2010	Indianapolis, IN 46201  	15.3	8	15	0.00	16	ENE 17	4	76	9
Sat Jan 30 07:54:33 2010	Boston, MA 02101  	5.4	7	5	0.00	8	WNW 28	-7	43	-13
Sat Jan 30 07:54:35 2010	Jacksonville, FL 32099  	55.4	0	55	0.00	55	NNE 3	55	88	52
Sat Jan 30 07:54:36 2010	Columbus, OH 43085  	14.3	7	14	N/A	14	ESE 16	4	N/A	--
Sat Jan 30 07:54:37 2010	Dallas, TX 75201  	29.6	14	29	0.00	31	WNW 18	19	89	27
Sat Jan 30 07:54:39 2010	Houston, TX 77001  	34.5	16	34	0.00	36	NW 20	24	82	30
Sat Jan 30 07:54:40 2010	Seattle, WA 98101  	48.9	2	44	0.01	55	WNW 18	49	80	43
Sat Jan 30 07:54:42 2010	Milwaukee, WI 53201  	11.2	5	11	0.00	12	NNE 12	2	79	6
Sat Jan 30 07:54:43 2010	Detroit, MI 48201  	14.3	0	13	0.00	15	NE 7	14	62	3
Sat Jan 30 07:54:44 2010	Philadelphia, PA 19019  	18.3	11	18	0.00	20	NNW 18	6	49	2
Sat Jan 30 08:37:18 2010	San Jose, CA 95101  	52.1	1	45	0.23	64	SSE 16	52	97	51
Sat Jan 30 08:37:19 2010	Charlotte, NC 28201  	28.4	7	28	0.00	30	ENE 14	21	100	28
Sat Jan 30 08:37:19 2010	San Diego, CA 92101  	53.7	0	50	0.00	64	SW 11	54	92	51
Sat Jan 30 08:37:20 2010	Denver, CO 80214  	27.5	0	22	0.00	48	ENE 9	27	54	13
Sat Jan 30 08:37:21 2010	Memphis, TN 37501  	28.4	12	28	0.00	28	NNE 12	18	86	25
Sat Jan 30 08:37:22 2010	Los Angeles, CA 90001  	53.2	0	49	0.00	69	WSW 15	53	92	51
Sat Jan 30 08:37:23 2010	El Paso, TX 79901  	37.3	0	31	0.00	49	ENE 16	37	82	32
Sat Jan 30 08:37:24 2010	Baltimore, MD 21201  	18.7	4	18	0.00	20	NNW 13	12	46	1
Sat Jan 30 08:37:24 2010	New York, NY 10001  	15.3	10	15	0.00	17	NNW 18	3	52	0
Sat Jan 30 08:37:25 2010	Las Vegas, NV 89101  	43.7	0	40	0.00	56	NE 12	44	70	35
Sat Jan 30 08:37:26 2010	Washington, DC 20001  	19.8	9	19	0.00	21	NNW 17	9	55	6
Sat Jan 30 08:37:27 2010	Austin, TX 73301  	28.4	13	28	0.00	29	NW 22	18	79	23
Sat Jan 30 08:37:27 2010	San Francisco, CA 94101  	51.4	2	49	0.21	57	SSW 16	51	N/A	--
Sat Jan 30 08:37:28 2010	Oklahoma City, OK 73101  	25.6	0	25	0.00	26	NNE 0	26	5	-38
Sat Jan 30 08:37:29 2010	Nashville, TN 37201  	26.1	7	26	0.00	26	NNE 16	18	100	26
Sat Jan 30 08:37:29 2010	Fort Worth, TX 76101  	28.5	3	28	0.00	29	NNW 25	25	90	26
Sat Jan 30 08:37:30 2010	Portland, OR 97201  	45.1	0	45	0.04	50	E 20	45	78	39
Sat Jan 30 08:37:30 2010	Phoenix, AZ 85001  	54.0	1	51	0.00	67	ENE 12	54	67	44
Sat Jan 30 08:37:32 2010	Chicago, IL 60601  	19.9	1	20	0.00	21	W 8	20	68	11
Sat Jan 30 08:37:33 2010	San Antonio, TX 78201  	30.9	6	31	0.00	32	NW 18	25	73	23
Sat Jan 30 08:37:34 2010	Indianapolis, IN 46201  	15.3	8	15	0.00	16	ENE 17	4	76	9
Sat Jan 30 08:37:34 2010	Boston, MA 02101  	5.4	7	5	0.00	8	WNW 28	-7	43	-13
Sat Jan 30 08:37:35 2010	Jacksonville, FL 32099  	55.4	0	55	0.00	55	NNE 3	55	88	52
Sat Jan 30 08:37:36 2010	Columbus, OH 43085  	14.3	7	14	N/A	14	ESE 16	4	N/A	--
Sat Jan 30 08:37:37 2010	Houston, TX 77001  	34.5	16	34	0.00	36	NW 20	24	82	30
Sat Jan 30 08:37:37 2010	Dallas, TX 75201  	29.6	14	29	0.00	31	WNW 18	19	89	27
Sat Jan 30 08:37:38 2010	Seattle, WA 98101  	48.9	2	44	0.01	55	WNW 18	49	80	43
Sat Jan 30 08:37:39 2010	Milwaukee, WI 53201  	11.2	5	11	0.00	12	NNE 12	2	79	6
Sat Jan 30 08:37:40 2010	Detroit, MI 48201  	14.3	0	13	0.00	15	NE 7	14	62	3
Sat Jan 30 08:37:40 2010	Philadelphia, PA 19019  	18.3	11	18	0.00	20	NNW 18	6	49	2
Sat Jan 30 11:22:37 2010	San Jose, CA 95101  	48.9	0	49	0.00	50	NNE 0	49	99	49
Sat Jan 30 11:22:40 2010	Charlotte, NC 28201  	26.3	5	26	0.00	30	E 18	20	100	26
Sat Jan 30 11:22:45 2010	San Diego, CA 92101  	51.0	2	51	0.00	54	NE 3	51	100	51
Sat Jan 30 11:22:47 2010	Denver, CO 80214  	23.0	0	23	0.00	28	WNW 2	23	70	14
Sat Jan 30 11:22:50 2010	Memphis, TN 37501  	25.0	12	25	0.00	28	NNE 22	14	85	21
Sat Jan 30 11:22:55 2010	Los Angeles, CA 90001  	52.6	0	52	0.00	53	NNE 2	53	94	51
Sat Jan 30 11:22:58 2010	El Paso, TX 79901  	34.7	1	35	0.00	37	NW 5	35	90	32
Sat Jan 30 11:23:00 2010	New York, NY 10001  	14.9	0	15	0.00	17	NNW 18	15	52	0
Sat Jan 30 11:23:04 2010	Baltimore, MD 21201  	18.4	8	17	0.00	20	NNE 15	9	49	2
Sat Jan 30 11:23:06 2010	Las Vegas, NV 89101  	40.1	1	40	0.00	44	NNW 1	40	82	35
Sat Jan 30 11:23:09 2010	Washington, DC 20001  	19.8	2	19	0.00	21	N 18	20	56	6
Sat Jan 30 11:23:12 2010	Austin, TX 73301  	32.0	10	31	0.00	32	NNE 22	24	72	24
Sat Jan 30 11:23:14 2010	San Francisco, CA 94101  	50.0	1	50	0.01	51	SW 6	50	N/A	--
Sat Jan 30 11:23:17 2010	Oklahoma City, OK 73101  	27.0	0	25	0.00	27	NNE 0	27	5	-37
Sat Jan 30 11:23:19 2010	Nashville, TN 37201  	25.0	11	25	0.00	27	NNE 16	15	100	25
Sat Jan 30 11:23:21 2010	Fort Worth, TX 76101  	25.7	10	25	0.00	29	SW 30	16	93	24
Sat Jan 30 11:23:24 2010	Phoenix, AZ 85001  	51.6	2	52	0.00	55	ESE 5	52	72	43
Sat Jan 30 11:23:27 2010	Portland, OR 97201  	42.9	0	43	0.01	45	SSE 9	43	91	40
Sat Jan 30 11:23:29 2010	Chicago, IL 60601  	19.6	2	19	0.00	21	ENE 12	20	69	11
Sat Jan 30 11:23:32 2010	San Antonio, TX 78201  	29.7	2	29	0.00	32	NW 19	30	79	24
Sat Jan 30 11:23:34 2010	Indianapolis, IN 46201  	15.6	2	15	0.00	16	ENE 20	16	77	9
Sat Jan 30 11:23:37 2010	Boston, MA 02101  	4.2	4	4	0.00	8	NNW 26	-4	51	-10
Sat Jan 30 11:23:40 2010	Jacksonville, FL 32099  	57.9	0	57	0.00	58	NNE 9	58	92	56
Sat Jan 30 11:23:43 2010	Columbus, OH 43085  	15.2	12	14	N/A	15	SSE 17	2	N/A	--
Sat Jan 30 11:23:45 2010	Dallas, TX 75201  	27.7	7	27	0.00	31	NW 24	20	87	24
Sat Jan 30 11:23:47 2010	Houston, TX 77001  	31.5	8	31	0.00	36	WNW 21	24	81	26
Sat Jan 30 11:23:52 2010	Seattle, WA 98101  	46.2	0	45	0.03	47	SSW 7	46	87	43
Sat Jan 30 11:23:56 2010	Milwaukee, WI 53201  	16.0	6	11	0.00	16	N 12	7	92	14
Sat Jan 30 11:23:58 2010	Detroit, MI 48201  	11.6	2	12	0.00	15	NNW 7	12	74	5
Sat Jan 30 11:24:01 2010	Philadelphia, PA 19019  	16.6	10	17	0.00	20	NNW 18	5	51	1
Sat Jan 30 12:06:57 2010	San Jose, CA 95101  	48.9	0	49	0.00	50	NNE 0	49	99	49
Sat Jan 30 12:06:59 2010	Charlotte, NC 28201  	27.0	3	26	0.00	30	E 18	27	100	27
Sat Jan 30 12:07:02 2010	San Diego, CA 92101  	51.7	0	51	0.00	54	NE 3	52	100	52
Sat Jan 30 12:07:04 2010	Denver, CO 80214  	22.3	0	22	0.00	28	WNW 2	22	70	14
Sat Jan 30 12:07:07 2010	Memphis, TN 37501  	25.0	12	25	0.00	28	NNE 22	14	85	21
Sat Jan 30 12:07:11 2010	Los Angeles, CA 90001  	51.9	2	52	0.00	53	E 3	52	93	50
Sat Jan 30 12:07:13 2010	El Paso, TX 79901  	33.7	0	34	0.00	37	NW 5	34	94	32
Sat Jan 30 12:07:15 2010	New York, NY 10001  	14.1	2	14	0.00	17	NNW 18	14	49	-2
Sat Jan 30 12:07:17 2010	Baltimore, MD 21201  	18.4	2	17	0.00	20	NNE 15	18	49	2
Sat Jan 30 12:07:19 2010	Las Vegas, NV 89101  	40.4	0	40	0.00	44	NNW 2	40	79	34
Sat Jan 30 12:07:22 2010	Washington, DC 20001  	19.7	5	19	0.00	21	N 18	13	56	6
Sat Jan 30 12:07:25 2010	Austin, TX 73301  	32.0	11	31	0.00	32	NNE 22	23	72	24
Sat Jan 30 12:07:27 2010	San Francisco, CA 94101  	49.3	2	49	0.01	51	SW 6	49	N/A	--
Sat Jan 30 12:07:29 2010	Oklahoma City, OK 73101  	26.9	0	25	0.00	27	NNE 0	27	5	-37
Sat Jan 30 12:07:31 2010	Nashville, TN 37201  	23.7	5	24	0.00	27	NNE 17	18	100	24
Sat Jan 30 12:07:33 2010	Fort Worth, TX 76101  	25.1	5	25	0.00	29	SW 30	19	91	23
Sat Jan 30 12:07:35 2010	Phoenix, AZ 85001  	51.6	2	52	0.00	55	SE 5	52	71	43
