3	www.weatherforyou.com										
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Humidity (%)	Wind	(Wind Speed) (MPH)	Wind Gusts (MPH)	Barometer (in.)	Dewpoint (°F)	Wind Chill (°F)	Visibility (SM/Miles)
Mon Feb  1 05:20:42 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 33 0 	62	Calm		 	30.15	21		
Mon Feb  1 05:20:43 2010	Memphis, Tennessee, United States (37501)	 Mostly Cloudy	 30 -1 	80	ENE	6		30.30	25	25	9
Mon Feb  1 05:20:44 2010	Los Angeles, California, United States (90001)	 Clear	 57 14 	72	Calm		 	29.94	48		10
Mon Feb  1 05:20:45 2010	El Paso, Texas, United States (79901)	 Partly Cloudy	 50 10 	58	Calm		 	29.94	36		10
Mon Feb  1 05:20:46 2010	New York, New York, United States (10001)	 Clear	 27 -3 	36	SW	8	17	30.12	3	19	10
Mon Feb  1 05:20:47 2010	Baltimore, Maryland, United States (21201)	 Clear	 18 -8 	68	SSW	3		30.21	9	13	10
Mon Feb  1 05:20:49 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 46 8 	65	Calm		 	29.98	35		
Mon Feb  1 05:20:50 2010	Washington, D.C., United States (20001)	 Partly Cloudy	 25 -4 	54	Calm		 	30.24	10		10
Mon Feb  1 05:20:51 2010	Austin, Texas, United States (73301)	 Overcast	 33 1 	82	Calm		 	30.17	28	31	
Mon Feb  1 05:20:52 2010	San Francisco, California, United States (94101)	 Overcast	 54 12 	88	Calm		 	29.97	50		10
Mon Feb  1 05:20:53 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 33 0 	89	Calm		 	30.20	30		
Mon Feb  1 05:20:54 2010	Nashville, Tennessee, United States (37201)	 Partly Cloudy	 27 -3 	86	Calm		 	30.33	23		7
Mon Feb  1 05:20:55 2010	Fort Worth, Texas, United States (76101)	 Clear	 30 -1 	86	Calm		 	30.24	27		7
Mon Feb  1 05:20:56 2010	Phoenix, Arizona, United States (85001)	 Clear	 53 12 	62	Calm		 	29.91	41		
Mon Feb  1 05:20:57 2010	Portland, Oregon, United States (97201)	 Partly Cloudy	 46 8 	78	Calm		 	29.93	40	44	
Mon Feb  1 05:20:59 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 21 -6 	58	NW	6		30.30	9	15	10
Mon Feb  1 05:21:00 2010	San Antonio, Texas, United States (78201)	 Overcast	 37 3 	74	ENE	2	6	30.07	30	33	
Mon Feb  1 05:21:01 2010	Indianapolis, Indiana, United States (46201)	 Partly Cloudy	 20 -7 	66	Calm		 	30.31	10	17	
Mon Feb  1 05:21:02 2010	Boston, Massachusetts, United States (02101)	 Overcast	 25 -4 	42	SSW	12	22	30.03	5	15	10
Mon Feb  1 05:21:03 2010	Jacksonville, Florida, United States (32099)	 Bkh	43 6 	82	Calm		 	30.18	38		
Mon Feb  1 05:21:04 2010	Columbus, Ohio, United States (43085)	 Clear	 25 -4 	63	NW	5		30.27	14	20	10
Mon Feb  1 05:21:05 2010	Dallas, Texas, United States (75201)	 Clear	 32 0 	88	Calm		 	30.19	29		
Mon Feb  1 05:21:06 2010	Houston, Texas, United States (77001)	 Partly Cloudy	 38 3 	84	Calm		 	30.14	34		
Mon Feb  1 05:21:08 2010	Seattle, Washington, United States (98101)	 Overcast	 48 9 	82	Calm		 	29.97	43		10
Mon Feb  1 05:21:09 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 18 -8 	58	NW	8		30.30	5	8	10
Mon Feb  1 05:21:10 2010	Detroit, Michigan, United States (48201)	 Clear	 21 -6 	58	WNW	9		30.24	9	12	10
Mon Feb  1 05:21:11 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 23 -5 	58	SW	8		30.18	10	15	10
Mon Feb  1 06:05:30 2010	San Jose, California, United States (95101)	 Partly Cloudy	 51 10 	76	Calm		 	29.95	43		
Mon Feb  1 06:05:31 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 27 -3 	82	Calm		 	30.29	22		
Mon Feb  1 06:05:32 2010	San Diego, California, United States (92101)	 Partly Cloudy	 53 12 	89	Calm		 	30.16	50		
Mon Feb  1 06:05:34 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 30 -1 	65	Calm		 	30.14	20		
Mon Feb  1 06:05:35 2010	Memphis, Tennessee, United States (37501)	 Mostly Cloudy	 30 -1 	80	ENE	6		30.30	25	25	9
Mon Feb  1 06:05:36 2010	Los Angeles, California, United States (90001)	 Clear	 55 13 	77	Calm		 	29.94	48		10
Mon Feb  1 06:05:37 2010	El Paso, Texas, United States (79901)	 Partly Cloudy	 48 9 	62	SSW	5		29.97	36	47	10
Mon Feb  1 06:05:38 2010	New York, New York, United States (10001)	 Partly Cloudy	 27 -3 	36	SSW	8		30.12	3	19	10
Mon Feb  1 06:05:40 2010	Baltimore, Maryland, United States (21201)	 Clear	 18 -8 	68	SSW	3		30.21	9	13	10
Mon Feb  1 06:05:41 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 46 8 	64	Calm		 	30.00	34		
Mon Feb  1 06:05:42 2010	Washington, D.C., United States (20001)	 Partly Cloudy	 25 -4 	54	Calm		 	30.24	10		10
Mon Feb  1 06:05:43 2010	Austin, Texas, United States (73301)	 Overcast	 34 1 	82	Calm		 	30.17	28	31	
Mon Feb  1 06:05:44 2010	San Francisco, California, United States (94101)	 Overcast	 54 12 	88	Calm		 	29.97	50		10
Mon Feb  1 06:05:46 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 33 1 	89	Calm		 	30.20	30		
Mon Feb  1 06:05:47 2010	Nashville, Tennessee, United States (37201)	 Mist	 25 -4 	86	Calm		 	30.33	21		5
Mon Feb  1 06:05:48 2010	Fort Worth, Texas, United States (76101)	 Clear	 32 0 	80	Calm		 	30.24	27		7
Mon Feb  1 06:05:49 2010	Phoenix, Arizona, United States (85001)	 Clear	 52 11 	66	Calm		 	29.91	41		
Mon Feb  1 06:05:50 2010	Portland, Oregon, United States (97201)	 Partly Cloudy	 45 7 	79	Calm		 	29.92	39	44	
Mon Feb  1 06:05:51 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 19 -7 	63	NW	6		30.30	9	12	10
Mon Feb  1 06:05:53 2010	San Antonio, Texas, United States (78201)	 Overcast	 38 3 	75	ENE	1	3	30.08	31	33	
Mon Feb  1 06:05:54 2010	Indianapolis, Indiana, United States (46201)	 Partly Cloudy	 19 -7 	70	Calm		 	30.31	11	17	
Mon Feb  1 06:05:55 2010	Boston, Massachusetts, United States (02101)	 Overcast	 25 -4 	42	SSW	12	22	30.03	5	15	10
Mon Feb  1 06:05:56 2010	Jacksonville, Florida, United States (32099)	 Bkh	42 6 	84	Calm		 	30.17	38		
Mon Feb  1 06:05:57 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 23 -5 	68	WNW	5		30.27	14	18	10
Mon Feb  1 06:05:58 2010	Dallas, Texas, United States (75201)	 Clear	 32 0 	88	Calm		 	30.19	29		
Mon Feb  1 06:05:59 2010	Houston, Texas, United States (77001)	 Clear	 38 3 	85	Calm		 	30.17	34		
Mon Feb  1 06:06:01 2010	Seattle, Washington, United States (98101)	 Overcast	 48 9 	82	Calm		 	29.97	43		10
Mon Feb  1 06:06:02 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 16 -9 	57	NW	7		30.30	3	7	10
Mon Feb  1 06:06:03 2010	Detroit, Michigan, United States (48201)	 Clear	 19 -7 	63	NW	6		30.24	9	12	10
Mon Feb  1 06:06:04 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 23 -5 	58	SW	8		30.18	10	15	10
Mon Feb  1 06:48:41 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 50 10 	76	Calm		 	29.95	43		
Mon Feb  1 06:48:42 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 27 -3 	81	Calm		 	30.29	22		
Mon Feb  1 06:48:43 2010	San Diego, California, United States (92101)	 Partly Cloudy	 53 11 	89	Calm		 	30.15	49		
Mon Feb  1 06:48:44 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 30 -1 	66	NE	4		30.14	20	26	
Mon Feb  1 06:48:46 2010	Memphis, Tennessee, United States (37501)	 Mostly Cloudy	 30 -1 	75	ENE	6		30.30	23	25	10
Mon Feb  1 06:48:47 2010	Los Angeles, California, United States (90001)	 Clear	 55 13 	77	Calm		 	29.94	48		10
Mon Feb  1 06:48:48 2010	El Paso, Texas, United States (79901)	 Partly Cloudy	 48 9 	62	SSW	5		29.97	36	47	10
Mon Feb  1 06:48:49 2010	New York, New York, United States (10001)	 Partly Cloudy	 27 -3 	36	SSW	8		30.12	3	19	10
Mon Feb  1 06:48:50 2010	Baltimore, Maryland, United States (21201)	 Clear	 19 -7 	58	W	3		30.21	7	15	10
Mon Feb  1 06:48:51 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 43 6 	72	Calm		 	30.00	35		
Mon Feb  1 06:48:53 2010	Washington, D.C., United States (20001)	 Partly Cloudy	 25 -4 	54	Calm		 	30.24	10		10
Mon Feb  1 06:48:54 2010	Austin, Texas, United States (73301)	 Overcast	 34 1 	81	Calm		 	30.17	28	31	
Mon Feb  1 06:48:55 2010	San Francisco, California, United States (94101)	 Overcast	 52 11 	88	SW	5		29.97	48	51	10
Mon Feb  1 06:48:56 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 34 1 	90	Calm		 	30.20	31		
Mon Feb  1 06:48:57 2010	Nashville, Tennessee, United States (37201)	 Mist	 25 -4 	86	Calm		 	30.33	21		5
Mon Feb  1 06:48:59 2010	Fort Worth, Texas, United States (76101)	 Clear	 32 0 	80	Calm		 	30.24	27		7
Mon Feb  1 06:49:00 2010	Phoenix, Arizona, United States (85001)	 Clear	 51 11 	69	Calm		 	29.91	41		
Mon Feb  1 06:49:01 2010	Portland, Oregon, United States (97201)	 Partly Cloudy	 44 7 	79	Calm		 	29.92	38	40	
Mon Feb  1 06:49:02 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 19 -7 	63	NW	6		30.30	9	12	10
Mon Feb  1 06:49:03 2010	San Antonio, Texas, United States (78201)	 Hazy	 39 4 	75	NE	4		30.07	31	35	
Mon Feb  1 06:49:04 2010	Indianapolis, Indiana, United States (46201)	 Partly Cloudy	 19 -7 	69	Calm		 	30.32	10		
Mon Feb  1 06:49:06 2010	Boston, Massachusetts, United States (02101)	 Overcast	 25 -4 	39	SSW	15	24	30.03	3	13	10
Mon Feb  1 06:49:07 2010	Jacksonville, Florida, United States (32099)	 Bkh	42 6 	84	Calm		 	30.17	38		
Mon Feb  1 06:49:08 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 23 -5 	68	WNW	5		30.27	14	18	10
Mon Feb  1 06:49:09 2010	Dallas, Texas, United States (75201)	 Clear	 31 0 	89	Calm		 	30.19	28		
Mon Feb  1 06:49:10 2010	Houston, Texas, United States (77001)	 Partly Cloudy	 38 3 	85	Calm		 	30.16	34		
Mon Feb  1 06:49:11 2010	Seattle, Washington, United States (98101)	 Overcast	 48 9 	82	Calm		 	29.97	43		10
Mon Feb  1 06:49:12 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 16 -9 	57	NW	7		30.30	3	7	10
Mon Feb  1 06:49:13 2010	Detroit, Michigan, United States (48201)	 Clear	 19 -7 	63	NW	6		30.24	9	12	10
Mon Feb  1 06:49:14 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 23 -5 	63	SW	8		30.18	12	15	10
Mon Feb  1 07:32:29 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 49 9 	77	Calm		 	29.95	42		
Mon Feb  1 07:32:30 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 26 -4 	81	Calm		 	30.30	21		
Mon Feb  1 07:32:31 2010	San Diego, California, United States (92101)	 Partly Cloudy	 53 12 	90	Calm		 	30.15	50		
Mon Feb  1 07:32:33 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 28 -2 	68	Calm		 	30.14	19	25	
Mon Feb  1 07:32:34 2010	Memphis, Tennessee, United States (37501)	 Mostly Cloudy	 28 -2 	74	E	6		30.30	21	23	10
Mon Feb  1 07:32:35 2010	Los Angeles, California, United States (90001)	 Clear	 55 13 	77	Calm		 	29.94	48		9
Mon Feb  1 07:32:36 2010	El Paso, Texas, United States (79901)	 Partly Cloudy	 48 9 	62	SW	7		29.97	36	46	10
Mon Feb  1 07:32:37 2010	New York, New York, United States (10001)	 Clear	 27 -3 	43	VARIABLE	6		30.12	7	21	10
Mon Feb  1 07:32:38 2010	Baltimore, Maryland, United States (21201)	 Clear	 21 -6 	58	SSW	7		30.21	9	13	10
Mon Feb  1 07:32:39 2010	Las Vegas, Nevada, United States (89101)	 Clear	 43 6 	73	WNW	1	2	30.01	35		
Mon Feb  1 07:32:41 2010	Washington, D.C., United States (20001)	 Partly Cloudy	 27 -3 	54	Calm		 	30.24	12		10
Mon Feb  1 07:32:42 2010	Austin, Texas, United States (73301)	 Overcast	 34 1 	82	Calm		 	30.14	28		
Mon Feb  1 07:32:43 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 52 11 	82	Calm		 	29.97	46		10
Mon Feb  1 07:32:44 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 34 1 	90	Calm		 	30.20	31		
Mon Feb  1 07:32:45 2010	Nashville, Tennessee, United States (37201)	 Mist	 23 -5 	93	Calm		 	30.33	21		3
Mon Feb  1 07:32:47 2010	Fort Worth, Texas, United States (76101)	 Hazy	 30 -1 	86	Calm		 	30.21	27		6
Mon Feb  1 07:32:48 2010	Phoenix, Arizona, United States (85001)	 Clear	 51 10 	71	N	1	3	29.91	41		
Mon Feb  1 07:32:49 2010	Portland, Oregon, United States (97201)	 Partly Cloudy	 44 7 	80	Calm		 	29.92	38	37	
Mon Feb  1 07:32:50 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 19 -7 	63	NW	5		30.30	9	14	10
Mon Feb  1 07:32:51 2010	San Antonio, Texas, United States (78201)	 Hazy	 38 4 	76	ENE	7		30.06	32	33	
Mon Feb  1 07:32:52 2010	Indianapolis, Indiana, United States (46201)	 Mostly Cloudy	 19 -7 	69	NW	1	2	30.33	11	18	
Mon Feb  1 07:32:53 2010	Boston, Massachusetts, United States (02101)	 Overcast	 25 -4 	46	SSW	13		30.00	7	14	10
Mon Feb  1 07:32:55 2010	Jacksonville, Florida, United States (32099)	 Bkh	42 5 	86	Calm		 	30.17	38		
Mon Feb  1 07:32:56 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 21 -6 	68	Calm		 	30.30	12		10
Mon Feb  1 07:32:57 2010	Dallas, Texas, United States (75201)	 Clear	 32 0 	90	Calm		 	30.19	29		
Mon Feb  1 07:32:58 2010	Houston, Texas, United States (77001)	 Partly Cloudy	 38 3 	85	Calm		 	30.16	34		
Mon Feb  1 07:32:59 2010	Seattle, Washington, United States (98101)	 Mostly Cloudy	 46 8 	87	Calm		 	29.97	43		10
Mon Feb  1 07:33:00 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 16 -9 	57	NW	9		30.30	3	5	10
Mon Feb  1 07:33:01 2010	Detroit, Michigan, United States (48201)	 Clear	 18 -8 	68	NW	7		30.27	9	9	10
Mon Feb  1 07:33:04 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 21 -6 	58	SSW	7		30.18	9	13	10
Mon Feb  1 08:15:35 2010	San Jose, California, United States (95101)	 Partly Cloudy	 47 8 	79	Calm		 	29.96	41		
Mon Feb  1 08:15:37 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 26 -3 	81	Calm		 	30.30	21		
Mon Feb  1 08:15:38 2010	San Diego, California, United States (92101)	 Partly Cloudy	 53 11 	89	Calm		 	30.15	49		
Mon Feb  1 08:15:39 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 28 -2 	70	NNW	5		30.14	20	22	
Mon Feb  1 08:15:40 2010	Memphis, Tennessee, United States (37501)	 Overcast	 28 -2 	74	E	7		30.27	21	22	10
Mon Feb  1 08:15:41 2010	Los Angeles, California, United States (90001)	 Clear	 55 13 	77	Calm		 	29.94	48		9
Mon Feb  1 08:15:42 2010	El Paso, Texas, United States (79901)	 Partly Cloudy	 46 8 	66	SSW	7		29.94	36	43	10
Mon Feb  1 08:15:43 2010	New York, New York, United States (10001)	 Clear	 27 -3 	39	VARIABLE	7	16	30.15	5	20	10
Mon Feb  1 08:15:45 2010	Baltimore, Maryland, United States (21201)	 Clear	 21 -6 	58	SSW	3		30.24	9	17	10
Mon Feb  1 08:15:46 2010	Las Vegas, Nevada, United States (89101)	 Clear	 42 6 	76	WNW	1	2	30.01	35		
Mon Feb  1 08:15:47 2010	Washington, D.C., United States (20001)	 Clear	 21 -6 	68	SW	7		30.27	12	13	10
Mon Feb  1 08:15:48 2010	Austin, Texas, United States (73301)	 Overcast	 34 1 	86	N	4		30.14	30		
Mon Feb  1 08:15:49 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 52 11 	88	Calm		 	29.97	48		10
Mon Feb  1 08:15:51 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 34 1 	91	Calm		 	30.20	32		
Mon Feb  1 08:15:52 2010	Nashville, Tennessee, United States (37201)	 Mist	 23 -5 	93	Calm		 	30.33	21		2
Mon Feb  1 08:15:53 2010	Fort Worth, Texas, United States (76101)	 Mist	 30 -1 	86	Calm		 	30.21	27		6
Mon Feb  1 08:15:54 2010	Phoenix, Arizona, United States (85001)	 Clear	 50 10 	70	N	1	2	29.91	41		
Mon Feb  1 08:15:55 2010	Portland, Oregon, United States (97201)	 Mostly Cloudy	 44 6 	79	Calm		 	29.91	37	37	
Mon Feb  1 08:15:56 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 18 -8 	68	Calm		 	30.30	9		9
Mon Feb  1 08:15:57 2010	San Antonio, Texas, United States (78201)	 Hazy	 38 4 	76	ENE	4		30.04	32	34	
Mon Feb  1 08:15:59 2010	Indianapolis, Indiana, United States (46201)	 Mostly Cloudy	 19 -7 	70	Calm		 	30.33	11		
Mon Feb  1 08:16:00 2010	Boston, Massachusetts, United States (02101)	 Overcast	 25 -4 	46	SSW	14		30.00	7	14	10
Mon Feb  1 08:16:01 2010	Jacksonville, Florida, United States (32099)	 Bkh	42 5 	87	Calm		 	30.18	38		
Mon Feb  1 08:16:02 2010	Columbus, Ohio, United States (43085)	 Mostly Cloudy	 19 -7 	73	SW	3		30.30	12	15	10
Mon Feb  1 08:16:16 2010	Dallas, Texas, United States (75201)	 Clear	 33 0 	90	Calm		 	30.19	30		
Mon Feb  1 08:16:23 2010	Houston, Texas, United States (77001)	 Partly Cloudy	 38 3 	85	Calm		 	30.14	34		
Mon Feb  1 08:16:25 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	Calm		 	29.97	43		10
Mon Feb  1 08:16:26 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 20 -7 	55	Calm		 	30.26	6	6	
Mon Feb  1 08:16:27 2010	Detroit, Michigan, United States (48201)	 Clear	 18 -8 	68	W	6		30.27	9	10	10
Mon Feb  1 08:16:29 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 23 -5 	54	SSW	12		30.21	9	13	10
Mon Feb  1 08:59:21 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 46 8 	80	Calm		 	29.96	40		
Mon Feb  1 08:59:22 2010	Charlotte, North Carolina, United States (28201)	 Mist	 26 -3 	81	Calm		 	30.31	21		
Mon Feb  1 08:59:23 2010	San Diego, California, United States (92101)	 Partly Cloudy	 52 11 	90	Calm		 	30.15	49		
Mon Feb  1 08:59:25 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 28 -2 	70	Calm		 	30.14	20		
Mon Feb  1 08:59:26 2010	Memphis, Tennessee, United States (37501)	 Mostly Cloudy	 28 -2 	74	E	5		30.27	21	24	10
Mon Feb  1 08:59:27 2010	Los Angeles, California, United States (90001)	 Clear	 55 13 	77	Calm		 	29.97	48		8
Mon Feb  1 08:59:28 2010	El Paso, Texas, United States (79901)	 Partly Cloudy	 46 8 	71	SSE	6		29.94	37	44	10
Mon Feb  1 08:59:30 2010	New York, New York, United States (10001)	 Clear	 25 -4 	46	VARIABLE	7		30.18	7	18	10
Mon Feb  1 08:59:32 2010	Baltimore, Maryland, United States (21201)	 Clear	 14 -10 	73	SSW	7		30.24	7	5	10
Mon Feb  1 08:59:33 2010	Las Vegas, Nevada, United States (89101)	 Clear	 41 5 	80	Calm		 	30.01	35		
Mon Feb  1 08:59:34 2010	Washington, D.C., United States (20001)	 Clear	 23 -5 	63	Calm		 	30.27	12		10
Mon Feb  1 08:59:35 2010	Austin, Texas, United States (73301)	 Overcast	 34 1 	86	Calm		 	30.14	30	30	
Mon Feb  1 08:59:37 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 52 11 	88	Calm		 	29.97	48		10
Mon Feb  1 08:59:38 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 34 1 	91	Calm		 	30.20	32		
Mon Feb  1 08:59:39 2010	Nashville, Tennessee, United States (37201)	 Fog	 21 -6 	100	Calm		 	30.30	21		2-Jan
Mon Feb  1 08:59:40 2010	Fort Worth, Texas, United States (76101)	 Hazy	 30 -1 	86	Calm		 	30.21	27		6
Mon Feb  1 08:59:41 2010	Phoenix, Arizona, United States (85001)	 Clear	 50 10 	69	N	2	3	29.91	40		
Mon Feb  1 08:59:43 2010	Portland, Oregon, United States (97201)	 Partly Cloudy	 43 6 	79	Calm		 	29.91	37	36	
Mon Feb  1 08:59:44 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 18 -8 	68	NW	3		30.30	9	13	9
Mon Feb  1 08:59:45 2010	San Antonio, Texas, United States (78201)	 Mist	 39 4 	77	NE	4		30.03	32	34	
Mon Feb  1 08:59:46 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 19 -7 	70	Calm		 	30.33	11		
Mon Feb  1 08:59:47 2010	Boston, Massachusetts, United States (02101)	 Mostly Cloudy	 25 -4 	46	W	15	22	30.03	7	13	10
Mon Feb  1 08:59:49 2010	Jacksonville, Florida, United States (32099)	 Bkh	42 5 	87	Calm		 	30.18	38		
Mon Feb  1 08:59:50 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 19 -7 	73	Calm		 	30.33	12		10
Mon Feb  1 08:59:51 2010	Dallas, Texas, United States (75201)	 Clear	 33 0 	90	Calm		 	30.19	30		
Mon Feb  1 08:59:52 2010	Houston, Texas, United States (77001)	 Hazy	 38 3 	86	NE	3		30.12	34	36	
Mon Feb  1 08:59:53 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	SSE	3		29.97	43		10
Mon Feb  1 08:59:54 2010	Milwaukee, Wisconsin, United States (53201)	 Clear	 19 -8 	55	W	1		30.27	5	9	
Mon Feb  1 08:59:55 2010	Detroit, Michigan, United States (48201)	 Clear	 18 -8 	68	WNW	5		30.30	9	11	10
Mon Feb  1 08:59:56 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 25 -4 	46	W	12		30.24	7	15	10
Mon Feb  1 09:42:20 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 46 8 	82	Calm		 	29.96	41		
Mon Feb  1 09:42:21 2010	Charlotte, North Carolina, United States (28201)	 Mist	 25 -4 	81	Calm		 	30.31	20		
Mon Feb  1 09:42:22 2010	San Diego, California, United States (92101)	 Partly Cloudy	 52 11 	91	Calm		 	30.15	49		
Mon Feb  1 09:42:23 2010	Denver, Colorado, United States (80214)	 Partly Cloudy	 27 -3 	70	Calm		 	30.14	18	24	
Mon Feb  1 09:42:24 2010	Memphis, Tennessee, United States (37501)	 Mostly Cloudy	 28 -2 	74	E	5		30.27	21	24	10
Mon Feb  1 09:42:26 2010	Los Angeles, California, United States (90001)	 Clear	 55 13 	77	Calm		 	29.97	48		8
Mon Feb  1 09:42:27 2010	El Paso, Texas, United States (79901)	 Partly Cloudy	 46 8 	71	SSE	6		29.94	37	44	10
Mon Feb  1 09:42:28 2010	New York, New York, United States (10001)	 Clear	 25 -4 	46	VARIABLE	7		30.18	7	18	10
Mon Feb  1 09:42:29 2010	Baltimore, Maryland, United States (21201)	 Clear	 14 -10 	73	SSW	7		30.24	7	5	10
Mon Feb  1 09:42:30 2010	Las Vegas, Nevada, United States (89101)	 Clear	 40 4 	82	Calm		 	30.01	35	39	
Mon Feb  1 09:42:31 2010	Washington, D.C., United States (20001)	 Clear	 23 -5 	63	Calm		 	30.27	12		10
Mon Feb  1 09:42:32 2010	Austin, Texas, United States (73301)	 Overcast	 33 1 	88	Calm		 	30.11	30	30	
Mon Feb  1 09:42:34 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 52 11 	82	Calm		 	29.97	46		10
Mon Feb  1 09:42:35 2010	Oklahoma City, Oklahoma, United States (73101)	 Mist	 34 1 	92	Calm		 	30.17	32		
Mon Feb  1 09:42:36 2010	Nashville, Tennessee, United States (37201)	 Fog	 21 -6 	100	Calm		 	30.30	21		2-Jan
Mon Feb  1 09:42:37 2010	Fort Worth, Texas, United States (76101)	 Hazy	 30 -1 	86	Calm		 	30.21	27		6
Mon Feb  1 09:42:38 2010	Phoenix, Arizona, United States (85001)	 Clear	 50 10 	70	Calm		 	29.90	40	49	
Mon Feb  1 09:42:39 2010	Portland, Oregon, United States (97201)	 Partly Cloudy	 42 5 	80	Calm		 	29.91	36	36	
Mon Feb  1 09:42:40 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 18 -8 	68	NW	3		30.30	9	13	9
Mon Feb  1 09:42:42 2010	San Antonio, Texas, United States (78201)	 Mist	 39 4 	77	ENE	1		30.02	33	34	
Mon Feb  1 09:42:43 2010	Indianapolis, Indiana, United States (46201)	 Overcast	 19 -7 	71	Calm		 	30.33	11		
Mon Feb  1 09:42:44 2010	Boston, Massachusetts, United States (02101)	 Mostly Cloudy	 25 -4 	46	W	15	22	30.03	7	13	10
Mon Feb  1 09:42:45 2010	Jacksonville, Florida, United States (32099)	 Bkh	42 5 	88	Calm		 	30.17	38		
Mon Feb  1 09:42:46 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 19 -7 	73	Calm		 	30.33	12		10
Mon Feb  1 09:42:48 2010	Dallas, Texas, United States (75201)	 Partly Cloudy	 32 0 	94	Calm		 	30.19	30		
Mon Feb  1 09:42:49 2010	Houston, Texas, United States (77001)	 Hazy	 38 3 	86	Calm		 	30.11	34		
Mon Feb  1 09:42:50 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	SSE	3		29.97	43		10
Mon Feb  1 09:42:51 2010	Milwaukee, Wisconsin, United States (53201)	 Clear	 18 -8 	56	Calm		 	30.25	5	9	
Mon Feb  1 09:42:52 2010	Detroit, Michigan, United States (48201)	 Clear	 18 -8 	68	WNW	5		30.30	9	11	10
Mon Feb  1 09:42:53 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 25 -4 	46	W	12		30.24	7	15	10
Mon Feb  1 10:25:53 2010	San Jose, California, United States (95101)	 Clear	 46 8 	81	Calm		 	29.96	40		
Mon Feb  1 10:25:54 2010	Charlotte, North Carolina, United States (28201)	 Mist	 26 -4 	80	Calm		 	30.30	20		
Mon Feb  1 10:25:55 2010	San Diego, California, United States (92101)	 Partly Cloudy	 52 11 	91	Calm		 	30.14	49		
Mon Feb  1 10:25:56 2010	Denver, Colorado, United States (80214)	 Mist	 29 -2 	61	SSE	1	5	30.14	17		
Mon Feb  1 10:25:57 2010	Memphis, Tennessee, United States (37501)	 Mostly Cloudy	 27 -3 	80	Calm		 	30.27	21		10
