6	www.washingtonpost.com							
(Timestamp)	(Location)	Condition	Temperature (F C)	RealFeel® (F C)	(Wind Speed) (mph)	Wind	Barometer	Humidity (%)
Mon Feb  1 08:58:56 2010	INDIANAPOLIS, IN	Intermittent Clouds	19 -7	25 -4	0	CLM	30.33	70
Mon Feb  1 08:58:57 2010	BOSTON, MA	Cloudy	25 -4	12-Oct	14	W	30.01	44
Mon Feb  1 08:58:58 2010	JACKSONVILLE, FL	Intermittent Clouds	39 4	37 3	5	N	30.23	93
Mon Feb  1 08:58:59 2010	COLUMBUS, OH	Intermittent Clouds	20 -7	20 -7	3	SSW	30.34	74
Mon Feb  1 08:59:01 2010	DALLAS, TX	Cloudy	31 -1	36 2	0	CLM	30.18	88
Mon Feb  1 08:59:02 2010	HOUSTON, TX	Intermittent Clouds	37 3	41 5	0	CLM	30.23	88
Mon Feb  1 08:59:04 2010	SEATTLE, WA	Cloudy	47 8	44 7	6	ESE	29.99	86
Mon Feb  1 08:59:05 2010	MILWAUKEE, WI	Mostly Clear	14 -10	13-Sep	6	NW	30.34	61
Mon Feb  1 08:59:06 2010	DETROIT, MI	Mostly Clear	17 -8	11-Dec	6	WNW	30.32	67
Mon Feb  1 08:59:08 2010	PHILADELPHIA, PA	Clear	23 -5	12-Oct	12	W	30.21	54
Mon Feb  1 09:41:33 2010	SAN JOSE, CA	Intermittent Clouds	47 8	50 10	0	CLM	29.97	86
Mon Feb  1 09:41:34 2010	CHARLOTTE, NC	Clear	26 -3	32 0	0	CLM	30.33	95
Mon Feb  1 09:41:35 2010	SAN DIEGO, CA	Mostly Clear	53 12	56 13	0	CLM	29.98	82
Mon Feb  1 09:41:36 2010	DENVER, CO	Intermittent Clouds	24 -4	27 -3	2	N	29.84	71
Mon Feb  1 09:41:37 2010	MEMPHIS, TN	Intermittent Clouds	28 -2	26 -3	5	E	30.28	77
Mon Feb  1 09:41:38 2010	LOS ANGELES, CA	Clear	55 13	57 14	0	CLM	29.96	77
Mon Feb  1 09:41:40 2010	EL PASO, TX	Partly Cloudy	47 8	44 7	6	SSW	29.86	68
Mon Feb  1 09:41:41 2010	NEW YORK, NY	Clear	25 -4	19 -7	7	N	30.15	44
Mon Feb  1 09:41:42 2010	BALTIMORE, MD	Partly Cloudy	14 -10	14-Jun	7	WSW	30.26	70
Mon Feb  1 09:41:43 2010	LAS VEGAS, NV	Clear	44 7	44 7	3	WSW	29.95	70
Mon Feb  1 09:41:44 2010	WASHINGTON, DC	Partly Cloudy	23 -5	29 -2	0	CLM	30.28	65
Mon Feb  1 09:41:46 2010	AUSTIN, TX	Cloudy	35 2	40 4	0	CLM	30.19	88
Mon Feb  1 09:41:47 2010	SAN FRANCISCO, CA	Mostly Cloudy	51 11	54 12	0	CLM	29.97	85
Mon Feb  1 09:41:48 2010	OKLAHOMA CITY, OK	Fog	23 -5	21 -6	3	SSE	30.16	100
Mon Feb  1 09:41:49 2010	NASHVILLE, TN	Fog	22 -6	26 -3	0	CLM	30.33	100
Mon Feb  1 09:41:50 2010	FORT WORTH, TX	Mostly Clear	30 -1	35 2	0	CLM	30.17	88
Mon Feb  1 09:41:51 2010	PHOENIX, AZ	Intermittent Clouds	54 12	53 12	5	ESE	29.91	69
Mon Feb  1 09:41:52 2010	PORTLAND, OR	Partly Cloudy	39 4	37 3	5	E	29.95	95
Mon Feb  1 09:41:54 2010	CHICAGO, IL	Mostly Clear	15 -9	15 -9	3	NNW	30.34	70
Mon Feb  1 09:41:55 2010	SAN ANTONIO, TX	Cloudy	36 2	32 0	6	NE	30.14	89
Mon Feb  1 09:41:56 2010	INDIANAPOLIS, IN	Cloudy	20 -7	26 -3	0	CLM	30.34	71
Mon Feb  1 09:41:57 2010	BOSTON, MA	Intermittent Clouds	25 -4	13-Sep	15	W	30.02	44
Mon Feb  1 09:41:58 2010	JACKSONVILLE, FL	Mostly Clear	39 4	37 3	5	N	30.21	93
Mon Feb  1 09:41:59 2010	COLUMBUS, OH	Mostly Clear	20 -7	26 -3	0	CLM	30.35	71
Mon Feb  1 09:42:00 2010	DALLAS, TX	Mostly Cloudy	32 0	37 3	0	CLM	30.17	85
Mon Feb  1 09:42:01 2010	HOUSTON, TX	Intermittent Clouds	36 2	34 1	5	NNE	30.20	89
Mon Feb  1 09:42:02 2010	SEATTLE, WA	Cloudy	47 8	43 6	7	ESE	29.97	83
Mon Feb  1 09:42:04 2010	MILWAUKEE, WI	Partly Cloudy	14 -10	14 -10	3	W	30.35	61
Mon Feb  1 09:42:05 2010	DETROIT, MI	Mostly Clear	15 -9	13 -11	5	WNW	30.33	73
Mon Feb  1 09:42:06 2010	PHILADELPHIA, PA	Partly Cloudy	25 -4	11-Dec	12	W	30.24	46
Mon Feb  1 10:24:58 2010	SAN JOSE, CA	Clear	49 9	52 11	0	CLM	29.98	83
Mon Feb  1 10:24:59 2010	CHARLOTTE, NC	Clear	26 -3	32 0	0	CLM	30.33	92
Mon Feb  1 10:25:00 2010	SAN DIEGO, CA	Mostly Clear	54 12	56 13	0	CLM	29.97	80
Mon Feb  1 10:25:02 2010	DENVER, CO	Partly Cloudy	23 -5	27 -3	3	NW	29.86	71
Mon Feb  1 10:25:03 2010	MEMPHIS, TN	Intermittent Clouds	27 -3	33 1	0	CLM	30.28	81
Mon Feb  1 10:25:05 2010	LOS ANGELES, CA	Clear	54 12	56 13	0	CLM	29.96	77
Mon Feb  1 10:25:06 2010	EL PASO, TX	Mostly Cloudy	45 7	42 6	6	S	29.87	73
Mon Feb  1 10:25:07 2010	NEW YORK, NY	Clear	25 -4	17 -8	8	W	30.16	44
Mon Feb  1 10:25:09 2010	BALTIMORE, MD	Clear	13 -11	15-May	7	W	30.27	74
Mon Feb  1 10:25:11 2010	LAS VEGAS, NV	Clear	43 6	47 8	0	CLM	29.95	70
Mon Feb  1 10:25:13 2010	WASHINGTON, DC	Clear	21 -6	27 -3	0	CLM	30.29	68
Mon Feb  1 10:25:14 2010	AUSTIN, TX	Mostly Cloudy	35 2	40 4	0	CLM	30.17	88
Mon Feb  1 10:25:16 2010	SAN FRANCISCO, CA	Mostly Cloudy	51 11	54 12	0	CLM	29.98	85
Mon Feb  1 10:25:18 2010	OKLAHOMA CITY, OK	Fog	23 -5	21 -6	3	SSE	30.16	100
Mon Feb  1 10:25:19 2010	NASHVILLE, TN	Fog	20 -7	24 -4	0	CLM	30.33	96
Mon Feb  1 10:25:21 2010	FORT WORTH, TX	Clear	30 -1	35 2	0	CLM	30.17	88
Mon Feb  1 10:25:22 2010	PHOENIX, AZ	Mostly Clear	53 12	53 12	3	ESE	29.91	68
Mon Feb  1 10:25:23 2010	PORTLAND, OR	Partly Cloudy	39 4	43 6	0	CLM	29.95	95
Mon Feb  1 10:25:25 2010	CHICAGO, IL	Partly Cloudy	18 -8	16 -9	5	N	30.33	62
Mon Feb  1 10:25:26 2010	SAN ANTONIO, TX	Cloudy	36 2	34 1	5	N	30.12	89
Mon Feb  1 10:25:28 2010	INDIANAPOLIS, IN	Cloudy	19 -7	19 -7	3	ENE	30.32	70
Mon Feb  1 10:25:29 2010	BOSTON, MA	Clear	24 -4	14-Jul	16	W	30.03	48
Mon Feb  1 10:25:30 2010	JACKSONVILLE, FL	Mostly Clear	39 4	39 4	3	N	30.21	93
Mon Feb  1 10:25:31 2010	COLUMBUS, OH	Mostly Clear	18 -8	25 -4	0	CLM	30.36	80
Mon Feb  1 10:25:33 2010	DALLAS, TX	Cloudy	30 -1	35 2	0	CLM	30.17	88
Mon Feb  1 10:25:34 2010	HOUSTON, TX	Intermittent Clouds	37 3	35 2	5	NNE	30.18	85
Mon Feb  1 10:25:35 2010	SEATTLE, WA	Mostly Cloudy	46 8	43 6	6	E	29.97	82
Mon Feb  1 10:25:37 2010	MILWAUKEE, WI	Clear	11-Dec	19 -7	0	CLM	30.34	67
Mon Feb  1 10:25:38 2010	DETROIT, MI	Mostly Clear	16 -9	16 -9	3	WNW	30.34	70
Mon Feb  1 10:25:39 2010	PHILADELPHIA, PA	Clear	24 -4	16 -9	8	W	30.25	50
Mon Feb  1 11:08:03 2010	SAN JOSE, CA	Cloudy	49 9	52 11	0	CLM	29.98	83
Mon Feb  1 11:08:04 2010	CHARLOTTE, NC	Partly Cloudy	26 -3	32 0	0	CLM	30.33	92
Mon Feb  1 11:08:05 2010	SAN DIEGO, CA	Mostly Clear	54 12	56 13	0	CLM	29.97	80
Mon Feb  1 11:08:07 2010	DENVER, CO	Partly Cloudy	28 -2	30 -1	5	NNW	29.86	52
Mon Feb  1 11:08:08 2010	MEMPHIS, TN	Intermittent Clouds	27 -3	33 1	0	CLM	30.28	81
Mon Feb  1 11:08:09 2010	LOS ANGELES, CA	Mostly Clear	54 12	56 13	0	CLM	29.96	77
Mon Feb  1 11:08:10 2010	EL PASO, TX	Mostly Cloudy	45 7	42 6	6	S	29.87	73
Mon Feb  1 11:08:12 2010	NEW YORK, NY	Clear	25 -4	17 -8	8	W	30.16	44
Mon Feb  1 11:08:13 2010	BALTIMORE, MD	Clear	13 -11	15-May	7	W	30.27	74
Mon Feb  1 11:08:14 2010	LAS VEGAS, NV	Clear	43 6	47 8	0	CLM	29.95	70
Mon Feb  1 11:08:15 2010	WASHINGTON, DC	Clear	21 -6	27 -3	0	CLM	30.29	68
Mon Feb  1 11:08:16 2010	AUSTIN, TX	Cloudy	36 2	41 5	0	CLM	30.15	86
Mon Feb  1 11:08:18 2010	SAN FRANCISCO, CA	Cloudy	51 11	54 12	0	CLM	29.98	85
Mon Feb  1 11:08:19 2010	OKLAHOMA CITY, OK	Fog	23 -5	21 -6	3	SSE	30.16	100
Mon Feb  1 11:08:20 2010	NASHVILLE, TN	Fog	19 -7	23 -5	0	CLM	30.31	92
Mon Feb  1 11:08:21 2010	FORT WORTH, TX	Mostly Clear	30 -1	35 2	0	CLM	30.17	88
Mon Feb  1 11:08:22 2010	PHOENIX, AZ	Mostly Clear	53 12	53 12	3	ESE	29.91	68
Mon Feb  1 11:08:23 2010	PORTLAND, OR	Mostly Cloudy	37 3	41 5	0	CLM	29.95	93
Mon Feb  1 11:08:24 2010	CHICAGO, IL	Cloudy	18 -8	16 -9	5	N	30.33	62
Mon Feb  1 11:08:26 2010	SAN ANTONIO, TX	Cloudy	36 2	34 1	5	N	30.12	89
Mon Feb  1 11:08:27 2010	INDIANAPOLIS, IN	Cloudy	19 -7	19 -7	3	ENE	30.32	70
Mon Feb  1 11:08:28 2010	BOSTON, MA	Clear	24 -4	14-Jul	16	W	30.03	48
Mon Feb  1 11:08:29 2010	JACKSONVILLE, FL	Cloudy	39 4	37 3	5	N	30.20	100
Mon Feb  1 11:08:30 2010	COLUMBUS, OH	Mostly Clear	18 -8	25 -4	0	CLM	30.36	80
Mon Feb  1 11:08:31 2010	DALLAS, TX	Cloudy	30 -1	35 2	0	CLM	30.17	88
Mon Feb  1 11:08:32 2010	HOUSTON, TX	Intermittent Clouds	37 3	35 2	5	NNE	30.18	85
Mon Feb  1 11:08:33 2010	SEATTLE, WA	Mostly Cloudy	46 8	43 6	6	E	29.97	82
Mon Feb  1 11:08:34 2010	MILWAUKEE, WI	Clear	11-Dec	19 -7	0	CLM	30.34	67
Mon Feb  1 11:08:35 2010	DETROIT, MI	Mostly Clear	16 -9	16 -9	3	WNW	30.34	70
Mon Feb  1 11:08:36 2010	PHILADELPHIA, PA	Partly Cloudy	24 -4	16 -9	8	W	30.25	50
Mon Feb  1 11:51:19 2010	SAN JOSE, CA	Clear	46 8	45 7	5	ESE	29.98	88
Mon Feb  1 11:51:20 2010	CHARLOTTE, NC	Partly Cloudy	26 -3	32 0	0	CLM	30.32	88
Mon Feb  1 11:51:21 2010	SAN DIEGO, CA	Intermittent Clouds	53 12	56 13	0	CLM	29.98	82
Mon Feb  1 11:51:23 2010	DENVER, CO	Intermittent Clouds	30 -1	31 -1	3	WSW	29.86	46
Mon Feb  1 11:51:24 2010	MEMPHIS, TN	Intermittent Clouds	27 -3	33 1	0	CLM	30.28	81
Mon Feb  1 11:51:25 2010	LOS ANGELES, CA	Hazy Moonlight	52 11	55 13	0	CLM	29.96	82
Mon Feb  1 11:51:27 2010	EL PASO, TX	Mostly Cloudy	46 8	49 9	0	CLM	29.86	70
Mon Feb  1 11:51:28 2010	NEW YORK, NY	Clear	26 -3	13-Sep	16	W	30.18	42
Mon Feb  1 11:51:30 2010	BALTIMORE, MD	Partly Cloudy	17 -8	11-Dec	6	W	30.29	67
Mon Feb  1 11:51:31 2010	LAS VEGAS, NV	Clear	43 6	47 8	0	CLM	29.95	70
Mon Feb  1 11:51:33 2010	WASHINGTON, DC	Partly Cloudy	21 -6	27 -3	0	CLM	30.32	70
Mon Feb  1 11:51:34 2010	AUSTIN, TX	Cloudy	36 2	41 5	0	CLM	30.17	85
Mon Feb  1 11:51:35 2010	SAN FRANCISCO, CA	Cloudy	50 10	50 10	3	W	29.98	89
Mon Feb  1 11:51:36 2010	OKLAHOMA CITY, OK	Fog	25 -4	19 -7	6	SSE	30.13	100
Mon Feb  1 11:51:38 2010	NASHVILLE, TN	Mostly Cloudy	21 -6	26 -3	0	CLM	30.32	92
Mon Feb  1 11:51:40 2010	FORT WORTH, TX	Mostly Cloudy	31 -1	36 2	0	CLM	30.16	88
Mon Feb  1 11:51:41 2010	PHOENIX, AZ	Mostly Clear	51 11	50 10	5	E	29.92	73
Mon Feb  1 11:51:42 2010	PORTLAND, OR	Fog	39 4	41 5	0	CLM	29.94	93
Mon Feb  1 11:51:43 2010	CHICAGO, IL	Cloudy	17 -8	15 -9	5	N	30.32	64
Mon Feb  1 11:51:44 2010	SAN ANTONIO, TX	Cloudy	36 2	34 1	5	NE	30.11	89
Mon Feb  1 11:51:46 2010	INDIANAPOLIS, IN	Cloudy	21 -6	27 -3	0	CLM	30.30	70
Mon Feb  1 11:51:52 2010	BOSTON, MA	Clear	24 -4	13-Sep	14	W	30.04	48
Mon Feb  1 11:51:54 2010	JACKSONVILLE, FL	Cloudy	39 4	43 6	0	CLM	30.21	100
Mon Feb  1 11:51:55 2010	COLUMBUS, OH	Intermittent Clouds	17 -8	24 -4	0	CLM	30.36	83
Mon Feb  1 11:51:56 2010	DALLAS, TX	Cloudy	32 0	37 3	0	CLM	30.16	88
Mon Feb  1 11:51:58 2010	HOUSTON, TX	Mostly Cloudy	37 3	35 2	5	NE	30.17	88
Mon Feb  1 11:51:59 2010	SEATTLE, WA	Partly Cloudy	43 6	40 4	6	ESE	29.96	88
Mon Feb  1 11:52:00 2010	MILWAUKEE, WI	Mostly Clear	13 -11	12-Nov	5	WNW	30.34	64
Mon Feb  1 11:52:01 2010	DETROIT, MI	Mostly Clear	11-Dec	11-Dec	3	SSW	30.35	76
Mon Feb  1 11:52:02 2010	PHILADELPHIA, PA	Clear	23 -5	12-Oct	12	W	30.26	54
Mon Feb  1 12:34:47 2010	SAN JOSE, CA	Clear	47 8	50 10	0	CLM	29.98	86
Mon Feb  1 12:34:48 2010	CHARLOTTE, NC	Partly Cloudy	24 -4	30 -1	0	CLM	30.32	91
Mon Feb  1 12:34:50 2010	SAN DIEGO, CA	Intermittent Clouds	53 12	56 13	0	CLM	29.96	82
Mon Feb  1 12:34:51 2010	DENVER, CO	Partly Cloudy	29 -2	31 -1	3	N	29.87	46
Mon Feb  1 12:34:52 2010	MEMPHIS, TN	Cloudy	26 -3	24 -4	5	E	30.27	84
Mon Feb  1 12:34:53 2010	LOS ANGELES, CA	Clear	51 11	54 12	0	CLM	29.96	85
Mon Feb  1 12:34:54 2010	EL PASO, TX	Mostly Cloudy	44 7	48 9	0	CLM	29.87	78
Mon Feb  1 12:34:55 2010	NEW YORK, NY	Clear	26 -3	16 -9	9	W	30.19	46
Mon Feb  1 12:34:56 2010	BALTIMORE, MD	Mostly Clear	19 -7	11-Dec	7	W	30.32	62
Mon Feb  1 12:34:58 2010	LAS VEGAS, NV	Clear	42 6	46 8	0	CLM	29.95	70
Mon Feb  1 12:34:59 2010	WASHINGTON, DC	Clear	24 -4	16 -9	8	NNW	30.33	57
Mon Feb  1 12:35:00 2010	AUSTIN, TX	Cloudy	36 2	36 2	3	N	30.16	85
Mon Feb  1 12:35:01 2010	SAN FRANCISCO, CA	Cloudy	50 10	47 8	6	W	29.98	89
Mon Feb  1 12:35:03 2010	OKLAHOMA CITY, OK	Fog	26 -3	18 -8	7	SSE	30.09	100
Mon Feb  1 12:35:04 2010	NASHVILLE, TN	Fog	20 -7	18 -8	3	NE	30.31	91
Mon Feb  1 12:35:05 2010	FORT WORTH, TX	Clear	30 -1	35 2	0	CLM	30.14	85
Mon Feb  1 12:35:07 2010	PHOENIX, AZ	Mostly Clear	51 11	51 11	3	E	29.92	73
Mon Feb  1 12:35:08 2010	PORTLAND, OR	Fog	39 4	43 6	0	CLM	29.92	100
Mon Feb  1 12:35:09 2010	CHICAGO, IL	Cloudy	18 -8	25 -4	0	CLM	30.32	62
Mon Feb  1 12:35:10 2010	SAN ANTONIO, TX	Fog	37 3	37 3	3	NE	30.11	88
Mon Feb  1 12:35:11 2010	INDIANAPOLIS, IN	Cloudy	21 -6	21 -6	3	S	30.32	77
Mon Feb  1 12:35:13 2010	BOSTON, MA	Clear	23 -5	15-May	16	WSW	30.06	52
Mon Feb  1 12:35:14 2010	JACKSONVILLE, FL	Cloudy	39 4	43 6	0	CLM	30.22	100
Mon Feb  1 12:35:15 2010	COLUMBUS, OH	Cloudy	17 -8	24 -4	0	CLM	30.36	83
Mon Feb  1 12:35:16 2010	DALLAS, TX	Intermittent Clouds	30 -1	30 -1	3	SE	30.14	88
Mon Feb  1 12:35:18 2010	HOUSTON, TX	Cloudy	38 3	42 6	0	CLM	30.15	85
Mon Feb  1 12:35:19 2010	SEATTLE, WA	Cloudy	44 7	43 6	5	ESE	29.95	85
Mon Feb  1 12:35:20 2010	MILWAUKEE, WI	Clear	14 -10	14 -10	3	NW	30.34	64
Mon Feb  1 12:35:21 2010	DETROIT, MI	Clear	12-Nov	12-Nov	3	SSW	30.35	80
Mon Feb  1 12:35:22 2010	PHILADELPHIA, PA	Clear	26 -3	13 -11	12	W	30.29	48
Mon Feb  1 13:18:20 2010	SAN JOSE, CA	Clear	46 8	49 9	0	CLM	29.96	88
Mon Feb  1 13:18:22 2010	CHARLOTTE, NC	Partly Cloudy	24 -4	30 -1	0	CLM	30.35	95
Mon Feb  1 13:18:23 2010	SAN DIEGO, CA	Intermittent Clouds	52 11	55 13	0	CLM	29.96	82
Mon Feb  1 13:18:24 2010	DENVER, CO	Partly Cloudy	28 -2	31 -1	4	NW	29.88	48
Mon Feb  1 13:18:25 2010	MEMPHIS, TN	Intermittent Clouds	25 -4	31 -1	0	CLM	30.27	88
Mon Feb  1 13:18:26 2010	LOS ANGELES, CA	Clear	51 11	54 12	0	CLM	29.95	79
Mon Feb  1 13:18:27 2010	EL PASO, TX	Mostly Cloudy	43 6	47 8	0	CLM	29.88	79
Mon Feb  1 13:18:29 2010	NEW YORK, NY	Clear	25 -4	21 -6	6	WSW	30.22	50
Mon Feb  1 13:18:30 2010	BALTIMORE, MD	Intermittent Clouds	19 -7	19 -7	3	WNW	30.34	62
Mon Feb  1 13:18:32 2010	LAS VEGAS, NV	Clear	41 5	41 5	3	SW	29.96	73
Mon Feb  1 13:18:33 2010	WASHINGTON, DC	Mostly Clear	27 -3	13 -11	13	NW	30.35	48
Mon Feb  1 13:18:35 2010	AUSTIN, TX	Cloudy	36 2	34 1	5	NNW	30.15	85
Mon Feb  1 13:18:36 2010	SAN FRANCISCO, CA	Cloudy	50 10	50 10	3	E	29.96	89
Mon Feb  1 13:18:37 2010	OKLAHOMA CITY, OK	Fog	26 -3	20 -7	6	SE	30.08	100
Mon Feb  1 13:18:39 2010	NASHVILLE, TN	Fog	20 -7	24 -4	0	CLM	30.32	91
Mon Feb  1 13:18:40 2010	FORT WORTH, TX	Clear	29 -2	34 1	0	CLM	30.13	88
Mon Feb  1 13:18:41 2010	PHOENIX, AZ	Mostly Clear	50 10	50 10	3	ESE	29.92	76
Mon Feb  1 13:18:42 2010	PORTLAND, OR	Fog	39 4	37 3	3	W	29.91	100
Mon Feb  1 13:18:43 2010	CHICAGO, IL	Cloudy	19 -7	25 -4	0	CLM	30.32	62
Mon Feb  1 13:18:45 2010	SAN ANTONIO, TX	Showers	36 2	31 -1	6	NE	30.10	96
Mon Feb  1 13:18:46 2010	INDIANAPOLIS, IN	Cloudy	21 -6	27 -3	0	CLM	30.32	74
Mon Feb  1 13:18:47 2010	BOSTON, MA	Sunny	23 -5	15-May	17	WSW	30.09	52
Mon Feb  1 13:18:49 2010	JACKSONVILLE, FL	Cloudy	39 4	43 6	0	CLM	30.21	100
Mon Feb  1 13:18:50 2010	COLUMBUS, OH	Mostly Cloudy	16 -9	16 -9	3	ENE	30.34	84
Mon Feb  1 13:18:51 2010	DALLAS, TX	Mostly Cloudy	31 -1	29 -2	5	E	30.12	88
Mon Feb  1 13:18:52 2010	HOUSTON, TX	Cloudy	39 4	39 4	3	ENE	30.16	82
Mon Feb  1 13:18:53 2010	SEATTLE, WA	Mostly Cloudy	42 6	42 6	3	SE	29.94	88
Mon Feb  1 13:18:55 2010	MILWAUKEE, WI	Mostly Clear	15 -9	15 -9	3	NW	30.33	64
Mon Feb  1 13:18:56 2010	DETROIT, MI	Clear	11-Dec	19 -7	0	CLM	30.34	80
Mon Feb  1 13:18:57 2010	PHILADELPHIA, PA	Mostly Clear	24 -4	11-Dec	10	W	30.33	52
Mon Feb  1 14:02:13 2010	SAN JOSE, CA	Partly Cloudy	46 8	49 9	0	CLM	29.96	88
Mon Feb  1 14:02:14 2010	CHARLOTTE, NC	Partly Cloudy	24 -4	30 -1	0	CLM	30.35	95
Mon Feb  1 14:02:15 2010	SAN DIEGO, CA	Intermittent Clouds	52 11	55 13	0	CLM	29.96	82
Mon Feb  1 14:02:17 2010	DENVER, CO	Partly Cloudy	26 -3	28 -2	3	NNW	29.88	51
Mon Feb  1 14:02:18 2010	MEMPHIS, TN	Intermittent Clouds	25 -4	31 -1	0	CLM	30.27	88
Mon Feb  1 14:02:19 2010	LOS ANGELES, CA	Intermittent Clouds	51 11	54 12	0	CLM	29.95	79
Mon Feb  1 14:02:21 2010	EL PASO, TX	Mostly Cloudy	43 6	47 8	0	CLM	29.88	79
Mon Feb  1 14:02:22 2010	NEW YORK, NY	Clear	25 -4	21 -6	6	WSW	30.22	50
Mon Feb  1 14:02:23 2010	BALTIMORE, MD	Intermittent Clouds	19 -7	19 -7	3	WNW	30.34	62
Mon Feb  1 14:02:24 2010	LAS VEGAS, NV	Clear	41 5	41 5	3	SW	29.96	73
Mon Feb  1 14:02:26 2010	WASHINGTON, DC	Mostly Clear	27 -3	13 -11	13	NW	30.35	48
Mon Feb  1 14:02:27 2010	AUSTIN, TX	Cloudy	36 2	34 1	5	NNW	30.15	85
Mon Feb  1 14:02:28 2010	SAN FRANCISCO, CA	Cloudy	50 10	50 10	3	E	29.96	89
Mon Feb  1 14:02:30 2010	OKLAHOMA CITY, OK	Fog	27 -3	21 -6	6	SE	30.05	100
Mon Feb  1 14:02:31 2010	NASHVILLE, TN	Fog	19 -7	23 -5	0	CLM	30.30	92
Mon Feb  1 14:02:32 2010	FORT WORTH, TX	Cloudy	27 -3	27 -3	3	S	30.11	92
Mon Feb  1 14:02:33 2010	PHOENIX, AZ	Mostly Clear	50 10	50 10	3	ESE	29.92	76
Mon Feb  1 14:02:35 2010	PORTLAND, OR	Fog	39 4	41 5	3	CLM	29.91	100
Mon Feb  1 14:02:36 2010	CHICAGO, IL	Cloudy	19 -7	25 -4	0	CLM	30.32	62
Mon Feb  1 14:02:37 2010	SAN ANTONIO, TX	Showers	36 2	34 1	3	NE	30.11	100
Mon Feb  1 14:02:38 2010	INDIANAPOLIS, IN	Cloudy	21 -6	27 -3	0	CLM	30.32	74
Mon Feb  1 14:02:39 2010	BOSTON, MA	Sunny	23 -5	15-May	17	WSW	30.09	52
Mon Feb  1 14:02:41 2010	JACKSONVILLE, FL	Cloudy	45 7	45 7	4	NNE	30.21	90
Mon Feb  1 14:02:42 2010	COLUMBUS, OH	Mostly Cloudy	16 -9	16 -9	3	ENE	30.34	84
Mon Feb  1 14:02:43 2010	DALLAS, TX	Mostly Cloudy	30 -1	30 -1	3	SSE	30.11	92
Mon Feb  1 14:02:44 2010	HOUSTON, TX	Cloudy	39 4	39 4	3	ENE	30.16	82
Mon Feb  1 14:02:45 2010	SEATTLE, WA	Cloudy	42 6	42 6	3	SE	29.94	88
Mon Feb  1 14:02:47 2010	MILWAUKEE, WI	Mostly Clear	15 -9	15 -9	3	NW	30.33	64
Mon Feb  1 14:02:48 2010	DETROIT, MI	Partly Cloudy	11-Dec	19 -7	0	CLM	30.34	80
Mon Feb  1 14:02:49 2010	PHILADELPHIA, PA	Mostly Clear	24 -4	11-Dec	10	W	30.33	52
Mon Feb  1 14:46:42 2010	SAN JOSE, CA	Clear	46 8	49 9	0	CLM	29.96	85
Mon Feb  1 14:46:44 2010	CHARLOTTE, NC	Intermittent Clouds	21 -6	22 -6	3	N	30.38	92
Mon Feb  1 14:46:46 2010	SAN DIEGO, CA	Intermittent Clouds	51 11	54 12	0	CLM	29.96	85
Mon Feb  1 14:46:48 2010	DENVER, CO	Partly Cloudy	32 0	37 3	0	CLM	29.81	37
Mon Feb  1 14:46:50 2010	MEMPHIS, TN	Intermittent Clouds	26 -3	32 0	0	CLM	30.27	81
Mon Feb  1 14:46:52 2010	LOS ANGELES, CA	Clear	50 10	53 12	0	CLM	29.95	79
Mon Feb  1 14:46:53 2010	EL PASO, TX	Mostly Cloudy	42 6	46 8	0	CLM	29.89	82
Mon Feb  1 14:46:54 2010	NEW YORK, NY	Sunny	26 -3	18 -8	9	WSW	30.26	50
Mon Feb  1 14:46:56 2010	BALTIMORE, MD	Mostly Sunny	19 -7	18 -8	5	W	30.36	62
Mon Feb  1 14:46:58 2010	LAS VEGAS, NV	Clear	40 4	40 4	3	SSW	29.96	76
Mon Feb  1 14:46:59 2010	WASHINGTON, DC	Intermittent Clouds	27 -3	21 -6	7	NNW	30.38	48
Mon Feb  1 14:47:00 2010	AUSTIN, TX	Showers	37 3	40 4	0	CLM	30.16	85
Mon Feb  1 14:47:02 2010	SAN FRANCISCO, CA	Mostly Cloudy	47 8	50 10	0	CLM	29.96	92
Mon Feb  1 14:47:03 2010	OKLAHOMA CITY, OK	Fog	27 -3	11-Dec	14	SSE	30.05	100
Mon Feb  1 14:47:26 2010	NASHVILLE, TN	Fog	19 -7	27 -3	0	CLM	30.29	85
Mon Feb  1 14:47:31 2010	FORT WORTH, TX	Cloudy	28 -2	26 -3	5	SSW	30.13	95
Mon Feb  1 14:47:38 2010	PHOENIX, AZ	Mostly Clear	50 10	47 8	6	ESE	29.93	74
Mon Feb  1 14:47:39 2010	PORTLAND, OR	Fog	39 4	43 6	0	CLM	29.93	100
Mon Feb  1 14:47:41 2010	CHICAGO, IL	Cloudy	20 -7	21 -6	3	NNE	30.33	62
Mon Feb  1 14:47:42 2010	SAN ANTONIO, TX	Showers	37 3	40 4	0	CLM	30.11	93
Mon Feb  1 14:47:44 2010	INDIANAPOLIS, IN	Mostly Sunny	20 -7	19 -7	5	SE	30.34	74
Mon Feb  1 14:47:45 2010	BOSTON, MA	Sunny	23 -5	14-Jun	16	WSW	30.11	52
Mon Feb  1 14:47:47 2010	JACKSONVILLE, FL	Sunny	41 5	39 4	6	N	30.23	100
Mon Feb  1 14:47:48 2010	COLUMBUS, OH	Mostly Cloudy	18 -8	25 -4	0	CLM	30.35	80
Mon Feb  1 14:47:49 2010	DALLAS, TX	Cloudy	30 -1	35 2	0	CLM	30.12	92
