2	weather.cnn.com										
(Timestamp)	(Location)	Current Conditions  updated 	(Temperature) (°)	Hi (°)	Lo (°)	(Conditions)	Barometer (" Hg)	Feels like (°)	Humidity (%)	Wind	(Wind Speed) (mph)
Mon Feb  1 14:50:46 2010	San Diego, CA 	8:24 AM ET	51	62	51	 Intermittent Clouds 	29.96	56	85	CLM	0
Mon Feb  1 14:50:48 2010	Denver, CO 	8:24 AM ET	26	41	19	 Partly Cloudy 	29.85	26	55	WSW	9
Mon Feb  1 14:50:50 2010	Memphis, TN 	8:24 AM ET	26	43	27	 Intermittent Clouds 	30.28	26	81	CLM	0
Mon Feb  1 14:50:52 2010	Los Angeles, CA 	8:24 AM ET	50	64	50	 Clear 	29.95	55	79	CLM	0
Mon Feb  1 14:50:54 2010	El Paso, TX 	8:24 AM ET	42	57	41	 Mostly Cloudy 	29.89	45	82	CLM	0
Mon Feb  1 14:50:56 2010	New York, NY 	8:24 AM ET	26	29	22	 Sunny 	30.27	26	50	WSW	9
Mon Feb  1 14:50:58 2010	Baltimore, MD 	8:24 AM ET	19	31	17	 Mostly Sunny 	30.37	19	62	W	5
Mon Feb  1 14:51:00 2010	Las Vegas, NV 	8:24 AM ET	40	61	40	 Clear 	29.97	43	76	SSW	3
Mon Feb  1 14:51:02 2010	Washington, DC 	8:24 AM ET	27	32	18	 Intermittent Clouds 	30.39	27	48	NNW	7
Mon Feb  1 14:51:04 2010	Austin, TX 	8:24 AM ET	37	50	33	Showers 	30.17	37	85	CLM	0
Mon Feb  1 14:51:06 2010	San Francisco, CA 	8:24 AM ET	47	59	44	 Mostly Cloudy 	29.96	50	92	CLM	0
Mon Feb  1 14:51:08 2010	Oklahoma City, OK 	8:24 AM ET	27	35	28	Fog 	30.06	27	100	SSE	14
Mon Feb  1 14:51:10 2010	Nashville, TN 	8:24 AM ET	19	46	29	Fog 	30.3	19	85	CLM	0
Mon Feb  1 14:51:12 2010	Fort Worth, TX 	8:24 AM ET	28	47	34	Cloudy 	30.13	28	95	SSW	5
Mon Feb  1 14:51:13 2010	Phoenix, AZ 	8:24 AM ET	50	69	48	 Mostly Clear 	29.93	55	74	ESE	6
Mon Feb  1 14:51:15 2010	Portland, OR 	8:24 AM ET	39	52	37	Fog 	29.94	39	100	CLM	0
Mon Feb  1 14:51:17 2010	Chicago, IL 	8:24 AM ET	20	29	13	Cloudy 	30.34	20	62	NNE	3
Mon Feb  1 14:51:19 2010	San Antonio, TX 	8:24 AM ET	37	46	37	Showers 	30.11	37	95	NNE	5
Mon Feb  1 14:51:21 2010	Indianapolis, IN 	8:24 AM ET	-6	-1	-9	 Mostly Sunny 	30.35	-6	74	SE	5
Mon Feb  1 14:51:23 2010	Boston, MA 	8:24 AM ET	23	27	19	 Sunny 	30.11	23	52	WSW	16
Mon Feb  1 14:51:25 2010	Jacksonville, FL 	8:24 AM ET	41	54	39	 Sunny 	30.24	45	100	N	6
Mon Feb  1 14:51:27 2010	Columbus, OH 	8:24 AM ET	14	32	16	 Sunny 	30.37	14	87	CLM	0
Mon Feb  1 14:51:29 2010	Dallas, TX 	8:24 AM ET	30	45	35	Cloudy 	30.13	30	92	CLM	0
Mon Feb  1 14:51:31 2010	Houston, TX 	8:24 AM ET	41	52	42	Cloudy 	30.17	44	79	ENE	6
Mon Feb  1 14:51:33 2010	Seattle, WA 	8:24 AM ET	40	51	40	 Clear 	29.91	43	92	CLM	0
Mon Feb  1 14:51:35 2010	Milwaukee, WI 	8:24 AM ET	16	25	11	Cloudy 	30.36	16	64	WNW	3
Mon Feb  1 14:51:37 2010	Detroit, MI 	8:24 AM ET	14	29	16	 Sunny 	31.13	14	80	W	3
Mon Feb  1 14:51:39 2010	Philadelphia, PA 	8:24 AM ET	24	28	16	 Sunny 	30.36	24	57	W	7
Mon Feb  1 15:34:07 2010	San Jose, CA 	9:26 AM ET	43	59	45	 Mostly Cloudy 	29.95	46	92	SE	5
Mon Feb  1 15:34:09 2010	Charlotte, NC 	9:26 AM ET	30	43	28	 Intermittent Clouds 	30.39	30	100	CLM	0
Mon Feb  1 15:34:11 2010	San Diego, CA 	9:26 AM ET	52	62	52	 Intermittent Clouds 	29.97	57	82	CLM	0
Mon Feb  1 15:34:13 2010	Denver, CO 	9:26 AM ET	23	42	16	 Partly Cloudy 	29.89	23	65	WSW	8
Mon Feb  1 15:34:15 2010	Memphis, TN 	9:26 AM ET	28	49	32	Cloudy 	30.28	28	88	CLM	0
Mon Feb  1 15:34:17 2010	Los Angeles, CA 	9:26 AM ET	51	64	50	 Clear 	29.95	56	76	CLM	0
Mon Feb  1 15:34:18 2010	El Paso, TX 	9:26 AM ET	41	60	40	 Partly Sunny 	29.91	44	85	SSE	6
Mon Feb  1 15:34:20 2010	New York, NY 	9:26 AM ET	27	37	26	 Sunny 	30.28	27	48	N	7
Mon Feb  1 15:34:22 2010	Baltimore, MD 	9:26 AM ET	27	36	20	 Mostly Sunny 	30.38	27	50	WNW	7
Mon Feb  1 15:34:24 2010	Las Vegas, NV 	9:26 AM ET	40	62	40	 Mostly Clear 	29.98	43	76	SW	5
Mon Feb  1 15:34:26 2010	Washington, DC 	9:26 AM ET	29	36	23	 Intermittent Clouds 	30.39	29	49	NNW	10
Mon Feb  1 15:34:28 2010	Austin, TX 	9:26 AM ET	37	54	41	Showers 	30.16	37	85	ENE	3
Mon Feb  1 15:34:30 2010	San Francisco, CA 	9:26 AM ET	47	58	46	 Mostly Cloudy 	29.95	50	92	S	5
Mon Feb  1 15:34:32 2010	Oklahoma City, OK 	9:26 AM ET	29	39	27	Fog 	30.09	29	88	SSE	13
Mon Feb  1 15:34:34 2010	Nashville, TN 	9:26 AM ET	20	46	29	 Intermittent Clouds 	30.35	20	91	CLM	0
Mon Feb  1 15:34:36 2010	Fort Worth, TX 	9:26 AM ET	30	53	36	Fog 	30.11	30	92	SSE	5
Mon Feb  1 15:34:38 2010	Phoenix, AZ 	9:26 AM ET	49	68	50	 Mostly Clear 	29.94	52	73	ESE	5
Mon Feb  1 15:34:40 2010	Portland, OR 	9:26 AM ET	40	48	39	Showers 	29.92	43	92	E	3
Mon Feb  1 15:34:42 2010	Chicago, IL 	9:26 AM ET	21	31	26	Cloudy 	30.36	21	62	NNE	3
Mon Feb  1 15:34:44 2010	San Antonio, TX 	9:26 AM ET	37	50	44	Showers 	30.13	37	93	N	3
Mon Feb  1 15:34:46 2010	Indianapolis, IN 	9:26 AM ET	22	38	24	 Intermittent Clouds 	30.36	22	77	CLM	0
Mon Feb  1 15:34:48 2010	Boston, MA 	9:26 AM ET	27	35	17	 Sunny 	30.12	27	46	W	17
Mon Feb  1 15:34:50 2010	Jacksonville, FL 	9:26 AM ET	46	61	52	 Sunny 	30.24	50	100	N	6
Mon Feb  1 15:34:52 2010	Columbus, OH 	9:26 AM ET	19	37	21	 Sunny 	30.39	19	84	CLM	0
Mon Feb  1 15:34:54 2010	Dallas, TX 	9:26 AM ET	34	52	35	Fog 	30.13	34	86	SSW	7
Mon Feb  1 15:34:56 2010	Houston, TX 	9:26 AM ET	42	56	46	Cloudy 	30.15	45	78	ENE	8
Mon Feb  1 15:34:58 2010	Seattle, WA 	9:26 AM ET	39	48	40	 Clear 	29.92	39	86	CLM	0
Mon Feb  1 15:35:00 2010	Milwaukee, WI 	9:26 AM ET	16	28	18	Cloudy 	30.37	16	67	N	3
Mon Feb  1 15:35:02 2010	Detroit, MI 	9:26 AM ET	16	30	19	 Sunny 	31.13	16	77	CLM	0
Mon Feb  1 15:35:04 2010	Philadelphia, PA 	9:26 AM ET	28	37	19	 Sunny 	30.37	28	50	W	9
Mon Feb  1 16:18:51 2010	San Jose, CA 	9:26 AM ET	43	59	45	 Mostly Cloudy 	29.95	46	92	SE	5
Mon Feb  1 16:18:53 2010	Charlotte, NC 	9:26 AM ET	30	43	28	 Intermittent Clouds 	30.39	30	100	CLM	0
Mon Feb  1 16:18:55 2010	San Diego, CA 	9:26 AM ET	52	62	52	 Intermittent Clouds 	29.97	57	82	CLM	0
Mon Feb  1 16:18:57 2010	Denver, CO 	9:26 AM ET	23	42	16	 Partly Cloudy 	29.89	23	65	WSW	8
Mon Feb  1 16:18:59 2010	Memphis, TN 	9:26 AM ET	28	49	32	Cloudy 	30.28	28	88	CLM	0
Mon Feb  1 16:19:01 2010	Los Angeles, CA 	9:26 AM ET	51	64	50	 Clear 	29.95	56	76	CLM	0
Mon Feb  1 16:19:03 2010	El Paso, TX 	9:26 AM ET	41	60	40	 Partly Sunny 	29.91	44	85	SSE	6
Mon Feb  1 16:19:05 2010	New York, NY 	9:26 AM ET	27	37	26	 Sunny 	30.28	27	48	N	7
Mon Feb  1 16:19:07 2010	Baltimore, MD 	9:26 AM ET	27	36	20	 Mostly Sunny 	30.38	27	50	WNW	7
Mon Feb  1 16:19:09 2010	Las Vegas, NV 	9:26 AM ET	40	62	40	 Mostly Clear 	29.98	43	76	SW	5
Mon Feb  1 16:19:11 2010	Washington, DC 	9:26 AM ET	29	36	23	 Intermittent Clouds 	30.39	29	49	NNW	10
Mon Feb  1 16:19:12 2010	Austin, TX 	9:26 AM ET	37	54	41	Showers 	30.16	37	85	ENE	3
Mon Feb  1 16:19:14 2010	San Francisco, CA 	9:26 AM ET	47	58	46	 Mostly Cloudy 	29.95	50	92	S	5
Mon Feb  1 16:19:16 2010	Oklahoma City, OK 	9:26 AM ET	29	39	27	Fog 	30.09	29	88	SSE	13
Mon Feb  1 16:19:18 2010	Nashville, TN 	9:26 AM ET	20	46	29	 Intermittent Clouds 	30.35	20	91	CLM	0
Mon Feb  1 16:19:20 2010	Fort Worth, TX 	9:26 AM ET	30	53	36	Fog 	30.11	30	92	SSE	5
Mon Feb  1 16:19:22 2010	Phoenix, AZ 	9:26 AM ET	49	68	50	 Mostly Clear 	29.94	52	73	ESE	5
Mon Feb  1 16:19:24 2010	Portland, OR 	9:26 AM ET	40	48	39	Showers 	29.92	43	92	E	3
Mon Feb  1 16:19:26 2010	Chicago, IL 	9:26 AM ET	21	31	26	Cloudy 	30.36	21	62	NNE	3
Mon Feb  1 16:19:28 2010	San Antonio, TX 	9:26 AM ET	37	50	44	Showers 	30.13	37	93	N	3
Mon Feb  1 16:19:30 2010	Indianapolis, IN 	9:26 AM ET	22	38	24	 Intermittent Clouds 	30.36	22	77	CLM	0
Mon Feb  1 16:19:32 2010	Boston, MA 	9:26 AM ET	27	35	17	 Sunny 	30.12	27	46	W	17
Mon Feb  1 16:19:34 2010	Jacksonville, FL 	9:26 AM ET	46	61	52	 Sunny 	30.24	50	100	N	6
Mon Feb  1 16:19:36 2010	Columbus, OH 	9:26 AM ET	19	37	21	 Sunny 	30.39	19	84	CLM	0
Mon Feb  1 16:19:37 2010	Dallas, TX 	9:26 AM ET	34	52	35	Fog 	30.13	34	86	SSW	7
Mon Feb  1 16:19:39 2010	Houston, TX 	9:26 AM ET	42	56	46	Cloudy 	30.15	45	78	ENE	8
Mon Feb  1 16:19:41 2010	Seattle, WA 	9:26 AM ET	39	48	40	 Clear 	29.92	39	86	CLM	0
Mon Feb  1 16:19:43 2010	Milwaukee, WI 	9:26 AM ET	16	28	18	Cloudy 	30.37	16	67	N	3
Mon Feb  1 16:19:45 2010	Detroit, MI 	9:26 AM ET	16	30	19	 Sunny 	31.13	16	77	CLM	0
Mon Feb  1 16:19:47 2010	Philadelphia, PA 	9:26 AM ET	28	37	19	 Sunny 	30.37	28	50	W	9
Mon Feb  1 17:03:36 2010	San Jose, CA 	10:23 AM ET	45	59	45	 Mostly Cloudy 	29.96	48	89	SE	6
Mon Feb  1 17:03:38 2010	Charlotte, NC 	10:23 AM ET	32	43	28	 Intermittent Clouds 	30.4	32	92	CLM	0
Mon Feb  1 17:03:40 2010	San Diego, CA 	10:23 AM ET	54	62	52	 Intermittent Clouds 	29.98	59	81	CLM	0
Mon Feb  1 17:03:42 2010	Denver, CO 	10:23 AM ET	26	42	16	 Partly Sunny 	29.89	26	57	SW	8
Mon Feb  1 17:03:44 2010	Memphis, TN 	10:23 AM ET	32	49	32	 Intermittent Clouds 	30.29	32	81	E	3
Mon Feb  1 17:03:46 2010	Los Angeles, CA 	10:23 AM ET	51	64	50	 Sunny 	29.95	56	73	CLM	0
Mon Feb  1 17:03:48 2010	El Paso, TX 	10:23 AM ET	45	60	40	 Mostly Cloudy 	29.93	48	79	ESE	3
Mon Feb  1 17:03:50 2010	New York, NY 	10:23 AM ET	28	37	26	 Sunny 	30.29	28	46	W	14
Mon Feb  1 17:03:52 2010	Baltimore, MD 	10:23 AM ET	29	36	20	 Intermittent Clouds 	30.36	29	49	NNW	5
Mon Feb  1 17:03:54 2010	Las Vegas, NV 	10:23 AM ET	40	62	40	 Mostly Sunny 	29.99	43	73	SW	3
Mon Feb  1 17:03:56 2010	Washington, DC 	10:23 AM ET	31	36	23	 Intermittent Clouds 	30.4	31	45	NNW	7
Mon Feb  1 17:03:58 2010	Austin, TX 	10:23 AM ET	37	54	41	Showers 	30.17	37	92	E	3
Mon Feb  1 17:04:00 2010	San Francisco, CA 	10:23 AM ET	48	58	46	 Intermittent Clouds 	29.96	51	89	CLM	0
Mon Feb  1 17:04:02 2010	Oklahoma City, OK 	10:23 AM ET	29	39	27	Fog 	30.1	29	88	S	9
Mon Feb  1 17:04:04 2010	Nashville, TN 	10:23 AM ET	24	46	29	 Intermittent Clouds 	30.35	24	95	CLM	0
Mon Feb  1 17:04:06 2010	Fort Worth, TX 	10:23 AM ET	32	53	36	Fog 	30.15	32	92	S	6
Mon Feb  1 17:04:08 2010	Phoenix, AZ 	10:23 AM ET	49	68	50	 Mostly Cloudy 	29.95	52	73	E	6
Mon Feb  1 17:04:10 2010	Portland, OR 	10:23 AM ET	41	48	39	Cloudy 	29.91	44	88	E	13
Mon Feb  1 17:04:12 2010	Chicago, IL 	10:23 AM ET	22	31	26	Cloudy 	30.36	22	62	CLM	0
Mon Feb  1 17:04:14 2010	San Antonio, TX 	10:23 AM ET	38	50	44	Showers 	30.13	38	96	NE	5
Mon Feb  1 17:04:15 2010	Indianapolis, IN 	10:23 AM ET	24	38	24	 Intermittent Clouds 	30.35	24	68	SSE	3
Mon Feb  1 17:04:18 2010	Boston, MA 	10:23 AM ET	29	35	17	 Partly Sunny 	30.15	29	42	W	14
Mon Feb  1 17:04:19 2010	Jacksonville, FL 	10:23 AM ET	55	61	52	 Sunny 	30.24	61	81	NE	12
Mon Feb  1 17:04:21 2010	Columbus, OH 	10:23 AM ET	21	37	21	 Sunny 	30.39	21	77	SSE	5
Mon Feb  1 17:04:23 2010	Dallas, TX 	10:23 AM ET	36	52	35	Fog 	30.14	36	80	SSW	8
Mon Feb  1 17:04:26 2010	Houston, TX 	10:23 AM ET	44	56	46	Rain 	30.17	47	78	ENE	7
Mon Feb  1 17:04:28 2010	Seattle, WA 	10:23 AM ET	40	48	40	 Clear 	29.91	43	89	CLM	0
Mon Feb  1 17:04:30 2010	Milwaukee, WI 	10:23 AM ET	19	28	18	Cloudy 	30.36	19	64	CLM	0
Mon Feb  1 17:04:32 2010	Detroit, MI 	10:23 AM ET	21	30	19	 Sunny 	30.38	21	68	WSW	7
Mon Feb  1 17:04:34 2010	Philadelphia, PA 	10:23 AM ET	30	37	19	 Sunny 	30.35	30	44	NW	13
Mon Feb  1 17:47:23 2010	San Jose, CA 	11:29 AM ET	45	59	45	 Mostly Cloudy 	29.96	48	89	CLM	0
Mon Feb  1 17:47:25 2010	Charlotte, NC 	11:29 AM ET	37	43	28	 Intermittent Clouds 	30.39	37	78	SW	3
Mon Feb  1 17:47:27 2010	San Diego, CA 	11:29 AM ET	53	62	52	 Intermittent Clouds 	29.99	58	82	CLM	0
Mon Feb  1 17:47:29 2010	Denver, CO 	11:29 AM ET	37	42	16	 Partly Sunny 	29.88	37	36	WSW	9
Mon Feb  1 17:47:31 2010	Memphis, TN 	11:29 AM ET	37	49	32	 Intermittent Clouds 	30.27	37	72	SE	7
Mon Feb  1 17:47:33 2010	Los Angeles, CA 	11:29 AM ET	52	64	50	 Sunny 	29.97	57	74	CLM	0
Mon Feb  1 17:47:35 2010	El Paso, TX 	11:29 AM ET	48	60	40	 Mostly Cloudy 	29.93	51	70	CLM	0
Mon Feb  1 17:47:36 2010	New York, NY 	11:29 AM ET	29	37	26	 Sunny 	30.27	29	42	W	12
Mon Feb  1 17:47:38 2010	Baltimore, MD 	11:29 AM ET	30	36	20	 Mostly Cloudy 	30.37	30	47	WNW	9
Mon Feb  1 17:47:40 2010	Las Vegas, NV 	11:29 AM ET	43	62	40	 Mostly Sunny 	30.01	45	65	CLM	0
Mon Feb  1 17:47:42 2010	Washington, DC 	11:29 AM ET	32	36	23	 Intermittent Clouds 	30.39	32	43	N	10
Mon Feb  1 17:47:44 2010	Austin, TX 	11:29 AM ET	38	54	41	Showers 	30.18	38	92	CLM	0
Mon Feb  1 17:47:46 2010	San Francisco, CA 	11:29 AM ET	51	58	46	 Intermittent Clouds 	29.97	56	85	CLM	0
Mon Feb  1 17:47:48 2010	Oklahoma City, OK 	11:29 AM ET	29	39	27	Fog 	30.09	29	88	SSE	9
Mon Feb  1 17:47:50 2010	Nashville, TN 	11:29 AM ET	28	46	29	 Intermittent Clouds 	30.33	28	88	CLM	0
Mon Feb  1 17:47:51 2010	Fort Worth, TX 	11:29 AM ET	33	53	36	Cloudy 	30.14	33	91	SSE	7
Mon Feb  1 17:47:54 2010	Phoenix, AZ 	11:29 AM ET	51	68	50	 Intermittent Clouds 	29.97	55	68	E	6
Mon Feb  1 17:47:55 2010	Portland, OR 	11:29 AM ET	40	48	39	Cloudy 	29.91	43	92	SE	6
Mon Feb  1 17:47:57 2010	Chicago, IL 	11:29 AM ET	24	31	26	Cloudy 	30.35	24	62	CLM	0
Mon Feb  1 17:47:59 2010	San Antonio, TX 	11:29 AM ET	39	50	44	Showers 	30.14	39	92	E	5
Mon Feb  1 17:48:01 2010	Indianapolis, IN 	11:29 AM ET	27	38	24	 Intermittent Clouds 	30.36	27	63	SSE	6
Mon Feb  1 17:48:03 2010	Boston, MA 	11:29 AM ET	31	35	17	 Partly Sunny 	30.15	31	36	W	16
Mon Feb  1 17:48:05 2010	Jacksonville, FL 	11:29 AM ET	55	61	52	 Sunny 	30.24	61	81	ENE	12
Mon Feb  1 17:48:07 2010	Columbus, OH 	11:29 AM ET	25	37	21	 Sunny 	30.39	25	68	S	5
Mon Feb  1 17:48:09 2010	Dallas, TX 	11:29 AM ET	36	52	35	Fog 	30.14	36	85	S	8
Mon Feb  1 17:48:11 2010	Houston, TX 	11:29 AM ET	44	56	46	Rain 	30.2	47	82	E	5
Mon Feb  1 17:48:12 2010	Seattle, WA 	11:29 AM ET	39	48	40	 Mostly Cloudy 	29.9	39	92	CLM	0
Mon Feb  1 17:48:14 2010	Milwaukee, WI 	11:29 AM ET	21	28	18	Cloudy 	30.36	21	62	CLM	0
Mon Feb  1 17:48:16 2010	Detroit, MI 	11:29 AM ET	23	30	19	 Sunny 	30.38	23	59	WSW	8
Mon Feb  1 17:48:18 2010	Philadelphia, PA 	11:29 AM ET	31	37	19	 Sunny 	30.35	31	43	WNW	16
Mon Feb  1 18:30:45 2010	San Jose, CA 	11:29 AM ET	45	59	45	 Mostly Cloudy 	29.96	48	89	CLM	0
Mon Feb  1 18:30:47 2010	Charlotte, NC 	11:29 AM ET	37	43	28	 Intermittent Clouds 	30.39	37	78	SW	3
Mon Feb  1 18:30:49 2010	San Diego, CA 	11:29 AM ET	53	62	52	 Intermittent Clouds 	29.99	58	82	CLM	0
Mon Feb  1 18:30:51 2010	Denver, CO 	11:29 AM ET	37	42	16	 Partly Sunny 	29.88	37	36	WSW	9
Mon Feb  1 18:30:53 2010	Memphis, TN 	11:29 AM ET	37	49	32	 Intermittent Clouds 	30.27	37	72	SE	7
Mon Feb  1 18:30:55 2010	Los Angeles, CA 	11:29 AM ET	52	64	50	 Sunny 	29.97	57	74	CLM	0
Mon Feb  1 18:30:57 2010	El Paso, TX 	11:29 AM ET	48	60	40	 Mostly Cloudy 	29.93	51	70	CLM	0
Mon Feb  1 18:30:59 2010	New York, NY 	11:29 AM ET	29	37	26	 Sunny 	30.27	29	42	W	12
Mon Feb  1 18:31:01 2010	Baltimore, MD 	11:29 AM ET	30	36	20	 Mostly Cloudy 	30.37	30	47	WNW	9
Mon Feb  1 18:31:03 2010	Las Vegas, NV 	11:29 AM ET	43	62	40	 Mostly Sunny 	30.01	45	65	CLM	0
Mon Feb  1 18:31:05 2010	Washington, DC 	11:29 AM ET	32	36	23	 Intermittent Clouds 	30.39	32	43	N	10
Mon Feb  1 18:31:07 2010	Austin, TX 	11:29 AM ET	38	54	41	Showers 	30.18	38	92	CLM	0
Mon Feb  1 18:31:09 2010	San Francisco, CA 	11:29 AM ET	51	58	46	 Intermittent Clouds 	29.97	56	85	CLM	0
Mon Feb  1 18:31:11 2010	Oklahoma City, OK 	11:29 AM ET	29	39	27	Fog 	30.09	29	88	SSE	9
Mon Feb  1 18:31:13 2010	Nashville, TN 	11:29 AM ET	28	46	29	 Intermittent Clouds 	30.33	28	88	CLM	0
Mon Feb  1 18:31:15 2010	Fort Worth, TX 	11:29 AM ET	33	53	36	Cloudy 	30.14	33	91	SSE	7
Mon Feb  1 18:31:17 2010	Phoenix, AZ 	11:29 AM ET	10	20	10	 Intermittent Clouds 	29.97	12	68	E	6
Mon Feb  1 18:31:19 2010	Portland, OR 	11:29 AM ET	40	48	39	Cloudy 	29.91	43	92	SE	6
Mon Feb  1 18:31:21 2010	Chicago, IL 	11:29 AM ET	24	31	26	Cloudy 	30.35	24	62	CLM	0
Mon Feb  1 18:31:26 2010	San Antonio, TX 	11:29 AM ET	39	50	44	Showers 	30.14	39	92	E	5
Mon Feb  1 18:31:28 2010	Indianapolis, IN 	11:29 AM ET	27	38	24	 Intermittent Clouds 	30.36	27	63	SSE	6
Mon Feb  1 18:31:30 2010	Boston, MA 	11:29 AM ET	31	35	17	 Partly Sunny 	30.15	31	36	W	16
Mon Feb  1 18:31:32 2010	Jacksonville, FL 	11:29 AM ET	55	61	52	 Sunny 	30.24	61	81	ENE	12
Mon Feb  1 18:31:34 2010	Columbus, OH 	11:29 AM ET	25	37	21	 Sunny 	30.39	25	68	S	5
Mon Feb  1 18:31:36 2010	Dallas, TX 	11:29 AM ET	36	52	35	Fog 	30.14	36	85	S	8
Mon Feb  1 18:31:38 2010	Houston, TX 	11:29 AM ET	44	56	46	Rain 	30.2	47	82	E	5
Mon Feb  1 18:31:40 2010	Seattle, WA 	11:29 AM ET	39	48	40	 Mostly Cloudy 	29.9	39	92	CLM	0
Mon Feb  1 18:31:42 2010	Milwaukee, WI 	11:29 AM ET	21	28	18	Cloudy 	30.36	21	62	CLM	0
Mon Feb  1 18:31:44 2010	Detroit, MI 	11:29 AM ET	23	30	19	 Sunny 	30.38	23	59	WSW	8
Mon Feb  1 18:31:46 2010	Philadelphia, PA 	11:29 AM ET	31	37	19	 Sunny 	30.35	31	43	WNW	16
Mon Feb  1 19:14:39 2010	San Jose, CA 	12:34 PM ET	49	59	45	 Mostly Cloudy 	29.97	52	83	CLM	0
Mon Feb  1 19:14:41 2010	Charlotte, NC 	12:34 PM ET	41	47	30	 Intermittent Clouds 	30.38	43	64	N	3
Mon Feb  1 19:14:43 2010	San Diego, CA 	12:34 PM ET	58	62	52	 Intermittent Clouds 	30	61	74	NNE	3
Mon Feb  1 19:14:44 2010	Denver, CO 	12:34 PM ET	42	48	16	 Partly Sunny 	29.88	42	30	WNW	12
Mon Feb  1 19:14:46 2010	Memphis, TN 	12:34 PM ET	40	49	32	 Mostly Cloudy 	30.26	42	64	CLM	0
Mon Feb  1 19:14:48 2010	Los Angeles, CA 	12:34 PM ET	57	64	50	 Sunny 	29.97	62	61	CLM	0
Mon Feb  1 19:14:50 2010	El Paso, TX 	12:34 PM ET	51	60	40	 Intermittent Clouds 	29.94	54	65	ESE	5
Mon Feb  1 19:14:55 2010	New York, NY 	12:34 PM ET	32	38	26	 Sunny 	30.24	32	39	WNW	9
Mon Feb  1 19:14:57 2010	Baltimore, MD 	12:34 PM ET	31	38	20	 Intermittent Clouds 	30.35	31	47	W	8
Mon Feb  1 19:14:59 2010	Las Vegas, NV 	12:34 PM ET	47	62	40	 Mostly Sunny 	30.01	48	53	CLM	0
Mon Feb  1 19:15:01 2010	Washington, DC 	12:34 PM ET	34	38	23	Cloudy 	30.39	34	40	WNW	5
Mon Feb  1 19:15:03 2010	Austin, TX 	12:34 PM ET	39	54	41	Showers 	30.17	39	88	NE	3
Mon Feb  1 19:15:04 2010	San Francisco, CA 	12:34 PM ET	51	58	46	 Mostly Cloudy 	29.96	57	89	ENE	8
Mon Feb  1 19:15:06 2010	Oklahoma City, OK 	12:34 PM ET	30	39	27	Fog 	30.1	30	92	S	12
Mon Feb  1 19:15:08 2010	Nashville, TN 	12:34 PM ET	33	47	29	 Intermittent Clouds 	30.33	33	71	S	3
Mon Feb  1 19:15:10 2010	Fort Worth, TX 	12:34 PM ET	35	53	36	Fog 	30.13	35	88	S	7
Mon Feb  1 19:15:13 2010	Phoenix, AZ 	12:34 PM ET	55	68	50	 Intermittent Clouds 	29.98	60	58	E	8
Mon Feb  1 19:15:14 2010	Portland, OR 	12:34 PM ET	41	48	39	Cloudy 	29.91	44	88	CLM	0
Mon Feb  1 19:15:16 2010	Chicago, IL 	12:34 PM ET	25	31	26	Cloudy 	30.34	25	60	CLM	0
Mon Feb  1 19:15:18 2010	San Antonio, TX 	12:34 PM ET	39	50	44	Showers 	30.14	39	93	CLM	0
Mon Feb  1 19:15:20 2010	Indianapolis, IN 	12:34 PM ET	29	38	24	 Intermittent Clouds 	30.34	29	56	SSE	5
Mon Feb  1 19:15:22 2010	Boston, MA 	12:34 PM ET	33	35	17	 Partly Sunny 	30.13	33	31	WSW	14
Mon Feb  1 19:15:24 2010	Jacksonville, FL 	12:34 PM ET	59	61	52	 Sunny 	30.22	61	71	ENE	14
Mon Feb  1 19:15:26 2010	Columbus, OH 	12:34 PM ET	27	37	21	 Sunny 	30.39	27	63	S	5
Mon Feb  1 19:15:28 2010	Dallas, TX 	12:34 PM ET	38	52	35	Cloudy 	30.13	38	82	S	10
Mon Feb  1 19:15:30 2010	Houston, TX 	12:34 PM ET	45	56	46	Rain 	30.16	48	93	E	7
Mon Feb  1 19:15:32 2010	Seattle, WA 	12:34 PM ET	42	48	40	 Partly Sunny 	29.9	45	88	CLM	0
Mon Feb  1 19:15:34 2010	Milwaukee, WI 	12:34 PM ET	23	28	18	Cloudy 	30.35	23	54	CLM	0
Mon Feb  1 19:15:36 2010	Detroit, MI 	12:34 PM ET	25	30	19	 Mostly Cloudy 	30.37	25	55	WSW	9
Mon Feb  1 19:15:38 2010	Philadelphia, PA 	12:34 PM ET	33	37	19	 Sunny 	30.32	33	39	W	9
Mon Feb  1 19:59:29 2010	San Jose, CA 	1:38 PM ET	51	60	45	 Mostly Cloudy 	29.95	56	76	SE	5
Mon Feb  1 19:59:31 2010	Charlotte, NC 	1:38 PM ET	42	47	30	 Mostly Sunny 	30.36	43	52	SW	5
Mon Feb  1 19:59:33 2010	San Diego, CA 	1:38 PM ET	58	63	52	 Intermittent Clouds 	30	61	71	N	5
Mon Feb  1 19:59:35 2010	Denver, CO 	1:38 PM ET	44	48	16	 Partly Sunny 	29.85	44	24	NW	9
Mon Feb  1 19:59:37 2010	Memphis, TN 	1:38 PM ET	44	49	32	 Mostly Cloudy 	30.22	45	57	ESE	6
Mon Feb  1 19:59:39 2010	Los Angeles, CA 	1:38 PM ET	60	64	50	 Sunny 	29.97	64	55	CLM	5
Mon Feb  1 19:59:41 2010	El Paso, TX 	1:38 PM ET	56	60	40	 Partly Sunny 	29.92	59	50	CLM	0
