18	igoogle.wunderground.com										
(Timestamp)	(Location)	(Temperature) (°F)	(Conditions)	Humidity (%)	(Wind Speed)	Wind (variable)	Visibility (miles)	Dew Point (°F)	Precipitation (% Chance of Rain)	Air quality	Pressure (in)
Sat Jan 30 04:06:30 2010	San Jose, California (95101) 	51.0	Rain Mist	100	6.0	East	5.0	51	35	Good 	29.95
Sat Jan 30 04:06:31 2010	Charlotte, North Carolina (28201) 	30.9	Light Snow Mist	94	Calm		2.0	29	22	Good 	30.21
Sat Jan 30 04:06:32 2010	San Diego, California (92101) 	57.7	Haze	82	Calm		6.0	52	0	Moderate 	30.21
Sat Jan 30 04:06:33 2010	Denver, Colorado (80002) 	29.2	Clear	55	Calm		10.0	15	0	Moderate 	30.12
Sat Jan 30 04:06:34 2010	Memphis, Tennessee (37501) 	29.7	Light Freezing Drizzle Mist	59	Calm		3.0	17	100	Good 	30.12
Sat Jan 30 04:06:36 2010	Los Angeles, California (90001) 	57.8	Clear	83	1.0	West	8.0	53	0		30.02
Sat Jan 30 04:06:37 2010	El Paso, Texas (79821) 	42.3	Clear	71	2.3	ENE	10.0	34	11	Good 	30.24
Sat Jan 30 04:06:38 2010	New York, New York (10001) 	21.4	Clear	46	Calm		10.0	4	0	Good 	30.09
Sat Jan 30 04:06:40 2010	Baltimore, Maryland (21201) 	22.9	Overcast	48	5.0	NW	10.0	6	5		30.39
Sat Jan 30 04:06:41 2010	Las Vegas, Nevada (89044) 	47.0	Mostly Cloudy	58	Calm		10.0	33	0	Good 	30.02
Sat Jan 30 04:06:42 2010	Washington, District of Columbia (20001) 	24.4	Overcast	40	7.0	WNW	10.0	4	7	Good 	30.37
Sat Jan 30 04:06:44 2010	Austin, Texas (78701) 	36.7	Scattered Clouds	53	Calm		10.0	21	80	Good 	29.53
Sat Jan 30 04:06:45 2010	San Francisco, California (94101) 	51.9	Light Rain	85	2.0	SSE	10.0	48	51	Moderate 	29.97
Sat Jan 30 04:06:46 2010	Oklahoma City, Oklahoma (73101) 	21.9	Overcast	61	5.0	North	10.0	11	93	Good 	28.73
Sat Jan 30 04:06:47 2010	Nashville, Tennessee (37201) 	26.4	Light Snow Mist	92	9.0	WNW	1.0	24	100	Good 	30.00
Sat Jan 30 04:06:49 2010	Fort Worth, Texas (76101) 	30.3	Overcast	80	10.0	NW	10.0	25	70	Good 	30.14
Sat Jan 30 04:06:50 2010	Phoenix, Arizona (85001) 	54.4	Scattered Clouds	73	Calm		10.0	46	0	Good 	29.99
Sat Jan 30 04:06:51 2010	Portland, Oregon (97201) 	42.6	Overcast	82	2.0	NNE	10.0	38	62	Good 	29.92
Sat Jan 30 04:06:52 2010	Chicago, Illinois (60290) 	20.2	Light Snow	77	4.0	SSE	5.0	14	15	Moderate 	30.36
Sat Jan 30 04:06:54 2010	San Antonio, Texas (78201) 	39.6	Partly Cloudy	58	4.7	NW	10.0	26	60	Good 	29.99
Sat Jan 30 04:06:55 2010	Indianapolis, Indiana (46201) 	17.0	Light Snow	67	2.0	ENE	9.0	8	6		30.32
Sat Jan 30 04:06:56 2010	Boston, Massachusetts (02101) 	12.0	Clear	31	21.0	WNW	10.0	-13	0	Good 	30.09
Sat Jan 30 04:06:58 2010	Jacksonville, Florida (32099) 	54.2	Mostly Cloudy	88	Calm		10.0	51	15	Good 	30.02
Sat Jan 30 04:06:59 2010	Columbus, Ohio (43085) 	13.8	Clear	71	1.0	NE	10.0	6	0	Good 	30.43
Sat Jan 30 04:07:00 2010	Dallas, Texas (75201) 	31.7	Overcast	76	8.0	West	10.0	25	70	Good 	30.16
Sat Jan 30 04:07:02 2010	Houston, Texas (77001) 	40.4	Overcast	81	16.0	NW	10.0	35	30	Good 	30.00
Sat Jan 30 04:07:03 2010	Seattle, Washington (98101) 	50.5	Overcast	65	2.0	SE	10.0	39	40	Good 	29.95
Sat Jan 30 04:07:04 2010	Milwaukee, Wisconsin (53201) 	17.7	Overcast	66	Calm		10.0	8	1	Good 	30.48
Sat Jan 30 04:07:05 2010	Detroit, Michigan (48201) 	15.8	Clear	62	1.0	East	10.0	5	10		30.41
Sat Jan 30 04:07:07 2010	Philadelphia, Pennsylvania (19019) 	20.0	Clear	56	Calm		10.0	7	0	Good 	30.35
Sat Jan 30 04:50:12 2010	San Jose, California (95101) 	52.0	Overcast	97	Calm		10.0	51	35	Good 	29.95
Sat Jan 30 04:50:13 2010	Charlotte, North Carolina (28201) 	30.3	Light Snow Mist	94	Calm		1.5	29	22	Good 	30.20
Sat Jan 30 04:50:14 2010	San Diego, California (92101) 	57.2	Haze	82	Calm		6.0	52	0	Moderate 	30.21
Sat Jan 30 04:50:16 2010	Denver, Colorado (80002) 	27.7	Clear	59	Calm		10.0	15	0	Moderate 	30.12
Sat Jan 30 04:50:17 2010	Memphis, Tennessee (37501) 	29.5	Light Freezing Drizzle Mist	58	Calm		3.0	16	100	Good 	30.12
Sat Jan 30 04:50:18 2010	Los Angeles, California (90001) 	57.2	Haze	85	1.0	West	6.0	53	0		30.02
Sat Jan 30 04:50:22 2010	El Paso, Texas (79821) 	41.4	Clear	72	Calm		10.0	33	11		30.24
Sat Jan 30 04:50:23 2010	New York, New York (10001) 	20.7	Clear	46	Calm		10.0	3	0	Moderate 	30.11
Sat Jan 30 04:50:25 2010	Baltimore, Maryland (21201) 	22.6	Overcast	50	2.0	ENE	10.0	7	5		30.39
Sat Jan 30 04:50:26 2010	Las Vegas, Nevada (89044) 	45.8	Mostly Cloudy	60	Calm		10.0	33	0	Good 	30.02
Sat Jan 30 04:50:27 2010	Washington, District of Columbia (20001) 	24.0	Overcast	42	5.0	West	10.0	4	7	Good 	30.38
Sat Jan 30 04:50:28 2010	Austin, Texas (78701) 	36.0	Scattered Clouds	58	Calm		10.0	23	80		29.56
Sat Jan 30 04:50:29 2010	San Francisco, California (94101) 	52.6	Light Rain	85	Calm		10.0	48	51	Good 	29.97
Sat Jan 30 04:50:31 2010	Oklahoma City, Oklahoma (73101) 	21.6	Overcast	60	6.0	North	10.0	10	93	Good 	28.73
Sat Jan 30 04:50:32 2010	Nashville, Tennessee (37201) 	26.3	Light Snow Mist	93	5.0	West	1.0	25	100	Good 	29.97
Sat Jan 30 04:50:33 2010	Fort Worth, Texas (76101) 	30.1	Overcast	79	6.0	NNW	10.0	24	70		30.14
Sat Jan 30 04:50:35 2010	Phoenix, Arizona (85001) 	53.8	Scattered Clouds	75	Calm		10.0	46	0	Good 	29.99
Sat Jan 30 04:50:36 2010	Portland, Oregon (97201) 	42.6	Overcast	81	3.0	NE	10.0	37	62	Good 	29.92
Sat Jan 30 04:50:37 2010	Chicago, Illinois (60290) 	20.2	Light Snow	71	3.0	SE	6.0	12	15	Moderate 	30.34
Sat Jan 30 04:50:38 2010	San Antonio, Texas (78201) 	38.9	Partly Cloudy	59	3.8	NNW	10.0	26	60		30.01
Sat Jan 30 04:50:40 2010	Indianapolis, Indiana (46201) 	16.9	Light Snow	67	2.0	NE	9.0	8	6		30.29
Sat Jan 30 04:50:41 2010	Boston, Massachusetts (02101) 	12.0	Clear	33	18.0	WNW	10.0	-11	0	Good 	30.09
Sat Jan 30 04:50:42 2010	Jacksonville, Florida (32099) 	55.7	Mostly Cloudy	88	Calm		10.0	52	15	Good 	30.02
Sat Jan 30 04:50:43 2010	Columbus, Ohio (43085) 	14.0	Clear	69	1.0	NE	10.0	6	0	Good 	30.41
Sat Jan 30 04:50:45 2010	Dallas, Texas (75201) 	30.9	Overcast	79	19.0	NW	10.0	25	70		30.17
Sat Jan 30 04:50:46 2010	Houston, Texas (77001) 	40.2	Overcast	80	12.0	NNW	10.0	34	30		30.01
Sat Jan 30 04:50:47 2010	Seattle, Washington (98101) 	49.7	Overcast	71	2.0	West	10.0	41	40	Good 	29.96
Sat Jan 30 04:50:49 2010	Milwaukee, Wisconsin (53201) 	16.8	Overcast	62	Calm		10.0	6	1	Good 	30.46
Sat Jan 30 04:50:50 2010	Detroit, Michigan (48201) 	15.2	Clear	67	2.0	East	10.0	6	10		30.39
Sat Jan 30 04:50:51 2010	Philadelphia, Pennsylvania (19019) 	19.8	Clear	59	Calm		10.0	8	0	Good 	30.35
Sat Jan 30 05:33:59 2010	San Jose, California (95101) 	52.0	Overcast	99	1.0	SSE	10.0	52	35	Good 	29.95
Sat Jan 30 05:34:00 2010	Charlotte, North Carolina (28201) 	30.1	Light Snow	94	2.0	SSE	1.5	29	22	Good 	30.17
Sat Jan 30 05:34:02 2010	San Diego, California (92101) 	55.9	Overcast	84	Calm		10.0	51	0	Moderate 	30.21
Sat Jan 30 05:34:03 2010	Denver, Colorado (80002) 	26.4	Clear	61	Calm		10.0	15	0	Moderate 	30.14
Sat Jan 30 05:34:04 2010	Memphis, Tennessee (37501) 	29.3	Light Freezing Drizzle Mist	56	Calm		5.0	16	100	Good 	30.12
Sat Jan 30 05:34:06 2010	Los Angeles, California (90001) 	56.6	Haze	86	Calm		6.0	52	0		30.02
Sat Jan 30 05:34:07 2010	El Paso, Texas (79821) 	41.4	Clear	74	Calm		10.0	34	11		30.27
Sat Jan 30 05:34:08 2010	New York, New York (10001) 	20.7	Clear	46	Calm		10.0	3	0	Moderate 	30.11
Sat Jan 30 05:34:09 2010	Baltimore, Maryland (21201) 	22.2	Overcast	49	4.0	SSW	10.0	6	5		30.38
Sat Jan 30 05:34:11 2010	Las Vegas, Nevada (89044) 	44.6	Mostly Cloudy	65	Calm		10.0	34	0	Good 	30.01
Sat Jan 30 05:34:12 2010	Washington, District of Columbia (20001) 	23.3	Overcast	43	9.0	North	10.0	4	7	Good 	30.37
Sat Jan 30 05:34:13 2010	Austin, Texas (78701) 	35.6	Mostly Cloudy	60	Calm		10.0	23	80		29.56
Sat Jan 30 05:34:14 2010	San Francisco, California (94101) 	52.0	Light Rain Mist	85	Calm		4.0	48	51	Good 	29.97
Sat Jan 30 05:34:16 2010	Oklahoma City, Oklahoma (73101) 	21.4	Overcast	61	6.0	North	10.0	10	93	Good 	28.73
Sat Jan 30 05:34:17 2010	Nashville, Tennessee (37201) 	26.3	Light Snow Mist	93	4.0	West	1.0	25	100	Good 	29.97
Sat Jan 30 05:34:18 2010	Fort Worth, Texas (76101) 	29.9	Overcast	80	6.0	NW	10.0	24	70		30.14
Sat Jan 30 05:34:20 2010	Phoenix, Arizona (85001) 	53.0	Scattered Clouds	77	Calm		10.0	46	0	Good 	29.99
Sat Jan 30 05:34:21 2010	Portland, Oregon (97201) 	42.5	Overcast	81	Calm		10.0	37	62	Good 	29.92
Sat Jan 30 05:34:22 2010	Chicago, Illinois (60290) 	20.5	Light Snow	69	4.0	SSE	10.0	12	15	Moderate 	30.34
Sat Jan 30 05:34:23 2010	San Antonio, Texas (78201) 	38.4	Clear	60	Calm		10.0	26	60		30.03
Sat Jan 30 05:34:25 2010	Indianapolis, Indiana (46201) 	16.7	Light Snow	65	2.0	NE	9.0	7	6	Good 	30.29
Sat Jan 30 05:34:26 2010	Boston, Massachusetts (02101) 	10.0	Clear	36	17.0	WNW	10.0	-11	0	Good 	30.11
Sat Jan 30 05:34:27 2010	Jacksonville, Florida (32099) 	56.4	Overcast	87	Calm		10.0	53	15	Good 	30.00
Sat Jan 30 05:34:29 2010	Columbus, Ohio (43085) 	14.1	Clear	69	1.0	East	10.0	6	0	Good 	30.41
Sat Jan 30 05:34:30 2010	Dallas, Texas (75201) 	30.7	Overcast	77	13.0	NW	10.0	24	70		30.18
Sat Jan 30 05:34:31 2010	Houston, Texas (77001) 	39.9	Overcast	79	9.0	NW	10.0	34	30		30.02
Sat Jan 30 05:34:32 2010	Seattle, Washington (98101) 	48.7	Overcast	79	2.0	West	10.0	42	40	Good 	29.96
Sat Jan 30 05:34:34 2010	Milwaukee, Wisconsin (53201) 	16.2	Overcast	62	Calm		10.0	6	1	Good 	30.44
Sat Jan 30 05:34:35 2010	Detroit, Michigan (48201) 	15.0	Clear	69	2.0	ESE	10.0	7	10		30.39
Sat Jan 30 05:34:36 2010	Philadelphia, Pennsylvania (19019) 	19.7	Clear	53	1.0	East	10.0	5	0	Good 	30.35
Sat Jan 30 06:17:46 2010	San Jose, California (95101) 	52.0	Overcast	98	Calm		10.0	52	35	Good 	29.96
Sat Jan 30 06:17:47 2010	Charlotte, North Carolina (28201) 	30.0	Light Snow	94	Calm		1.5	28	22	Good 	30.16
Sat Jan 30 06:17:48 2010	San Diego, California (92101) 	54.2	Scattered Clouds	85	1.1	West	10.0	50	0	Moderate 	30.21
Sat Jan 30 06:17:49 2010	Denver, Colorado (80002) 	25.9	Clear	64	Calm		10.0	15	0	Moderate 	30.14
Sat Jan 30 06:17:51 2010	Memphis, Tennessee (37501) 	29.3	Light Freezing Drizzle Mist	54	Calm		6.0	15	100	Good 	30.12
Sat Jan 30 06:17:52 2010	Los Angeles, California (90001) 	55.2	Clear	86	Calm		4.0	51	0		30.03
Sat Jan 30 06:17:53 2010	El Paso, Texas (79821) 	40.5	Clear	75	2.3	ESE	10.0	33	11		30.27
Sat Jan 30 06:17:54 2010	New York, New York (10001) 	20.3	Clear	46	Calm		10.0	3	0	Moderate 	30.09
Sat Jan 30 06:17:56 2010	Baltimore, Maryland (21201) 	21.8	Overcast	50	3.0	South	10.0	6	5		30.38
Sat Jan 30 06:17:57 2010	Las Vegas, Nevada (89044) 	43.9	Mostly Cloudy	65	Calm		10.0	33	0	Good 	30.01
Sat Jan 30 06:17:58 2010	Washington, District of Columbia (20001) 	22.8	Overcast	43	7.0	NNW	10.0	4	7	Good 	30.37
Sat Jan 30 06:17:59 2010	Austin, Texas (78701) 	34.9	Scattered Clouds	61	Calm		10.0	23	80		29.56
Sat Jan 30 06:18:01 2010	San Francisco, California (94101) 	52.3	Overcast	85	Calm		10.0	48	51	Good 	29.98
Sat Jan 30 06:18:02 2010	Oklahoma City, Oklahoma (73101) 	20.7	Overcast	60	6.0	North	10.0	9	93	Good 	28.76
Sat Jan 30 06:18:03 2010	Nashville, Tennessee (37201) 	26.3	Light Ice Pellets Snow Mist	93	9.0	WSW	1.0	25	100	Good 	29.96
Sat Jan 30 06:18:05 2010	Fort Worth, Texas (76101) 	29.7	Overcast	79	10.0	NW	10.0	24	70		30.15
Sat Jan 30 06:18:06 2010	Phoenix, Arizona (85001) 	51.6	Scattered Clouds	80	Calm		10.0	46	0	Good 	30.00
Sat Jan 30 06:18:07 2010	Portland, Oregon (97201) 	42.3	Light Rain	80	2.0	NE	10.0	37	62	Good 	29.92
Sat Jan 30 06:18:08 2010	Chicago, Illinois (60290) 	20.0	Light Snow	68	4.0	SSE	9.0	11	15	Moderate 	30.34
Sat Jan 30 06:18:10 2010	San Antonio, Texas (78201) 	38.1	Clear	60	1.1	NNW	10.0	26	60		30.04
Sat Jan 30 06:18:11 2010	Indianapolis, Indiana (46201) 	16.6	Light Snow	65	6.0	NE	9.0	7	6	Good 	30.27
Sat Jan 30 06:18:12 2010	Boston, Massachusetts (02101) 	10.0	Clear	36	18.0	WNW	10.0	-11	0	Good 	30.10
Sat Jan 30 06:18:14 2010	Jacksonville, Florida (32099) 	57.0	Overcast	86	Calm		10.0	53	15	Good 	29.99
Sat Jan 30 06:18:15 2010	Columbus, Ohio (43085) 	14.0	Clear	69	1.0	ENE	10.0	6	0	Good 	30.38
Sat Jan 30 06:18:16 2010	Dallas, Texas (75201) 	30.5	Overcast	76	15.0	NW	10.0	24	70		30.18
Sat Jan 30 06:18:18 2010	Houston, Texas (77001) 	39.6	Overcast	78	14.0	NNW	10.0	33	30		30.02
Sat Jan 30 06:18:19 2010	Seattle, Washington (98101) 	48.5	Overcast	79	2.0	WNW	10.0	42	40	Good 	29.97
Sat Jan 30 06:18:20 2010	Milwaukee, Wisconsin (53201) 	15.9	Overcast	61	Calm		10.0	5	1	Good 	30.44
Sat Jan 30 06:18:22 2010	Detroit, Michigan (48201) 	14.8	Clear	68	2.0	SW	10.0	6	10		30.38
Sat Jan 30 06:18:24 2010	Philadelphia, Pennsylvania (19019) 	19.4	Clear	51	1.0	NNW	10.0	4	0	Good 	30.34
Sat Jan 30 07:03:23 2010	San Jose, California (95101) 	51.0	Mostly Cloudy	100	Calm		10.0	51	35	Good 	29.98
Sat Jan 30 07:03:24 2010	Charlotte, North Carolina (28201) 	29.7	Light Snow Mist	94	Calm		1.5	28	22	Good 	30.14
Sat Jan 30 07:03:25 2010	San Diego, California (92101) 	54.3	Partly Cloudy	85	Calm		8.0	50	0	Moderate 	30.22
Sat Jan 30 07:03:27 2010	Denver, Colorado (80002) 	25.2	Clear	64	Calm		10.0	15	0	Good 	30.15
Sat Jan 30 07:03:28 2010	Memphis, Tennessee (37501) 	28.9	Light Freezing Drizzle	56	Calm		7.0	15	100	Good 	30.15
Sat Jan 30 07:03:29 2010	Los Angeles, California (90001) 	54.3	Clear	87	Calm		4.0	50	0		30.02
Sat Jan 30 07:03:31 2010	El Paso, Texas (79821) 	40.5	Clear	75	1.1	ENE	10.0	33	11		30.27
Sat Jan 30 07:03:32 2010	New York, New York (10001) 	19.9	Clear	46	5.4	NNW	10.0	2	0	Good 	30.09
Sat Jan 30 07:03:33 2010	Baltimore, Maryland (21201) 	21.6	Overcast	50	3.0	NNE	10.0	6	5		30.38
Sat Jan 30 07:03:36 2010	Las Vegas, Nevada (89044) 	44.6	Mostly Cloudy	64	Calm		10.0	33	0	Good 	30.00
Sat Jan 30 07:03:37 2010	Washington, District of Columbia (20001) 	22.3	Overcast	45	7.0	WNW	10.0	4	7	Good 	30.35
Sat Jan 30 07:03:38 2010	Austin, Texas (78701) 	34.0	Clear	61	Calm		10.0	22	80		29.56
Sat Jan 30 07:03:40 2010	San Francisco, California (94101) 	51.9	Overcast	85	2.0	West	10.0	48	51	Good 	29.99
Sat Jan 30 07:03:41 2010	Oklahoma City, Oklahoma (73101) 	20.5	Overcast	61	6.0	North	10.0	9	93	Good 	28.73
Sat Jan 30 07:03:42 2010	Nashville, Tennessee (37201) 	25.3	Light Ice Pellets Mist	89	2.0	NNE	2.5	22	100	Good 	29.95
Sat Jan 30 07:03:43 2010	Fort Worth, Texas (76101) 	29.6	Overcast	80	6.0	NNW	10.0	24	70		30.15
Sat Jan 30 07:03:44 2010	Phoenix, Arizona (85001) 	51.0	Scattered Clouds	82	Calm		10.0	46	0	Good 	30.00
Sat Jan 30 07:03:46 2010	Portland, Oregon (97201) 	42.5	Light Rain	79	Calm		10.0	36	62	Good 	29.92
Sat Jan 30 07:03:47 2010	Chicago, Illinois (60290) 	20.2	Light Snow	67	4.0	SE	9.0	11	15	Moderate 	30.33
Sat Jan 30 07:03:48 2010	San Antonio, Texas (78201) 	37.5	Clear	61	Calm		10.0	25	60		30.03
Sat Jan 30 07:03:50 2010	Indianapolis, Indiana (46201) 	16.2	Light Snow	64	6.0	NE	10.0	6	6	Good 	30.26
Sat Jan 30 07:03:51 2010	Boston, Massachusetts (02101) 	9.0	Partly Cloudy	39	22.0	WNW	10.0	-11	0	Good 	30.10
Sat Jan 30 07:03:52 2010	Jacksonville, Florida (32099) 	57.4	Overcast	85	Calm		10.0	53	15	Good 	29.98
Sat Jan 30 07:03:53 2010	Columbus, Ohio (43085) 	13.9	Clear	68	2.0	East	10.0	5	0	Good 	30.37
Sat Jan 30 07:03:55 2010	Dallas, Texas (75201) 	30.4	Overcast	77	14.0	NW	10.0	24	70		30.18
Sat Jan 30 07:03:56 2010	Houston, Texas (77001) 	38.9	Overcast	79	9.0	NNW	10.0	33	30		30.02
Sat Jan 30 07:03:57 2010	Seattle, Washington (98101) 	48.2	Overcast	78	Calm		10.0	42	40	Good 	29.97
Sat Jan 30 07:03:58 2010	Milwaukee, Wisconsin (53201) 	15.4	Overcast	62	Calm		10.0	5	1	Good 	30.45
Sat Jan 30 07:03:59 2010	Detroit, Michigan (48201) 	14.4	Clear	67	2.0	East	10.0	5	10		30.38
Sat Jan 30 07:04:01 2010	Philadelphia, Pennsylvania (19019) 	19.2	Clear	50	1.0	WNW	10.0	4	0	Good 	30.35
Sat Jan 30 07:46:55 2010	San Jose, California (95101) 	51.0	Mostly Cloudy	100	Calm		10.0	51	35	Good 	29.99
Sat Jan 30 07:46:56 2010	Charlotte, North Carolina (28201) 	29.3	Light Snow Mist	94	1.0	East	1.5	28	22	Good 	30.11
Sat Jan 30 07:46:57 2010	San Diego, California (92101) 	52.8	Partly Cloudy	88	Calm		8.0	49	0	Moderate 	30.22
Sat Jan 30 07:46:58 2010	Denver, Colorado (80002) 	23.9	Clear	65	Calm		10.0	14	0	Good 	30.15
Sat Jan 30 07:47:00 2010	Memphis, Tennessee (37501) 	27.9	Light Freezing Rain Mist	53	Calm		6.0	13	100	Good 	30.15
Sat Jan 30 07:47:01 2010	Los Angeles, California (90001) 	53.6	Clear	88	4.0	WNW	4.0	50	0		30.02
Sat Jan 30 07:47:02 2010	El Paso, Texas (79821) 	40.3	Clear	74	Calm		10.0	33	11		30.27
Sat Jan 30 07:47:04 2010	New York, New York (10001) 	19.9	Clear	46	3.1	SSE	10.0	2	0	Good 	30.09
Sat Jan 30 07:47:05 2010	Baltimore, Maryland (21201) 	21.5	Overcast	51	2.0	SW	10.0	6	5		30.37
Sat Jan 30 07:47:06 2010	Las Vegas, Nevada (89044) 	45.1	Mostly Cloudy	63	Calm		10.0	33	0	Good 	29.98
Sat Jan 30 07:47:07 2010	Washington, District of Columbia (20001) 	21.5	Overcast	46	8.0	North	10.0	4	7	Good 	30.35
Sat Jan 30 07:47:09 2010	Austin, Texas (78701) 	33.6	Clear	62	Calm		10.0	22	80		29.56
Sat Jan 30 07:47:10 2010	San Francisco, California (94101) 	51.5	Overcast	86	Calm		10.0	48	51	Good 	29.99
Sat Jan 30 07:47:11 2010	Oklahoma City, Oklahoma (73101) 	20.8	Overcast	61	6.0	North	10.0	10	93	Good 	28.76
Sat Jan 30 07:47:13 2010	Nashville, Tennessee (37201) 	25.0	Light Snow Mist	89	1.0	NE	2.5	22	100	Good 	29.93
Sat Jan 30 07:47:14 2010	Fort Worth, Texas (76101) 	29.1	Overcast	79	10.0	North	10.0	23	70		30.15
Sat Jan 30 07:47:15 2010	Phoenix, Arizona (85001) 	50.2	Scattered Clouds	84	Calm		10.0	46	0	Good 	29.99
Sat Jan 30 07:47:16 2010	Portland, Oregon (97201) 	42.3	Light Rain	79	3.0	NE	10.0	36	62	Good 	29.92
Sat Jan 30 07:47:18 2010	Chicago, Illinois (60290) 	19.5	Light Snow	63	4.0	SE	9.0	9	15	Moderate 	30.33
Sat Jan 30 07:47:19 2010	San Antonio, Texas (78201) 	37.0	Clear	62	4.5	NNW	10.0	25	60		30.02
Sat Jan 30 07:47:20 2010	Indianapolis, Indiana (46201) 	16.1	Light Snow	65	4.0	ENE	10.0	6	6	Good 	30.23
Sat Jan 30 07:47:21 2010	Boston, Massachusetts (02101) 	9.0	Partly Cloudy	39	20.0	WNW	10.0	-11	0		30.11
Sat Jan 30 07:47:22 2010	Jacksonville, Florida (32099) 	57.5	Overcast	87	Calm		10.0	54	15	Good 	29.96
Sat Jan 30 07:47:24 2010	Columbus, Ohio (43085) 	14.0	Clear	69	1.0	NE	10.0	6	0	Good 	30.36
Sat Jan 30 07:47:25 2010	Dallas, Texas (75201) 	29.8	Overcast	77	22.0	NW	10.0	24	70		30.18
Sat Jan 30 07:47:26 2010	Houston, Texas (77001) 	38.0	Overcast	80	11.0	WNW	10.0	32	30		30.01
Sat Jan 30 07:47:28 2010	Seattle, Washington (98101) 	47.1	Overcast	84	1.0	SE	10.0	42	40	Moderate 	29.97
Sat Jan 30 07:47:29 2010	Milwaukee, Wisconsin (53201) 	15.4	Overcast	64	Calm		10.0	5	1	Good 	30.44
Sat Jan 30 07:47:30 2010	Detroit, Michigan (48201) 	14.5	Clear	66	2.0	NE	10.0	5	10		30.37
Sat Jan 30 07:47:31 2010	Philadelphia, Pennsylvania (19019) 	18.8	Clear	52	1.0	NW	10.0	4	0	Good 	30.37
Sat Jan 30 08:29:59 2010	San Jose, California (95101) 	51.0	Mostly Cloudy	100	Calm		10.0	51	35	Good 	29.98
Sat Jan 30 08:30:01 2010	Charlotte, North Carolina (28201) 	29.1	Light Freezing Rain Snow Ice Pellets Mist	93	1.0	East	1.5	27	22	Good 	30.12
Sat Jan 30 08:30:02 2010	San Diego, California (92101) 	52.7	Haze	89	Calm		6.0	50	0	Moderate 	30.21
Sat Jan 30 08:30:03 2010	Denver, Colorado (80002) 	22.9	Clear	70	Calm		10.0	15	0	Good 	30.15
Sat Jan 30 08:30:05 2010	Memphis, Tennessee (37501) 	27.3	Light Snow Mist	52	Calm		6.0	12	100	Good 	30.15
Sat Jan 30 08:30:06 2010	Los Angeles, California (90001) 	53.0	Clear	87	Calm		4.0	49	0		30.02
Sat Jan 30 08:30:07 2010	El Paso, Texas (79821) 	39.4	Partly Cloudy	75	Calm		10.0	32	11		30.27
Sat Jan 30 08:30:09 2010	New York, New York (10001) 	19.9	Clear	46	Calm		10.0	2	0	Good 	30.11
Sat Jan 30 08:30:10 2010	Baltimore, Maryland (21201) 	21.2	Overcast	52	2.0	SW	10.0	6	5		30.36
Sat Jan 30 08:30:11 2010	Las Vegas, Nevada (89044) 	43.6	Mostly Cloudy	68	Calm		10.0	34	0	Good 	29.97
Sat Jan 30 08:30:12 2010	Washington, District of Columbia (20001) 	21.5	Overcast	47	6.0	North	10.0	4	7	Good 	30.34
Sat Jan 30 08:30:14 2010	Austin, Texas (78701) 	33.3	Clear	63	Calm		10.0	22	80		29.56
Sat Jan 30 08:30:15 2010	San Francisco, California (94101) 	51.9	Overcast	85	Calm		10.0	48	51	Good 	29.99
Sat Jan 30 08:30:16 2010	Oklahoma City, Oklahoma (73101) 	21.0	Overcast	61	6.0	North	10.0	10	93		28.76
Sat Jan 30 08:30:17 2010	Nashville, Tennessee (37201) 	25.1	Light Snow Mist	89	2.0	NE	2.5	22	100	Good 	29.91
Sat Jan 30 08:30:18 2010	Fort Worth, Texas (76101) 	28.7	Overcast	79	14.0	NNW	10.0	23	70		30.16
Sat Jan 30 08:30:20 2010	Phoenix, Arizona (85001) 	49.9	Mostly Cloudy	84	Calm		10.0	45	0	Good 	29.98
Sat Jan 30 08:30:21 2010	Portland, Oregon (97201) 	41.9	Light Rain	81	1.0	NNE	10.0	36	62	Good 	29.92
Sat Jan 30 08:30:22 2010	Chicago, Illinois (60290) 	19.4	Light Snow	62	3.0	ESE	9.0	8	15	Moderate 	30.32
Sat Jan 30 08:30:23 2010	San Antonio, Texas (78201) 	36.7	Clear	62	6.9	North	10.0	25	60		30.01
Sat Jan 30 08:30:25 2010	Indianapolis, Indiana (46201) 	15.9	Overcast	64	Calm		10.0	6	6	Good 	30.22
Sat Jan 30 08:30:26 2010	Boston, Massachusetts (02101) 	9.0	Partly Cloudy	39	22.0	WNW	10.0	-11	0		30.14
Sat Jan 30 08:30:27 2010	Jacksonville, Florida (32099) 	57.8	Overcast	89	Calm		10.0	55	15	Good 	29.94
Sat Jan 30 08:30:28 2010	Columbus, Ohio (43085) 	13.9	Clear	68	1.0	East	10.0	5	0	Good 	30.34
Sat Jan 30 08:30:30 2010	Dallas, Texas (75201) 	29.4	Overcast	78	12.0	NW	10.0	23	70		30.19
Sat Jan 30 08:30:31 2010	Houston, Texas (77001) 	37.4	Overcast	78	7.0	NW	10.0	31	30		30.02
Sat Jan 30 08:30:32 2010	Seattle, Washington (98101) 	45.9	Light Rain	86	Calm		10.0	42	40	Moderate 	29.97
Sat Jan 30 08:30:33 2010	Milwaukee, Wisconsin (53201) 	15.2	Light Snow	66	Calm		9.0	6	1		30.43
Sat Jan 30 08:30:35 2010	Detroit, Michigan (48201) 	14.3	Clear	67	2.0	ENE	10.0	5	10		30.36
