1	www.uswx.com													
(Timestamp)	(Location)	(City & Timestamp)	Temperature (°F °C)	Dew Point (°F °C)	Humidity (%)	Pressure (in mb)	Wind Speed (MPH kts) 	Wind Dir	Ceiling (ft m)	Visibility (mi km)	Wind Chill (°F °C)	Conditions	Remarks	TypeIssue TimeExpire TimeExpires  
Fri Jan 29 15:07:10 2010	Houston (77001)	Houston, TX (KHOU) as of 8:02am CST (5 mago)	57 14 	55 13 	94	29.83 1010 	17 G 2415 G 21	NNW330	 7000 2134	10 16.1	--	Light Rain	Trace precipitation last hour.	
Fri Jan 29 15:07:12 2010	Seattle (98101)	Seattle, WA (KBFI) as of 5:53am PST (14 mago)	44 7 	37 3 	76	29.96 1014.7 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Few Clouds	No  this hour.	
Fri Jan 29 15:07:14 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 7:52am CST (15 mago)	16-Apr	-8 -22 	57	30.56 1035 	7 6 	NW320	 Unlimited Unlimited	10 16.1	-8 -22 	Mostly Clear	No  this hour.	
Fri Jan 29 15:07:16 2010	Detroit (48201)	Detroit, MI (KDET) as of 8:53am EST (14 mago)	12-Oct	0 -18 	63	30.51 1033.2 	6 5 	WNW300	 Unlimited Unlimited	10 16.1	0 -18 	Clear	No  this hour.	
Fri Jan 29 15:07:18 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 8:54am EST (13 mago)	18 -8 	0 -18 	43	30.38 1028.9 	15 G 2413 G 21	NW320	 14000 4267	10 16.1	16-Apr	Mostly Cloudy	No  this hour.	
Fri Jan 29 15:51:52 2010	San Jose (95101)	San Jose, CA (KSJC) as of 5:53am PST (58 mago)	44 7 	42 6 	93	30.01 1016.3 	Calm Calm	--	 14000 4267	9 14.5	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 15:51:54 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 8:52am EST (59 mago)	39 4 	17 -8 	41	30.28 1025.3 	12 10 	ENE60	 14000 4267	10 16.1	32 0 	Mostly Cloudy	No  this hour.	Winter Storm Warning Fri, Jan 29, 3:28am EST Fri, Jan 29, 12:00pm EST 2 hrs, 8 minsNational Weather Service 
Fri Jan 29 15:51:56 2010	San Diego (92101)	San Diego, CA (KSAN) as of 5:51am PST (60 mago)	51 11 	45 7 	79	30.05 1017.5 	Calm Calm	--	 Unlimited Unlimited	9 14.5	--	Clear	No  this hour.	
Fri Jan 29 15:51:57 2010	Denver (80214)	Broomfield, CO (KBJC) as of 6:50am MST (61 mago)	25 -4 	23 -5 	93	30.03 1017 	Calm Calm	--	 Unlimited Unlimited	3 4.8	--	 Fog	No  this hour.	
Fri Jan 29 15:51:59 2010	Memphis (37501)	Memphis, TN (KMEM) as of 8:02am CST (50 mago)	30 -1 	24 -4 	80	30.24 1024 	15 13 	ENE70	 4800 1463	8 12.9	19 -7 	Light Freezing Rain, Ice Pellets	0.01" of precipitation last hour.	Winter Storm Warning Fri, Jan 29, 4:24am CST Fri, Jan 29, 12:30pm CST 3 hrs, 37 mins  Other Statement Fri, Jan 29, 5:42am CST Sat, Jan 30, 6:00am CST 21 hrs, 7 minsNational Weather Service Forecast 
Fri Jan 29 15:52:01 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 5:53am PST (59 mago)	51 11 	42 6 	71	30.04 1017.3 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 15:52:03 2010	El Paso (79901)	El Paso, TX (KELP) as of 7:19am MST (33 mago)	30 -1 	24 -4 	80	30.15 1021 	7 6 	N10	 3800 1158	10 16.1	23 -5 	Mostly Cloudy	No  this hour.	
Fri Jan 29 15:52:05 2010	New York (10001)	New York City, NY (KNYC) as of 8:51am EST (61 mago)	16 -9 	-2 -19 	45	30.29 1025.7 	17 G 2815 G 24	WNW290	 Unlimited Unlimited	10 16.1	0 -18 	Clear	Lightning detector not working.	
Fri Jan 29 15:52:06 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 8:54am EST (58 mago)	19 -7 	17-Jan	47	30.42 1030.1 	8 7 	NW310	 14000 4267	10 16.1	13-Sep	Mostly Cloudy	No  this hour.	
Fri Jan 29 15:52:08 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 5:53am PST (59 mago)	41 5 	32 0 	70	30.07 1018.4 	3 3 	WNW300	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 15:52:10 2010	Washington (20001)	Washington DC, VA (KDCA) as of 8:52am EST (60 mago)	21 -6 	17-Jan	41	30.44 1030.9 	16 14 	NNW330	 20000 6096	10 16.1	14-Jul	Cloudy	No  this hour.	
Fri Jan 29 15:52:12 2010	Aust(73301)	AustCity, TX (KATT) as of 8:25am CST (27 mago)	39 4 	37 3 	93	30.06 1018 	9 G 188 G 16	NNW330	 7500 2286	7 11.3	33 1 	Light Rain	0.02" of precipitation last hour.	Flood Statement Fri, Jan 29, 7:39am CST Fri, Jan 29, 10:30am CST 1 hr, 37 mins  Other Statement Fri, Jan 29, 8:22am CST Fri, Jan 29, 9:30am CST 37 minsNational Weather Service 
Fri Jan 29 15:52:14 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 5:56am PST (56 mago)	48 9 	46 8 	96	30.01 1016.1 	Calm Calm	--	 18000 5486	6 9.7	--	 Mist	No  this hour.	
Fri Jan 29 15:52:16 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 7:52am CST (60 mago)	25 -4 	21 -6 	85	30.14 1020.7 	14 G 2312 G 20	NNE20	 800 244	1 1.6	13 -11 	Light Snow, Mist	0.02" of precipitation last hour.1" inches of snow on ground at 5:52am CST .	Winter Storm Warning Fri, Jan 29, 3:47am CST Fri, Jan 29, 12:00pm CST 3 hrs, 7 minsNational Weather Service 
Fri Jan 29 15:52:18 2010	Nashville (37201)	Nashville, TN (KBNA) as of 7:53am CST (59 mago)	28 -2 	14 -10 	55	30.35 1027.6 	10 9 	NE40	 7000 2134	9 14.5	19 -7 	Light Snow	Trace precipitation last hour.	Winter Storm Warning Fri, Jan 29, 4:18am CST Fri, Jan 29, 4:00pm CST 7 hrs, 7 minsNational Weather Service Forecast 
Fri Jan 29 15:52:20 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 7:53am CST (59 mago)	36 2 	33 1 	89	30.05 1017.6 	15 G 2313 G 20	NW320	 900 274	10 16.1	27 -3 	Light Rain	Pressure rising rapidly. 0.04" of precipitation last hour. Lightning detector not working.	
Fri Jan 29 15:52:22 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 6:51am MST (61 mago)	51 11 	48 9 	89	30.01 1016.4 	3 3 	ESE110	 Unlimited Unlimited	10 16.1	--	Mostly Clear	No  this hour.	
Fri Jan 29 15:52:23 2010	Portland (97201)	Portland, OR (KPDX) as of 5:53am PST (59 mago)	47 8 	36 2 	65	29.98 1015.1 	9 8 	ESE120	 10000 3048	10 16.1	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 15:52:25 2010	Chicago (60601)	Chicago, IL (KMDW) as of 7:51am CST (61 mago)	14-Jun	-6 -21 	57	30.59 1036 	5 4 	WNW300	 25000 7620	10 16.1	-3 -19 	Mostly Cloudy	No  this hour.	
Fri Jan 29 15:52:27 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 7:53am CST (59 mago)	41 5 	39 4 	93	30.02 1016.5 	14 G 2412 G 21	NNW340	 6000 1829	4 6.4	--	 Rain, Mist	0.09" of precipitation last hour.	
Fri Jan 29 15:52:29 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 8:54am EST (58 mago)	13 -11 	16-Mar	67	30.49 1032.5 	8 7 	NE40	 13000 3962	10 16.1	17-Feb	Cloudy	No  this hour.1" inches of snow on ground at 	
Fri Jan 29 15:52:31 2010	Boston (02101)	Boston, MA (KBOS) as of 8:54am EST (58 mago)	14 -10 	-7 -22 	38	30.02 1016.7 	25 G 3522 G 30	W280	 Unlimited Unlimited	10 16.1	-5 -21 	Clear	Peak Wind: 37 kts from 280 (13:13 GMT).	High Wind Statement Fri, Jan 29, 4:21am EST Fri, Jan 29, 12:30pm EST 2 hrs, 37 minsNational Weather Service 
Fri Jan 29 15:52:33 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 8:53am EST (59 mago)	54 12 	46 8 	77	30.18 1022 	5 4 	N10	 15000 4572	9 14.5	--	Cloudy	Trace precipitation last hour.	
Fri Jan 29 15:52:37 2010	Coluus (43085)	Coluus, OH (KOSU) as of 8:53am EST (59 mago)	12-Oct	0 -18 	61	30.52 1033.4 	7 6 	NNE20	 Unlimited Unlimited	10 16.1	-1 -18 	Clear	No  this hour.	
Fri Jan 29 15:52:39 2010	Dallas (75201)	Dallas, TX (KDAL) as of 8:40am CST (12 mago)	37 3 	35 2 	93	30.06 1018 	9 8 	NNW340	 1600 488	6 9.7	31 -1 	Light Rain, Mist	0	Flood Warning Thu, Jan 28, 9:49pm CST Fri, Jan 29, 9:49am CST 56 mins  Flood Warning Thu, Jan 28, 10:00pm CST Fri, Jan 29, 10:00am CST 1 hr, 7 mins  Flood Statement Fri, Jan 29, 3:29am CST Fri, Jan 29, 3:29pm CST 6 hrs, 36 mins  Flood Statement Fri, Jan 29, 8:04am CST Fri, Jan 29, 8:03pm CST 11 hrs, 10 minsNational Weather Service Forecast 
Fri Jan 29 15:52:41 2010	Houston (77001)	Houston, TX (KHOU) as of 8:22am CST (30 mago)	57 14 	55 13 	94	29.85 1011 	13 11 	NW320	 6500 1981	8 12.9	--	Light Rain	Pressure rising rapidly. 0.01" of precipitation last hour.	
Fri Jan 29 15:52:43 2010	Seattle (98101)	Seattle, WA (KBFI) as of 5:53am PST (59 mago)	44 7 	37 3 	76	29.96 1014.7 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Few Clouds	No  this hour.	
Fri Jan 29 15:52:45 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 7:52am CST (60 mago)	16-Apr	-8 -22 	57	30.56 1035 	7 6 	NW320	 Unlimited Unlimited	10 16.1	-8 -22 	Mostly Clear	No  this hour.	
Fri Jan 29 15:52:46 2010	Detroit (48201)	Detroit, MI (KDET) as of 8:53am EST (59 mago)	12-Oct	0 -18 	63	30.51 1033.2 	6 5 	WNW300	 Unlimited Unlimited	10 16.1	0 -18 	Clear	No  this hour.	
Fri Jan 29 15:52:54 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 8:54am EST (58 mago)	18 -8 	0 -18 	43	30.38 1028.9 	15 G 2413 G 21	NW320	 14000 4267	10 16.1	16-Apr	Mostly Cloudy	No  this hour.	
Fri Jan 29 16:39:38 2010	San Jose (95101)	San Jose, CA (KSJC) as of 6:53am PST (46 mago)	45 7 	43 6 	93	30.01 1016.4 	Calm Calm	--	 14000 4267	9 14.5	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 16:39:40 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 9:52am EST (47 mago)	40 4 	15 -9 	36	30.28 1025.4 	10 G 219 G 18	E90	 14000 4267	10 16.1	33 1 	Mostly Cloudy	No  this hour.	Winter Storm Warning Fri, Jan 29, 3:28am EST Fri, Jan 29, 12:00pm EST 1 hr, 20 mins  Winter Storm Warning Fri, Jan 29, 10:37am EST Fri, Jan 29, 6:45pm EST 8 hrs, 5 minsNational Weather Service 
Fri Jan 29 16:39:41 2010	San Diego (92101)	San Diego, CA (KSAN) as of 6:51am PST (48 mago)	51 11 	44 7 	77	30.06 1017.8 	Calm Calm	--	 25000 7620	10 16.1	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 16:39:43 2010	Denver (80214)	Broomfield, CO (KBJC) as of 7:48am MST (51 mago)	23 -5 	21 -6 	93	30.03 1017 	Calm Calm	--	 Unlimited Unlimited	3 4.8	--	 Mist	No  this hour.	
Fri Jan 29 16:39:46 2010	Memphis (37501)	Memphis, TN (KMEM) as of 9:36am CST (3 mago)	30 -1 	26 -3 	86	30.27 1025 	14 12 	ENE60	 2900 884	2 3.2	20 -7 	Heavy Ice Pellets,Snow, Mist	0.08" of precipitation last hour.	Winter Storm Warning Fri, Jan 29, 4:24am CST Fri, Jan 29, 12:30pm CST 2 hrs, 50 mins  Winter Storm Warning Fri, Jan 29, 8:58am CST Fri, Jan 29, 4:00pm CST 6 hrs, 20 mins  Other Statement Fri, Jan 29, 5:42am CST Sat, Jan 30, 6:00am CST 20 hrs, 20 minsNational Weather Service Forecast 
Fri Jan 29 16:39:48 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 6:53am PST (46 mago)	51 11 	42 6 	71	30.05 1017.6 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 16:39:50 2010	El Paso (79901)	El Paso, TX (KELP) as of 7:51am MST (48 mago)	30 -1 	24 -4 	80	30.15 1021 	7 6 	N10	 3800 1158	10 16.1	23 -5 	Mostly Cloudy	No  this hour.	
Fri Jan 29 16:39:52 2010	New York (10001)	New York City, NY (KNYC) as of 9:51am EST (48 mago)	18 -8 	-4 -20 	37	30.29 1025.9 	13 G 2611 G 23	WNW290	 Unlimited Unlimited	10 16.1	15-May	Clear	Lightning detector not working.	
Fri Jan 29 16:39:54 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 9:54am EST (45 mago)	20 -7 	17-Jan	43	30.43 1030.6 	14 G 2012 G 17	NW310	 20000 6096	10 16.1	14-Jul	Cloudy	No  this hour.	
Fri Jan 29 16:39:57 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 6:53am PST (46 mago)	42 6 	30 -1 	64	30.08 1018.6 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 16:39:59 2010	Washington (20001)	Washington DC, VA (KDCA) as of 9:52am EST (48 mago)	22 -6 	17-Jan	42	30.45 1031.3 	15 13 	NNW340	 20000 6096	10 16.1	13-Sep	Cloudy	No  this hour.	
Fri Jan 29 16:40:01 2010	Aust(73301)	AustCity, TX (KATT) as of 9:19am CST (21 mago)	39 4 	37 3 	93	30.06 1018 	10 G 229 G 19	NNW330	 9000 2743	10 16.1	32 0 	Cloudy	0.02" of precipitation last hour.	Flood Statement Fri, Jan 29, 7:39am CST Fri, Jan 29, 10:30am CST 49 mins  Other Statement Fri, Jan 29, 8:22am CST Fri, Jan 29, 9:30am CST EXPIREDNational Weather Service Forecast 
Fri Jan 29 16:40:03 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 6:56am PST (44 mago)	48 9 	46 8 	93	30.01 1016.2 	5 4 	SSW210	 18000 5486	7 11.3	--	Cloudy	No  this hour.	
Fri Jan 29 16:40:05 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 8:52am CST (48 mago)	24 -4 	19 -7 	84	30.14 1020.5 	17 15 	N10	 800 244	1 1.6	12-Nov	Light Snow, Mist	Trace precipitation last hour.3 hour precipitation ending 8:52am CST : 0.02"	Winter Storm Warning Fri, Jan 29, 3:47am CST Fri, Jan 29, 12:00pm CST 2 hrs, 19 minsNational Weather Service Forecast 
Fri Jan 29 16:40:06 2010	Nashville (37201)	Nashville, TN (KBNA) as of 9:20am CST (20 mago)	25 -4 	19 -7 	80	30.36 1028 	10 9 	NNE30	 3900 1189	1 1.6	15 -9 	Light Snow	0.01" of precipitation last hour.	Winter Storm Warning Fri, Jan 29, 4:18am CST Fri, Jan 29, 4:00pm CST 6 hrs, 19 minsNational Weather Service Forecast 
Fri Jan 29 16:40:08 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 8:53am CST (47 mago)	35 2 	32 0 	88	30.08 1018.7 	15 13 	NW310	 900 274	7 11.3	26 -3 	 Rain	0.04" of precipitation last hour. Lightning detector not working.	
Fri Jan 29 16:40:10 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 7:51am MST (49 mago)	51 11 	48 9 	89	30.03 1016.9 	3 3 	E90	 Unlimited Unlimited	10 16.1	--	Mostly Clear	No  this hour.	
Fri Jan 29 16:40:13 2010	Portland (97201)	Portland, OR (KPDX) as of 6:53am PST (47 mago)	49 9 	35 2 	58	29.97 1014.8 	13 11 	ESE120	 25000 7620	10 16.1	--	Cloudy	No  this hour.	
Fri Jan 29 16:40:14 2010	Chicago (60601)	Chicago, IL (KMDW) as of 8:51am CST (49 mago)	13-Sep	-4 -20 	55	30.58 1035.4 	5 4 	N360	 25000 7620	10 16.1	17-Jan	Mostly Cloudy	No  this hour.	
Fri Jan 29 16:40:16 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 8:53am CST (47 mago)	42 6 	37 3 	85	30.02 1016.5 	17 G 2515 G 22	NNW340	 7500 2286	8 12.9	--	Light Rain	0.01" of precipitation last hour.	
Fri Jan 29 16:40:18 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 9:54am EST (46 mago)	14 -10 	16-Mar	64	30.53 1033.8 	6 5 	NE50	 13000 3962	10 16.1	15-May	Cloudy	No  this hour.	
Fri Jan 29 16:40:20 2010	Boston (02101)	Boston, MA (KBOS) as of 9:54am EST (46 mago)	15 -9 	-7 -22 	37	30.04 1017.3 	25 G 3722 G 32	W280	 Unlimited Unlimited	10 16.1	-4 -20 	Clear	Peak Wind: 39 kts from 270 (14:17 GMT).	High Wind Statement Fri, Jan 29, 4:21am EST Fri, Jan 29, 12:30pm EST 1 hr, 49 mins  Other Statement Fri, Jan 29, 10:17am EST Fri, Jan 29, 6:00pm EST 7 hrs, 19 minsNational Weather Service 
Fri Jan 29 16:40:22 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 9:53am EST (47 mago)	55 13 	44 7 	66	30.19 1022.2 	5 4 	SE130	 25000 7620	9 14.5	--	Cloudy	No  this hour.	
Fri Jan 29 16:40:24 2010	Coluus (43085)	Coluus, OH (KOSU) as of 9:53am EST (47 mago)	12-Nov	0 -18 	58	30.52 1033.4 	6 5 	NNE30	 Unlimited Unlimited	10 16.1	17-Jan	Clear	No  this hour.	
Fri Jan 29 16:40:26 2010	Dallas (75201)	Dallas, TX (KDAL) as of 9:33am CST (7 mago)	37 3 	35 2 	93	30.06 1018 	7 6 	N350	 3500 1067	6 9.7	32 0 	Light Rain, Mist	0.04" of precipitation last hour.	Flood Warning Thu, Jan 28, 9:49pm CST Fri, Jan 29, 9:49am CST 8 mins  Flood Warning Thu, Jan 28, 10:00pm CST Fri, Jan 29, 10:00am CST 19 mins  Flood Statement Fri, Jan 29, 3:29am CST Fri, Jan 29, 3:29pm CST 5 hrs, 48 mins  Flood Statement Fri, Jan 29, 8:04am CST Fri, Jan 29, 8:03pm CST 10 hrs, 22 minsNational Weather Service Forecast 
Fri Jan 29 16:40:28 2010	Houston (77001)	Houston, TX (KHOU) as of 8:53am CST (47 mago)	57 14 	54 12 	89	29.90 1012.6 	18 G 2416 G 21	NW310	 900 274	10 16.1	--	Light Rain	0.01" of precipitation last hour.	
Fri Jan 29 16:40:29 2010	Seattle (98101)	Seattle, WA (KBFI) as of 6:53am PST (47 mago)	45 7 	36 2 	70	29.95 1014.3 	7 6 	SE130	 11000 3353	10 16.1	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 16:40:31 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 8:52am CST (48 mago)	14-Jul	-6 -21 	55	30.54 1034.3 	8 7 	NW320	 Unlimited Unlimited	10 16.1	-6 -21 	Mostly Clear	No  this hour.	
Fri Jan 29 16:40:33 2010	Detroit (48201)	Detroit, MI (KDET) as of 9:53am EST (47 mago)	13 -11 	-2 -19 	51	30.45 1031 	10 9 	WNW300	 Unlimited Unlimited	10 16.1	0 -18 	Clear	No  this hour.	
Fri Jan 29 16:40:35 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 9:54am EST (46 mago)	19 -7 	0 -18 	41	30.39 1029.2 	14 12 	NNW330	 13000 3962	10 16.1	14-Jun	Mostly Cloudy	No  this hour.	
Fri Jan 29 17:23:52 2010	San Jose (95101)	San Jose, CA (KSJC) as of 7:53am PST (30 mago)	47 8 	43 6 	86	30.01 1016.4 	3 3 	SE140	 14000 4267	8 12.9	--	Cloudy	No  this hour.	
Fri Jan 29 17:23:54 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 10:52am EST (31 mago)	41 5 	14 -10 	33	30.29 1025.6 	12 10 	ENE70	 14000 4267	10 16.1	--	Mostly Cloudy	No  this hour.	Winter Storm Warning Fri, Jan 29, 3:28am EST Fri, Jan 29, 12:00pm EST 36 mins  Winter Storm Warning Fri, Jan 29, 10:37am EST Fri, Jan 29, 6:45pm EST 7 hrs, 21 minsNational Weather Service 
Fri Jan 29 17:23:56 2010	San Diego (92101)	San Diego, CA (KSAN) as of 7:51am PST (32 mago)	53 12 	44 7 	71	30.07 1018.4 	3 3 	E90	 20000 6096	9 14.5	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 17:23:58 2010	Denver (80214)	Aurora, CO (KBKF) as of 8:55am MST (28 mago)	27 -3 	26 -3 	100	30.15 1021.1 	8 7 	SSW210	 Unlimited Unlimited	5 8.0	18 -8 	 Mist	No  this hour.	
Fri Jan 29 17:24:00 2010	Memphis (37501)	Memphis, TN (KMEM) as of 10:02am CST (22 mago)	30 -1 	26 -3 	86	30.24 1024 	12 10 	ENE60	 3300 1006	2 3.2	21 -6 	Heavy Ice Pellets,Snow, Mist	0.01" of precipitation last hour.	Winter Storm Warning Fri, Jan 29, 4:24am CST Fri, Jan 29, 12:30pm CST 2 hrs, 5 mins  Winter Storm Warning Fri, Jan 29, 8:58am CST Fri, Jan 29, 4:00pm CST 5 hrs, 35 mins  Other Statement Fri, Jan 29, 5:42am CST Sat, Jan 30, 6:00am CST 19 hrs, 35 minsNational Weather Service Forecast 
Fri Jan 29 17:24:02 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 7:53am PST (31 mago)	53 12 	41 5 	63	30.06 1017.9 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 17:24:03 2010	El Paso (79901)	El Paso, TX (KELP) as of 8:51am MST (33 mago)	32 0 	24 -4 	72	30.16 1021.4 	3 3 	NNE20	 6000 1829	10 16.1	29 -2 	Mostly Cloudy	No  this hour.	
Fri Jan 29 17:24:05 2010	New York (10001)	New York City, NY (KNYC) as of 10:51am EST (33 mago)	19 -7 	-4 -20 	36	30.27 1025.2 	15 G 2813 G 24	WNW290	 Unlimited Unlimited	10 16.1	15-May	Clear	Lightning detector not working.	
Fri Jan 29 17:24:07 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 10:54am EST (30 mago)	21 -6 	17-Jan	41	30.40 1029.5 	10 G 189 G 16	NW320	 14000 4267	10 16.1	12-Oct	Cloudy	Pressure falling rapidly.	
Fri Jan 29 17:24:09 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 7:53am PST (31 mago)	41 5 	32 0 	70	30.09 1018.9 	3 3 	NW320	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Fri Jan 29 17:24:12 2010	Washington (20001)	Washington DC, VA (KDCA) as of 10:52am EST (32 mago)	21 -6 	17-Jan	43	30.44 1030.9 	14 12 	NNW330	 20000 6096	10 16.1	13-Aug	Cloudy	No  this hour.	
Fri Jan 29 17:24:14 2010	Aust(73301)	AustCity, TX (KATT) as of 10:18am CST (6 mago)	39 4 	35 2 	87	30.06 1018 	12 G 2610 G 23	NNW330	 9500 2896	10 16.1	32 0 	Cloudy	Trace precipitation last hour.	Flood Statement Fri, Jan 29, 7:39am CST Fri, Jan 29, 10:30am CST 5 minsNational Weather Service Forecast 
Fri Jan 29 17:24:16 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 7:56am PST (28 mago)	50 10 	46 8 	89	30.02 1016.6 	3 3 	NNW340	 12000 3658	8 12.9	--	Cloudy	No  this hour.	
Fri Jan 29 17:24:18 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 10:12am CST (12 mago)	25 -4 	19 -7 	80	30.12 1020 	13 11 	N350	 600 183	0.75 1.2	13 -11 	Light Snow, Mist	Trace precipitation last hour.3 hour precipitation ending 8:52am CST : 0.02"	Winter Storm Warning Fri, Jan 29, 3:47am CST Fri, Jan 29, 12:00pm CST 1 hr, 35 minsNational Weather Service 
Fri Jan 29 17:24:28 2010	Nashville (37201)	Nashville, TN (KBNA) as of 9:53am CST (31 mago)	25 -4 	21 -6 	85	30.38 1028.7 	9 8 	NNE30	 1000 305	1 1.6	15 -9 	Light Snow, Mist	0.02" of precipitation last hour.	Winter Storm Warning Fri, Jan 29, 4:18am CST Fri, Jan 29, 4:00pm CST 5 hrs, 35 mins  Special Weather Statement Fri, Jan 29, 9:48am CST Fri, Jan 29, 1:00pm CST 2 hrs, 35 minsNational Weather Service Forecast 
Fri Jan 29 17:24:34 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 9:53am CST (31 mago)	33 1 	30 -1 	88	30.11 1019.5 	20 G 2617 G 23	WNW290	 1400 427	10 16.1	22 -6 	 Rain	No  this hour.	
Fri Jan 29 17:24:36 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 8:51am MST (33 mago)	54 12 	48 9 	83	30.05 1017.7 	3 3 	E80	 Unlimited Unlimited	10 16.1	--	Mostly Clear	No  this hour.	
Fri Jan 29 17:24:39 2010	Portland (97201)	Portland, OR (KPDX) as of 7:53am PST (31 mago)	47 8 	36 2 	65	29.96 1014.6 	15 13 	ESE110	 20000 6096	10 16.1	--	Cloudy	No  this hour.	
Fri Jan 29 17:24:40 2010	Chicago (60601)	Chicago, IL (KMDW) as of 9:51am CST (33 mago)	12-Nov	-2 -19 	56	30.59 1036 	Calm Calm	--	 25000 7620	10 16.1	--	Mostly Cloudy	No  this hour.	
Fri Jan 29 17:24:43 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 9:53am CST (31 mago)	43 6 	37 3 	82	30.03 1016.8 	21 G 2818 G 24	NNW340	 8500 2591	10 16.1	--	Light Rain	Peak Wind: 30 kts from 340 (15:27 GMT). Trace precipitation last hour.	
Fri Jan 29 17:24:45 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 10:54am EST (30 mago)	15 -9 	16-Mar	61	30.53 1033.9 	8 7 	E90	 13000 3962	10 16.1	16-Apr	Cloudy	No  this hour.	
Fri Jan 29 17:24:47 2010	Boston (02101)	Boston, MA (KBOS) as of 10:54am EST (30 mago)	17 -8 	-8 -22 	32	30.03 1016.9 	28 G 3924 G 34	WNW290	 Unlimited Unlimited	10 16.1	-2 -19 	Clear	Peak Wind: 34 kts from 270 (15:47 GMT).	High Wind Statement Fri, Jan 29, 4:21am EST Fri, Jan 29, 12:30pm EST 1 hr, 5 mins  Other Statement Fri, Jan 29, 10:17am EST Fri, Jan 29, 6:00pm EST 6 hrs, 35 minsNational Weather Service 
Fri Jan 29 17:24:49 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 10:53am EST (31 mago)	59 15 	39 4 	49	30.17 1021.8 	6 5 	ESE110	 25000 7620	10 16.1	--	Cloudy	No  this hour.	
Fri Jan 29 17:24:51 2010	Coluus (43085)	Coluus, OH (KOSU) as of 10:53am EST (31 mago)	11-Dec	0 -18 	56	30.55 1034.4 	8 7 	NNE30	 Unlimited Unlimited	10 16.1	0 -18 	Clear	No  this hour.	
